Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,EV/Sales,Price/Earnings per Share,EV/Market Cap,Total Debt/EV,EV/Cash Flow,EV/Net Income,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/2000,5691.49386,-1856.400024,0,93.5,968.800018,4897.393854,,,0.860476,0.19782,,,0.941788,5691.49386,4897.393854,15.542348,,
06/30/2000,7431.92905,-2601.199951,0,93.5,824.600006,5748.829105,,,0.773531,0.143438,,,1.072323,7464.949219,5781.849274,18.244459,,
09/30/2000,8468.312664,-2037.099976,0,93.5,1002.100006,7526.812695,,,0.888821,0.133137,,,1.345395,8519.375,7577.875031,23.88706,,
12/31/2000,11739.0,-3280.0,0,93.5,779.300003,9331.800003,1.060613,16.07906,0.79494,0.08351,4.569484,11.398314,1.621371,11904.54977,9497.349773,29.909615,,
03/31/2001,11869.515469,-2223.899902,0,93.5,799.699982,10538.815549,1.156003,16.645022,0.887889,0.075881,4.7674,13.163647,1.734699,12065.609531,10734.90961,34.139343,,
06/30/2001,12251.117509,-1017.400024,0,95.900002,855.399979,12185.017464,1.362459,16.987342,0.994605,0.070201,4.841857,16.166933,2.017721,12484.626246,12418.526201,40.04278,,
09/30/2001,11973.015479,-1164.099976,0,95.900002,1166.799988,12071.615493,1.346272,16.108871,1.008235,0.096656,4.284513,16.251502,1.972776,12225.0999,12323.699914,40.278996,,
12/31/2001,12278.489496,-1313.699951,0,122.300003,1440.099976,12527.189523,1.375254,15.763359,1.020255,0.114958,4.689548,20.247599,2.135923,12431.3,12680.000027,42.136529,,
03/31/2002,11292.783466,-1252.400024,0,122.300003,1419.29995,11581.983394,1.322069,14.197026,1.025609,0.122544,4.134503,19.39381,1.998651,11457.0,11746.199928,39.168018,,
06/30/2002,10285.088086,-841.799988,0,122.300003,1408.900047,10974.488148,1.244555,12.707581,1.067029,0.12838,3.819073,21.421995,1.839104,10387.520215,11076.920277,37.559424,,
09/30/2002,8017.51983,-1067.900024,0,122.300003,1586.000031,8657.919839,0.971316,10.109091,1.079875,0.183185,2.922307,17.137608,1.424234,8085.351898,8725.751907,30.020527,,
12/31/2002,8034.642307,-1190.599976,0,162.699997,2089.399994,9096.142322,1.073988,9.893617,1.132115,0.229702,3.551654,18.210495,1.464498,8048.313034,9109.813049,31.58602,,
03/31/2003,8028.42,-2319.699951,0,160.5,2315.200043,8184.420092,0.935362,9.645833,1.019431,0.282879,3.19629,13.501188,1.204424,8008.973661,8164.973752,28.319793,,
06/30/2003,8887.116375,-1197.599976,0,160.5,2443.899902,10293.916302,1.144353,10.312081,1.158297,0.237412,3.966827,12.902878,1.285069,8865.605,10272.404927,35.594453,,
09/30/2003,9777.663959,-1590.0,0,0.0,2858.700104,11046.364062,1.190008,10.798722,1.129755,0.258791,4.561409,13.30086,1.360859,9768.2,11036.900104,38.185717,,
12/31/2003,10867.12532,-3121.600098,0,0.0,1895.299988,9640.825211,0.957257,11.398176,0.887155,0.196591,3.158131,11.961322,1.173464,10863.375092,9637.074982,33.268315,,
03/31/2004,12901.656467,-2744.5,0,160.399994,1652.499954,11970.056415,1.155857,12.887906,0.927792,0.138053,3.826255,14.827272,1.313212,12796.800733,11865.200681,40.535242,,
06/30/2004,,-1614.099976,0,160.399994,2005.300049,,,,,,,,,,,,,
09/30/2004,,-1497.599976,0,160.399994,2185.599976,,,,,,,,,,,,,
09/12/2020,,-1497.59997558594,0,160.399993896484,2185.59997558594,,,,,,,,,,,,,
