Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2005,10302.609375,328.868988,328.868988,0.0,197.862,,,0.0,,,,,2541.833008,,,,,,,3068.563965,84.497002,,,37.028999,,7112.519043,7112.519043,5872.588867,1239.930176,0,7234.045044,,656.010986,656.010986,,,,0.0,,,,,,859.484009,,,,859.484009,1515.494995,0.0,,,,,392.089996,,,,,392.089996,392.089996,1907.584991,0.0,,,,,,8319.383789,8319.383789,75.639999,8395.023788,10302.608779,
09/30/2005,7776.176,227.9,227.875,0.025,180.622,180.622,,,,,,,156.182,,,,,,,564.704,85.866,,,45.717,,7079.889,7079.889,5875.132,1204.757,0,7211.472,,778.444,778.444,,,,,,,,,,662.762,,,,662.762,1441.206,,,,,,511.32,,,,,511.32,511.32,1952.526,,5737.822,,,-25.178,39.744,0.192,5752.58,71.07,5823.65,7776.176,
12/31/2005,7756.89209,297.415985,297.415985,,174.018997,174.018997,,,,,,,118.808998,,,,,,,590.244019,90.984001,,,39.431,,7036.23291,7036.23291,5859.72998,1176.50293,0,7166.647911,,642.820984,642.820984,,,,230.755005,,,,,,564.648987,,,,564.648987,1438.224976,,,,,,513.130005,,,,,513.130005,513.130005,1951.35498,,,,,,,5733.763184,5733.763184,71.774002,5805.537186,7756.892166,
03/31/2006,8024.044,509.03,509.03,,199.478,199.478,,,,,,,181.164,,,,,,,889.672,93.008,,,39.204,,7002.16,7002.16,5855.453,1146.707,0,7134.372,,669.314,669.314,,,,0.373,,,,,,953.965,,,,953.965,1623.652,,,,,,476.654,,,,,476.654,476.654,2100.306,,5797.681,,,-31.04,88.313,-2.204,5852.75,70.988,5923.738,8024.044,
06/30/2006,8149.98,643.341,643.341,,202.913,202.913,,,,,,,172.908,,,,,,,1019.162,104.344,,,49.262,,6977.212,6977.212,5860.166,1117.046,0,7130.818,,738.669,738.669,,,,0.093,,,,,,1075.284,,,,1075.284,1814.046,,,,,,449.53,,,,,449.53,449.53,2263.576,,5829.764,,,-185.779,183.795,-0.223,5827.557,58.847,5886.404,8149.98,
09/30/2006,8384.232,945.692,945.692,,216.947,216.947,,,,,,,133.316,,,,,,,1295.955,124.737,,,56.113,,6907.427,6907.427,5856.663,1050.764,0,7088.277,,658.452,658.452,,,,0.256,,,,,,968.406,,,,968.406,1627.114,500.0,,,,,406.705,,,,,406.705,906.705,2533.819,,5865.472,,,-320.569,242.772,6.778,5794.453,55.96,5850.413,8384.232,
12/31/2006,8269.184,853.274,853.274,,211.43,211.43,,,,,,,117.981,,,,,,,1182.685,137.144,332.27,-195.126,59.289,,6890.066,6890.066,5861.292,1028.774,0,7086.499,,600.192,600.192,,,,0.0,,,,,,799.933,,,,799.933,1400.125,500.0,,,,,403.013,,,,,403.013,903.013,2303.138,0.0,5903.554,,,-321.155,309.912,11.979,5904.29,61.756,5966.046,8269.184,
03/31/2007,8258.753,637.722,637.722,,289.926,289.926,,,,,,,187.009,,,,,,,1114.657,141.871,,,85.8,,6916.425,6916.425,5892.415,1024.01,0,7144.096,,812.645,812.645,,,,,,,,,,1116.067,,,,1116.067,1928.712,500.0,,,,,470.407,,,,,470.407,970.407,2899.119,,5930.26,,,-987.638,341.116,13.635,5297.373,62.261,5359.634,8258.753,
06/30/2007,8675.587,1011.404,1011.404,,313.335,313.335,,,,,,,201.645,,,,,,,1526.384,149.048,,,86.723,,6913.432,6913.432,5907.286,1006.146,0,7149.203,,779.029,779.029,,,,,,,,,,1437.71,,,,1437.71,2216.739,500.0,,,,,460.626,,,,,460.626,960.626,3177.365,,5971.198,,,-989.173,437.252,16.29,5435.567,62.655,5498.222,8675.587,
09/30/2007,8462.126,836.531,836.531,,317.901,317.901,,,,,,,164.288,,,,,,,1318.72,152.941,,,89.006,,6901.459,6901.459,5912.934,988.525,0,7143.406,,823.351,823.351,,,,,,,,,,1267.487,,,,1267.487,2090.838,1000.0,,,,,466.45,,,,,466.45,1466.45,3557.288,,5996.458,,,-1717.922,536.847,26.865,4842.248,62.59,4904.838,8462.126,
