Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2009,1761.8,43.3,43.3,0,407.7,407.7,0.0,639.9,32.3,,32.1,1123.2,524.6,600.3,-75.7,0,114.0,88.4,75.4,13.0,1.8,23.8,638.6,,331.2,281.4,,,49.8,19.0,0.0,,,,19.0,81.8,,1.1,,0.0,432.0,618.7,618.7,,,,496.7,,,495.6,1115.4,1547.4,0,443.5,,443.5,,-121.6,-124.1,197.8,16.6,214.4,1761.8,
12/31/2009,1775.8,115.0,115.0,0,357.4,357.4,0.0,601.7,62.3,0.0,61.6,1136.4,477.5,545.0,-67.5,0,161.9,83.8,71.0,12.8,55.8,22.3,639.4,,245.9,173.7,0.0,9.5,62.7,28.4,0.0,0.0,0.0,,28.4,111.7,0.0,1.1,,0.0,386.0,725.8,725.8,0.0,0.0,,509.7,0.0,483.0,25.6,1235.5,1621.5,0,443.5,0.5,443.0,0.0,-169.4,-136.3,137.8,16.5,154.3,1775.8,
09/30/2010,2075.1,51.0,51.0,0,547.1,547.1,0.0,710.7,114.9,,114.3,1423.7,479.6,574.7,-95.1,0,171.8,93.8,82.0,11.8,55.2,22.8,651.4,,424.0,323.9,,,100.1,26.0,0.0,,,,26.0,154.3,,,,0.0,604.3,1125.3,1125.3,,,,470.3,,,470.3,1595.6,2199.9,0,224.9,,224.9,,-222.1,-131.6,-128.8,4.0,-124.8,2075.1,
12/31/2010,2053.5,62.6,62.6,0,497.9,497.9,0.0,783.4,73.4,0.0,72.7,1417.3,479.2,583.4,-104.2,0,157.0,89.5,73.3,16.2,47.1,20.4,636.2,,379.1,287.5,0.0,10.0,81.6,26.7,0.0,,,,26.7,152.7,0.0,0.0,,0.0,558.5,1184.6,1184.6,,,,492.9,0.0,467.0,25.9,1677.5,2236.0,0,224.9,,224.9,0.0,-273.4,-138.2,-186.7,4.2,-182.5,2053.5,
03/31/2011,2269.2,41.9,41.9,0,636.5,636.5,0.0,856.7,74.8,,74.1,1609.9,484.4,598.7,-114.3,0,174.9,92.9,73.0,19.9,47.4,34.6,659.3,,504.4,390.8,,,113.6,37.8,0.0,,,,37.8,151.3,,,,0.0,693.5,1269.9,1269.9,,,,484.8,,,484.8,1754.7,2448.2,0,224.9,,224.9,,-275.1,-133.1,-183.3,4.3,-179.0,2269.2,
06/30/2011,2239.9,46.8,46.8,0,679.2,679.2,0.0,802.5,59.3,,59.2,1587.8,481.2,603.3,-122.1,0,170.9,92.4,73.0,19.4,45.5,33.0,652.1,,405.9,307.3,,,98.6,49.0,0.0,,,,49.0,153.9,,,,0.0,608.8,1353.8,1353.8,,,,474.5,,,474.5,1828.3,2437.1,0,224.9,,224.9,,-293.1,-133.4,-201.6,4.4,-197.2,2239.9,
09/30/2011,2154.4,38.5,38.5,0,629.1,629.1,0.0,795.9,55.9,,55.6,1519.4,470.6,596.0,-125.4,0,164.4,91.0,72.5,18.5,42.7,30.7,635.0,,424.6,319.3,,,105.3,52.5,0.0,,,,52.5,150.8,,,,0.0,627.9,1287.9,1287.9,,,,454.7,,,454.7,1742.6,2370.5,0,224.9,,224.9,,-294.0,-151.4,-220.5,4.4,-216.1,2154.4,
12/31/2011,2058.4,61.7,61.7,0,513.9,513.9,0.0,732.4,46.3,0.0,46.2,1354.3,479.7,611.1,-131.4,0,224.4,158.5,96.3,62.2,37.2,28.7,704.1,,346.9,245.1,0.0,10.3,91.5,52.0,0.0,,,,52.0,148.8,0.0,0.0,,0.0,547.7,1264.2,1264.2,,,,514.1,0.0,488.0,26.1,1778.3,2326.0,0,224.9,,224.9,0.0,-281.5,-214.7,-271.3,3.7,-267.6,2058.4,
03/31/2012,2155.8,42.3,42.3,0,559.1,559.1,0.0,785.0,61.4,,61.4,1447.8,483.5,623.5,-140.0,0,224.5,158.4,97.1,61.3,38.6,27.5,708.0,,427.4,329.6,,,97.8,38.3,0.0,,,,38.3,149.5,,,,0.0,615.2,1268.1,1268.1,,,,504.5,,,504.5,1772.6,2387.8,0,224.9,,224.9,,-256.5,-206.9,-238.5,6.5,-232.0,2155.8,
06/30/2012,2121.6,33.9,33.9,0,534.3,534.3,0.0,809.2,41.8,,41.8,1419.2,482.6,630.6,-148.0,0,219.8,156.9,96.5,60.4,36.9,26.0,702.4,,372.9,282.5,,,90.4,36.3,0.0,,,,36.3,148.0,,,,0.0,557.2,1298.1,1298.1,,,,490.4,,,490.4,1788.5,2345.7,0,224.9,,224.9,,-240.9,-213.0,-229.0,4.9,-224.1,2121.6,
