Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1999,56.483996,55.277996,130.067997,68.322998,61.744999,-74.790001,1.206,0.0,,,,1.206,0.0,-0.6,55.883996,-17.226999,0.0,17.226999,38.657001,0.0,0.0,38.657001,-14.4,24.257,0.0,,,24.257002,0.0,24.257,0.0,0.0,24.257,24.257,,,,,,,,,,
06/30/1999,57.030001,55.888,130.799004,69.468002,61.331001,-74.911003,1.142,0.001,,,,1.141,0.0,-0.55,56.480001,-16.945,0.0,16.945,39.535,0.0,0.0,39.535,-14.6,24.934999,0.0,,,24.934999,0.0,24.934999,0.0,0.0,24.934999,24.934999,,,,,,,,,,
09/30/1999,63.685004,62.485004,135.461002,72.649002,62.812,-72.975998,1.2,-0.008,,,,1.208,0.0,-0.6,63.085004,-17.02,0.0,17.02,46.064999,0.0,0.0,46.064999,-17.285,28.780001,0.0,,,28.779999,0.0,28.780001,0.0,0.0,28.780001,28.780001,,737.937831,0.034311,0.034311,0.034311,737.937831,0.034311,0.034311,0.034311,
12/31/1999,64.795003,63.598003,139.753002,77.467003,62.285999,-76.154999,1.197,0.0,,,,1.197,0.0,-0.6,64.195003,-17.216,0.0,17.216,46.979,0.0,0.0,46.979,-17.565001,29.414,0.0,,,29.414,0.0,29.414,0.0,0.0,29.414,29.414,,733.404542,0.038989,0.038989,0.038989,733.404542,0.038989,0.038989,0.038989,
03/31/2000,64.472005,63.372005,144.057003,80.328003,63.729,-80.684998,1.1,0.0,,,,1.1,0.0,-0.6,63.872005,-18.864,0.0,18.864,45.007999,0.0,0.0,45.007999,-16.702,28.306,0.0,,,28.306,0.0,28.306,0.0,0.0,28.306,28.306,,719.836768,0.038989,0.038989,0.038989,720.086845,0.038989,0.038989,0.038989,
06/30/2000,64.669992,63.485992,150.381996,83.603996,66.778,-86.896004,1.184,0.0,,,,1.184,0.0,-0.6,64.069992,-19.973,0.0,19.973,44.097,0.0,0.0,44.097,-15.149,28.948,0.0,,,28.948,0.0,28.948,0.0,0.0,28.948,28.948,,701.568986,0.040549,0.040549,0.040549,704.178655,0.040549,0.040549,0.040549,
09/30/2000,64.537,63.361,156.526001,87.956001,68.57,-93.165001,1.176,0.0,,,,1.176,0.0,-0.48,64.057,-19.617001,0.0,19.617001,44.439999,0.0,0.0,44.439999,-15.362,29.077999,0.0,,,29.077998,0.0,29.077999,0.0,0.0,29.077999,29.077999,,697.86924,0.042109,0.042109,0.042109,704.332556,0.040549,0.040549,0.040549,
12/31/2000,64.864,63.783,163.076,91.182,71.894,-99.293,1.081,0.0,,,,1.081,0.0,-0.45,64.414,-20.543,0.0,20.543,43.871,0.0,0.0,43.871,-15.377,28.494,0.0,,,28.494,0.0,28.494,0.0,0.0,28.494,28.494,,689.552892,0.042109,0.042109,0.042109,696.163664,0.040549,0.040549,0.040549,
03/31/2001,67.845,66.793,167.301,93.445,73.856,-100.508,1.052,,,,,1.052,,-0.45,67.395,-19.722,,19.722,47.673,0.0,0.0,47.673,-16.996,30.677,0.0,,,30.677,0.0,30.677,0.0,0.0,30.677,30.677,,666.738996,0.046787,0.046787,0.046787,675.850448,0.045228,0.045228,0.045228,
06/30/2001,68.95,67.73,167.627,96.648,70.979,-99.897,1.22,,,,,1.22,,-0.45,68.5,-20.518,,20.518,47.982,0.0,0.0,47.982,-17.061,30.921,0.0,,,30.921,0.0,30.921,0.0,0.0,30.921,30.921,,627.933572,0.049906,0.049906,0.049906,637.301504,0.048347,0.048347,0.048347,
