Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,15.711,0.058,0.058,0.0,1.009,,,2.762,,,,,0.411,,,,,4.24,0.59,1.14,-0.55,0.0,,10.881,,,,10.881,11.471,,2.015,2.015,,,,1.125,,,,,0.153,,,0.153,3.293,3.583,,,,,0.0,,,,,,0.0,3.583,6.876,0.0,10.893,,,0.0,,-2.058,8.835,0.0,8.835,15.711,
06/30/1997,17.632999,0.288,0.288,0.0,2.024,,,3.15,,,,,0.652,,,,,6.114,0.631,1.251,-0.62,0.0,,10.888,,,,10.888,11.519,,3.077,3.077,,,,1.412,,,,,0.248,,,0.248,4.737,3.551,,,,,0.0,,,,,,0.0,3.551,8.288,0.0,10.893,,,0.0,,-1.548,9.345,0.0,9.345,17.633,
09/30/1997,17.892,0.515,0.515,0.0,2.1,,,3.433,,,,,0.478,,,,,6.526,0.493,1.096,-0.603,0.0,,10.873,,,,10.873,11.366,,2.773,2.773,,,,1.179,,,,,0.528,,,0.528,4.48,3.55,,,,,0.0,,,,,,0.0,3.55,8.03,0.0,10.893,,,0.0,,-1.031,9.862,0.0,9.862,17.892,
03/31/1998,17.334999,0.466,0.466,0.0,2.197,,,3.493,0.917,0.0,2.576,,0.176,,,,,6.332,0.601,1.328,-0.727,0.0,,10.402,10.152,,,0.25,11.003,,1.756,1.756,,,,0.537,,,,,1.11,,,1.11,3.403,3.265,,,,,0.0,,,,,,0.0,3.265,6.668,0.0,10.904,,,0.0,,-0.237,10.667,0.0,10.667,17.335,
09/30/1998,22.434,4.284,4.284,0.0,2.504,,,4.208,2.097,0.0,2.111,,0.526,,,,,11.522,0.608,1.397,-0.789,0.0,,10.304,10.075,,,0.229,10.912,,3.252,3.252,,,,1.593,,,,,2.701,,,2.701,7.546,1.957,,,,,0.0,,,,,,0.0,1.957,9.503,0.0,10.98,,,0.0,,1.951,12.931,0.0,12.931,22.434,
12/31/1998,22.556999,3.806,3.806,0.0,1.828,,,5.211,1.815,0.0,3.396,0.0,0.874,,,,,11.719,0.602,1.406,-0.804,0.021,,10.215,10.003,,,0.212,10.838,,1.87,1.87,,,,2.073,,,,,2.148,,,2.148,6.091,1.335,,,,,1.188,,,,,,1.188,2.523,8.614,0.0,11.258,,,0.0,,2.685,13.943,0.0,13.943,22.557,
03/31/1999,21.875,2.077,2.077,0.0,3.157,3.156781,,5.406,2.521,0.0,2.885,-0.27056,0.341,,,,,10.981,0.641,1.509,-0.868,0.011,,10.242,9.929,0.0,9.929,0.313,10.894,,3.755,3.755,,,,1.112,,,,,0.71,,,0.71,5.577,0.694,,,,,0.708,,,,,,0.708,1.402,6.979,0.0,11.278,,,0.0,3.618111,-0.000111,14.896,0.0,14.896,21.875,
06/30/1999,25.625,2.891,2.891,0.0,4.811,4.810843,,6.503,2.849,0.0,3.882,0.0,0.416,,,,,14.621,0.625,1.502,-0.877,0.0,,10.379,9.855,0.0,9.855,0.524,11.004,,5.064,5.064,,,,1.024,,,,,1.789,,,1.789,7.877,0.63,,,,,0.757,,,,,,0.757,1.387,9.264,0.0,11.278,,,0.0,5.082644,0.000356,16.361,0.0,16.361,25.625,
09/30/1999,27.637,2.825772,2.825772,0.0,4.421682,4.421682,,7.826073,2.934,0.0,5.055,0.0,0.590069,,,,,15.6636,0.591,1.535,-0.944,0.0,,11.3824,10.73866,0.0,10.73866,0.64374,11.9734,,6.295852,6.295852,,,,1.167792,,,,,0.921361,,,0.921361,8.385005,0.766317,,,,,0.756986,,,,,,0.756986,1.523303,9.908308,0.0,11.28511,,,0.0,6.443753,0.0,17.728863,0.0,17.728863,27.637171,
12/31/1999,28.70907,2.009155,2.009155,0.0,3.751258,3.751258,,9.894414,3.615269,0.0,6.442193,-0.163,1.297053,,,,,16.95188,0.504191,1.375958,-0.871767,0.0,,11.253,10.76849,0.0,10.76849,0.48451,11.757191,,5.936873,5.936873,,,,0.863501,,,,,1.154715,,,1.154715,7.955089,0.902716,,,,,1.225271,,,,,,1.225271,2.127987,10.083076,0.0,11.39012,,,0.0,7.235752,-3.4e-05,18.625838,0.0,18.625838,28.708914,
