Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2004,3540,,,-2050,,1490,,-1114,,,,376,-80,77.0,,0.0,3.0,296,-92,204,-241,,,445,-4.0,441,,,441,441.0,,101.5,4.3,2.0,2.1,105.9,4.2,1.9,2.0,
06/30/2004,4404,,,-2576,,1828,,-1105,,,,723,-90,70.0,,,20.0,633,-212,421,-271,,,692,-1.0,691,0.0,0.0,691,691.0,,102.0,6.8,4.1,4.26,105.3,6.6,4.0,4.15,
09/30/2004,4505,,,-2604,,1901,,-1142,,,,759,-23,32.0,32.0,0.0,-9.0,736,-238,498,-96,,,594,-1.0,593,0.0,0.0,593,593.0,,103.6,5.7,4.8,4.8,106.4,5.6,4.7,4.7,
12/31/2004,4026,,,-2444,,1582,,-1123,,,,459,-77,,66.0,0.0,11.0,382,-132,250,-109,,,359,-2.0,357,0.0,0.0,357,357.0,,105.2,3.4,2.4,2.5,107.9,3.3,2.3,2.4,
03/31/2005,3954,,,-2329,,1625,,-1224,760.0,,464.0,401,-222,-18.0,0.0,0.0,240.0,179,-115,64,145,,,-81,-1.0,-82,0.0,0.0,-82,-82.0,,105.3,-0.8,0.6,2.69,107.9,-0.8,0.6,2.64,
06/30/2005,4170,,,-2539,,1631,,-1058,597.0,,461.0,573,-68,66.0,66.0,0.0,2.0,505,-188,317,-71,,,388,-1.0,387,0.0,0.0,387,387.0,,105.0,3.7,3.0,3.03,107.2,3.6,2.9,2.93,
09/30/2005,1547,,,-744,,803,0.0,-647,275.0,,372.0,156,-148,,61.0,,87.0,8,-5,3,-496,,,499,,499,,0.0,499,499.0,,10.37,48.1,0.3,0.3,10.57,47.2,0.3,0.3,
12/31/2005,4316,,,-2569,,1747,,-1353,,,,394,-513,,71.0,0.0,442.0,-119,80,-39,-576,,,537,0.0,537,0.0,0.0,537,537.0,,101.9,5.3,-0.4,2.3,101.9,5.3,-0.4,2.3,
03/31/2006,1337,,,-696,,641,0.0,-563,206.0,,357.0,78,-176,,151.0,0.0,0.0,-98,32,-66,-136,,,70,0.0,70,0.0,0.0,70,70.0,,10.06,7.0,-6.6,-4.3,10.06,7.0,-6.6,-4.3,
06/30/2006,1454,,,-729,,725,0.0,-632,240.0,,392.0,93,-203,,172.0,,0.0,-110,46,-64,990,,,-1054,,-1054,0.0,0.0,-1054,-1054.0,,10.01,-105.2,-6.4,-4.4,10.01,-105.2,-6.4,-4.4,
