Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A from Disc Ops,Impairment of Assets,Disposal of Con Assets,Disposal of Assets from Disc Ops,Abnormal Losses/(Gains),Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,12.251,12.02,,,,,,0.0,0.0,0.231,-5.418,1.268,0.686,3.464,0.0,,0.0,6.833,-0.19,0.005,,0.185,6.643,0.0,,0.0,,,6.643,,6.643,0.0,,6.643,6.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
06/30/1994,11.76,11.493,,,,,,0.0,0.0,0.267,-5.574,1.147,0.978,3.449,0.0,,0.0,6.186,0.541,0.01,,-0.551,6.727,0.0,,0.0,,,6.727,,6.727,0.0,,6.727,6.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
09/30/1994,12.177,11.894,,,,,,0.0,0.0,0.283,-6.152,1.347,1.356,3.449,0.0,,0.0,6.025,-11.32,0.119,,11.201,-5.295,0.0,,0.0,,,-5.295,,-5.295,0.0,,-5.295,-5.295,,38.956001,-0.135,-0.135,-0.135,38.956001,-0.135,-0.135,-0.135,,,,,,,,,,9.355,,9.355,,,,,,,9.355,0.240143,0.240143,0.0,0.0,0.0,0.0,
12/31/1994,12.675,12.498,,,,,,0.0,0.0,0.177,-6.063,1.66,0.975,3.428,0.0,,0.0,6.612,0.537,0.262,,-0.799,7.149,0.0,,0.0,,,7.149,,7.149,0.0,,7.149,7.149,,39.004002,0.185,0.185,0.185,39.004002,0.185,0.185,0.185,,,,,,,,,,9.779,,9.779,,,,,,,9.779,0.250718,0.250718,0.3,119.656413,119.656413,119.705491,
03/31/1995,11.928,11.807,,,,,,0.0,0.0,0.121,-5.669,1.452,0.872,3.345,0.0,,0.0,6.259,-0.258,0.335,,-0.077,6.001,0.0,,0.0,,,6.001,,6.001,0.0,,6.001,6.001,,39.006001,0.155,0.155,0.155,39.006001,0.155,0.155,0.155,,,,,,,,,,9.269,,9.269,,,,,,,9.269,0.23763,0.23763,0.225,94.68497,94.68497,94.681195,
06/30/1995,12.243,12.171,,,,,,0.0,0.0,0.072,-5.89,1.456,0.848,3.586,0.0,,0.0,6.353,-0.559,0.559,,0.0,5.794,0.0,,0.0,,,5.794,,5.794,0.0,,5.794,5.794,,39.006001,0.15,0.15,0.15,39.006001,0.15,0.15,0.15,,,,,,,,,,9.38,,9.38,,,,,,,9.38,0.240476,0.240476,0.225,93.564497,93.564497,93.571432,
09/30/1995,13.102,13.023,,,,,,0.0,0.0,0.079,-5.945,0.753,1.329,3.863,0.0,,0.0,7.157,-1.037,1.016,,0.021,6.12,0.0,,0.0,,,6.12,,6.12,0.0,,6.12,6.12,,39.900002,0.155,0.155,0.155,39.900002,0.155,0.155,0.155,,,,,,,,,,9.998,,9.998,,,,,,,9.998,0.250576,0.250576,0.2325,92.78606,92.78606,94.028805,
12/31/1995,14.282,14.184,,,,,,0.0,0.0,0.098,-5.827,0.0,1.772,4.055,0.0,,0.0,8.455,-0.77,0.732,,0.038,7.685,0.0,,0.0,,,7.685,,7.685,0.0,,7.685,7.685,,43.411999,0.175,0.175,0.175,43.411999,0.175,0.175,0.175,,,,,,,,,,11.767,,11.767,,,,,,,11.767,0.271054,0.271054,0.3475,128.203188,128.203188,163.491124,
03/31/1996,13.778,13.728,,,,,,0.0,0.0,0.05,-6.153,0.446,1.31,4.074,0.323,,0.0,7.625,0.225,0.52,,-0.745,7.85,0.0,,0.0,,,7.85,,7.85,0.0,,7.85,7.85,,45.953999,0.17,0.17,0.17,45.953999,0.17,0.17,0.17,,,,,,,,,,11.489,,11.489,,,,,,,11.489,0.250011,0.250011,0.155,61.997299,61.997299,61.998433,
06/30/1996,13.637,13.602,,,,,,0.0,0.0,0.035,-5.75,0.413,1.288,4.049,0.0,,0.0,7.887,-0.272,0.485,,-0.213,7.615,0.0,,0.0,,,7.615,,7.615,0.0,,7.615,7.615,,45.952,0.165,0.165,0.165,45.952,0.165,0.165,0.165,,,,,,,,,,11.437,,11.437,,,,,,,11.437,0.24889,0.24889,0.2325,93.414704,93.414704,93.416104,
09/30/1996,13.84,13.777,,,,,,0.0,0.0,0.063,-5.721,0.397,1.272,4.052,0.0,,0.0,8.119,-0.229,0.497,,-0.268,7.89,0.0,,0.0,,,7.89,,7.89,0.0,,7.89,7.89,,45.956001,0.17,0.17,0.17,45.956001,0.17,0.17,0.17,,,,,,,,,,11.66,,11.66,,,,,,,11.66,0.253721,0.253721,0.2325,91.636111,91.636111,90.643228,
12/31/1996,15.702,15.67,,,,,,0.0,0.0,0.032,-6.198,0.384,1.311,4.247,0.256,,0.0,9.504,-0.636,0.865,,-0.229,8.868,0.0,,0.0,,,8.868,,8.868,0.0,,8.868,8.868,,45.962002,0.195,0.195,0.195,45.962002,0.195,0.195,0.195,,,,,,,,,,13.132,,13.132,,,,,,,13.132,0.285714,0.285714,0.235,82.250003,82.250003,83.125193,
