Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,-0.894,4.924,9.779,-0.595,,-0.595,-15.002,-15.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/29/1990,44.223999,12.534,10.413,2.326,,2.326,18.951,18.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,5.54,6.044,10.512,5.828,,5.828,-16.844,-16.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,29.995001,6.956,11.275,-6.303,,-6.303,18.066999,18.066999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,3.436,-2.701,10.855,5.106,,5.106,-9.824,-9.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,35.967999,2.33,10.731,-2.165,,-2.165,25.072001,25.072001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,13.012,1.074,12.171,-0.445,,-0.445,0.212,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,17.622999,2.747,13.461,-5.299,,-5.299,6.714,6.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,4.893,-39.811001,12.527,46.244999,,46.244999,-14.068,-14.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,22.014,12.137,12.752,2.859,,2.859,-5.734,-5.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,24.193001,4.183,10.102,1.872,,1.872,8.036,8.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,16.566999,6.175,13.597,1.483,,1.483,-4.688,-4.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,18.186001,13.026,12.28,4.494,,4.494,-11.614,-11.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,48.896999,15.077,12.933,9.302,,9.302,11.585,11.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,12.126,5.468,13.047,0.165,,0.165,-6.554,-6.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,36.141998,9.107,4.347,17.415001,,17.415001,5.273,5.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,6.806,15.706,11.338,9.271,,9.271,-29.509001,-29.509001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,32.48,17.958,13.208,4.796,,4.796,-3.482,-3.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,21.586,10.13,12.402,6.422,,6.422,-7.368,-7.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,58.601002,13.553,12.212,21.892,,21.892,10.944,10.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,15.616,18.361,,19.135,,19.135,-21.879999,-21.879999,,,-14.901,,,,-14.901,,,,,,,,,,14.901,,,,,,,,,,,,,,,
06/30/1995,30.695999,20.025,,15.522,,15.522,-4.851,-4.851,,,-17.691,,,,-17.691,,,,,,,,,,17.691,,,,,,,,,,,,,,,
09/30/1995,37.873001,7.455,,17.752001,,17.752001,12.666,12.666,,,-28.554001,,,,-28.554001,,,,,,,,,,28.554001,,,,,,,,,,,,,,,
12/31/1995,31.330999,15.572,,30.115999,,30.115999,-14.357,-14.357,,,-29.955,,,,-29.955,,,,,,,,,,29.955,,,,,,,,,,,,,,,
03/31/1996,9.224,17.341999,5.632,-6.014,,-6.014,-7.736,-7.736,,,-7.245,,,,-7.245,,,,,,,,,,7.245,,,,,,,,,,,,,,,
06/30/1996,83.789001,18.732,5.339,43.331001,,43.331001,16.386999,16.386999,,,-10.456,,,,-10.456,,,,,,,,,,10.456,,,,,,,,,,,,,,,
09/30/1996,44.208,12.534,5.609,8.687,,8.687,17.378,17.378,,,-7.002,,,,-7.002,,,,,,,,,,7.002,,,,,,,,,,,,,,,
12/31/1996,56.855,16.809,7.021,30.650999,,30.650999,2.374,2.374,,-37.804001,-37.804001,,,,-37.804001,,,,,,,,,,0.0,,,,,,,,,,,,19.050999,,,
03/31/1997,-74.519997,19.910999,5.774,-74.774002,,-74.774002,-25.431,-25.431,,-118.678001,-11.052,0.0,,,-11.052,,,0.0,0.0,0.0,,,,,-107.626001,189.596003,-3.56,237.265002,,,,-44.395999,2.432,-46.827999,0.287,,-3.602,,,
06/30/1997,-3.291,107.754997,5.934,-122.202003,,-122.202003,5.222,5.222,,-27.228001,-12.749,0.0,,,-12.749,,,0.0,0.0,0.0,,,,,-14.479001,248.044984,-3.238,-134.731003,,,,-54.302999,0.448,-54.750999,440.316986,,217.526001,,,
