Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/2005,-5.10785,-5.985935,0.728729,-0.071921,,,-0.071921,0.221277,,,0.221277,,-17.264028,-0.224326,,,,-0.224326,,,,,,,,,,-17.039702,-0.213179,,,,,,0.178519,0.178519,,-0.391698,,-22.585057,,
06/30/2005,-5.189775,-6.384248,0.615055,0.101894,,,0.101894,0.477524,,,0.477524,,1.067791,-0.746177,0.0,,,-0.746177,,,0.0,0.0,0.0,,,,,1.813968,50.968281,0.0,0.0,,,,50.576583,50.576583,0.0,0.391698,,46.846297,,
09/30/2005,-5.59701,-6.329621,0.692661,0.068085,,,0.068085,-0.028135,,,-0.028135,,-3.743112,-1.424312,0.0,,,-1.424312,,,0.0,0.0,0.0,,,,,-2.3188,-0.031033,0.0,0.0,,,,-0.031033,0.0,-0.031033,0.0,,-9.371155,,
12/31/2005,-6.65915,-12.067626,,0.818112,,,0.818112,4.590364,,,4.590364,,1.769708,-2.281791,0.0,,,-2.281791,,,0.0,0.0,0.0,,,,,4.051499,0.017213,0.0,0.0,,,,0.017213,0.017213,0.0,0.0,,-4.872229,,
03/31/2006,-11.375235,-10.919057,0.479703,1.237501,,,1.237501,-2.173382,,-1.919521,-0.253861,,-6.195334,-1.04267,,,,-1.04267,,,,,,,,,,-5.152664,0.504014,,,,,,0.504014,0.504014,,,,-17.066555,,
06/30/2006,-13.614041,-11.16882,0.547297,0.979346,,,0.979346,-3.971864,-0.091404,-1.288108,-2.592352,,-31.444317,-1.178042,0.0,,,-1.178042,,,0.0,0.0,0.0,,,,,-30.266275,48.855721,0.0,1.5,,,,47.355721,47.355721,0.0,0.0,,3.797363,,
09/30/2006,-8.773171,-13.437771,0.330103,2.369053,,,2.369053,1.965444,-0.027817,1.270518,0.722743,,6.526661,-0.620398,0.0,,,-0.620398,,,0.0,0.0,0.0,,,,,7.147059,1.471617,0.0,1.2,,,,0.271617,0.271617,0.0,0.0,,-0.774893,,
12/31/2006,-9.972393,-11.073643,1.340809,0.20326,,,0.20326,-0.442819,-0.001256,0.524087,-0.96565,,4.553089,-0.510996,0.0,,,-0.510996,,,0.0,0.0,0.0,,,,,5.064085,0.383391,0.0,0.326,,,,0.057391,0.057391,0.0,0.0,,-5.035913,,
03/31/2007,-8.41,-10.929,0.626,0.882,,,0.882,1.011,-0.078,-0.044,1.133,,-1.47,-0.327,0.0,,,-0.327,,,0.0,0.0,0.0,,,,,-1.143,47.540999,0.0,49.461999,,,,0.361,0.361,0.0,-2.282,,37.660999,,
06/30/2007,-7.627,-11.336,0.645,2.11,,,2.11,0.954,0.072,0.203,0.679,,-21.608,-0.391,0.0,,,-0.391,,,0.0,0.0,0.0,,,,,-21.217,-0.709,0.0,0.0,,,,0.014,0.014,0.0,-0.723,,-29.944,,
09/30/2007,-10.006,-11.384,0.293,1.951,,,1.951,-0.866,-0.045,0.219,-1.04,,-0.673,-0.13,0.0,,,-0.13,,,0.0,0.0,0.0,,,,,-0.543,-0.029,0.0,-3.349,,,,0.315,0.315,0.0,3.005,,-10.708,,
12/31/2007,-7.164,-12.229,1.348,1.561,,,1.561,2.156,-0.044,-0.104,2.304,,15.307,-2.595,0.0,,,-2.595,,,0.0,0.0,0.0,,,,,17.902,-0.204,0.0,13.267,,,,0.207,0.207,0.0,-13.678,,7.939,,
03/31/2008,-16.459,-13.814,0.855,2.899,1.948,,0.951,-6.399,-0.106,-0.685,-5.608,,13.586,-1.06,0.0,,,-1.06,,,0.0,0.0,0.0,,,,,14.646,3.71,0.0,2.657,,,,1.053,1.053,0.0,0.0,,0.837,,
06/30/2008,-11.901,-14.966,0.703,2.995,,,2.995,-0.633,-0.247,-0.947,0.561,,-6.778,-0.392,0.0,,,-0.392,,,0.0,0.0,0.0,,,,,-6.386,-0.31,0.0,-0.569,,,,0.259,0.259,0.0,0.0,,-18.989,,
09/30/2008,-11.617,-15.631,0.71,2.887,,,2.887,0.417,0.139,0.181,0.097,,11.482,-0.609,0.0,,,-0.609,,,0.0,0.0,0.0,,,,,12.091,-0.186,0.0,-0.569,,,,0.384,0.384,0.0,-0.001,,-0.321,,
12/31/2008,2.526,-14.445,0.768,3.699,5.735,,-2.036,12.504,-0.689,0.144,13.049,,6.034,-0.431,0.0,,,-0.431,,,0.0,0.0,0.0,,,,,6.465,-0.502,0.0,-0.569,,,,0.066,0.066,0.0,0.001,,8.058,,
03/31/2009,-9.372,-13.142,0.652,3.084,2.041,,1.043,0.034,-0.227,0.081,0.18,0.0,-39.311,-0.95,0.0,0.0,0.0,-0.95,-0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.361,45.242,0.0,-0.568,,,-0.568,45.81,45.81,0.0,0.0,0.017,-3.424,,
06/30/2009,-11.036,-15.33,0.662,3.67,2.041,,1.629,-0.038,-0.722,1.002,-0.318,0.0,6.485,-0.754,0.0,0.0,0.0,-0.754,-0.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.239,-0.491,0.0,-0.569,,,-0.569,0.078,0.078,0.0,0.0,-0.026,-5.068,,
09/30/2009,-9.808,-13.523,0.589,3.548,2.13,,1.418,-0.422,-0.42,-0.569,0.567,0.0,12.183,-0.825,0.0,0.0,0.0,-0.825,-0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.008,-0.226,0.0,-0.569,,,-0.569,0.343,0.343,0.0,0.0,0.005,2.154,,
12/31/2009,-9.173,-11.529,0.47,3.651,2.154,,1.497,-1.765,-1.003,-0.709,-0.053,0.0,6.539,-0.161,0.302,0.302,0.0,-0.463,-0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,-0.146,0.0,-0.225,,,-0.225,0.079,0.079,0.0,0.0,-0.005,-2.785,,
03/31/2010,-10.437,-20.273,0.5,11.235,2.275,,8.96,-1.899,-0.311,-1.21,-0.378,0.0,-16.021,-0.958,0.0,,0.0,-0.958,-0.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.063,33.589,0.0,-0.225,,,-0.225,33.814,33.814,0.0,0.0,-0.008,7.123,,
06/30/2010,-9.305,-11.687,0.588,-0.293,2.771,,-3.064,2.087,-0.86,-0.236,3.183,0.0,3.513,-1.483,0.0,,0.0,-1.483,-1.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996,1.172,0.0,-0.225,,,-0.225,1.397,1.397,0.0,0.0,0.01,-4.61,,
09/30/2010,-9.47,-13.398,0.628,6.707,2.317,,4.39,-3.407,-0.441,-2.266,-0.7,0.0,7.327,-41.247,0.0,,0.0,-41.247,-41.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.574,1.625,0.0,-0.225,,,-0.225,1.85,1.85,0.0,0.0,-0.043,-0.561,,
12/31/2010,-13.464,-9.812,0.721,2.401,2.078,,0.323,-6.774,-1.569,-1.759,-3.446,0.0,-20.429,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.263,33.26,0.0,-0.225,,,-0.225,33.485,33.485,0.0,0.0,-0.007,-0.64,,
03/31/2011,-9.289,-11.85,0.806,2.679,2.548,,0.131,-0.924,-0.487,1.687,-2.124,0.0,6.776,-1.791,0.0,,0.0,-1.791,-1.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.567,1.463,0.0,-0.225,,,-0.225,1.688,1.688,0.0,0.0,-0.034,-1.084,,
06/30/2011,-2.526,-7.367,0.892,2.651,3.657,,-1.006,1.298,-1.536,0.167,2.667,0.0,-39.099,-1.16,0.0,,0.0,-1.16,-1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.939,71.716,0.0,-0.225,,,-0.225,71.941,71.941,0.0,0.0,-0.007,30.084,,
