Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,37045.410156,,,,,,0.0,,966.757996,25802.490234,0.0,25802.490234,0.0,,,,,,0.0,36078.652161,,,,,,,0.0,13922.870117,,,,,21175.019531,,,,,,,,872.98999,35970.879639,213.882996,398.263,,,-569.40802,,1031.795013,1074.53299,0.0,1074.53299,37045.412628,
06/30/1990,39296.460938,,,,,,0.0,,1111.531006,27013.410156,0.0,27013.410156,0.0,,,,,,0.0,38184.929932,,,,,,,0.0,15102.780273,,,,,22149.009766,,,,,,,,918.239014,38170.029053,213.882996,400.932007,,,-579.002991,,1090.625977,1126.437988,0.0,1126.437988,39296.467041,
09/30/1990,40333.121094,,,,,,0.0,,1043.885986,27895.859375,0.0,27895.859375,0.0,,,,,,0.0,39289.235107,,,,,,,0.0,16406.410156,,,,,21850.289062,,,,,,,,915.973022,39172.672241,213.882996,406.890015,,,-613.518005,,1153.199036,1160.454041,0.0,1160.454041,40333.126282,
12/30/1990,41123.769531,25.733,,,,,0.0,,1102.422974,28770.039062,0.0,28770.039062,0.0,,,,,,0.0,39995.613558,,,,,,,0.0,18124.019531,,,,,20919.560547,,,,,,,,986.809021,40030.389099,213.882996,398.888,,,-729.051025,,1209.657013,1093.376984,0.0,1093.376984,41123.766083,
03/31/1991,42811.628906,,,,,,0.0,,1121.121948,28929.779297,0.0,28929.779297,0.0,,,,,,0.0,41690.506958,,,,,,,0.0,15846.240234,,,,,24764.330078,,,,,,,,1075.217041,41685.787354,213.882996,401.325989,,,-759.655029,,1270.286041,1125.839996,0.0,1125.839996,42811.62735,
06/30/1991,43376.140625,,,,,,0.0,,1135.239014,29687.730469,0.0,29687.730469,0.0,,,,,,0.0,42240.901611,,,,,,,0.0,12868.459961,,,,,28213.089844,,,,,,,,1173.416016,42254.96582,213.882996,370.951996,,,-797.314026,,1333.64502,1121.165985,0.0,1121.165985,43376.131805,
09/30/1991,43877.738281,,,,,,0.0,,1124.369995,30078.169922,0.0,30078.169922,0.0,,,,,,0.0,42753.368286,,,,,,,0.0,11720.240234,,,,,29950.960938,,,,,,,,1094.421021,42765.622192,213.882996,522.937012,,,-1023.994019,,1399.290009,1112.115997,0.0,1112.115997,43877.73819,
12/31/1991,45320.101562,23.534,,,,,0.0,,1142.310059,31801.080078,0.0,31801.080078,0.0,,,,,,0.0,44154.257504,,,,,,,0.0,11986.209961,,,,,31152.859375,,,,,,,,1031.274048,44170.343384,213.882996,523.963013,,,-1052.595947,,1464.511932,1149.761993,0.0,1149.761993,45320.105377,
03/31/1992,46206.660156,,,,,,0.0,,1140.353027,32880.199219,0.0,32880.199219,0.0,,,,,,0.0,45066.307129,,,,,,,0.0,11677.719727,,,,,32358.029297,,,,,,,,1015.872986,45051.622009,213.882996,537.211975,,,-1129.939941,,1533.882935,1155.037964,0.0,1155.037964,46206.659973,
06/30/1992,45048.039062,,,,,,0.0,,1118.130005,33726.71875,0.0,33726.71875,0.0,,,,,,0.0,43929.909058,,,,,,,0.0,11175.870117,,,,,31663.939453,,,,,,,,1061.532959,43901.342529,213.882996,537.934998,,,-1211.177002,,1606.048004,1146.688995,0.0,1146.688995,45048.031525,
