Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1995,22.176001,9.87,,,,,,,,,,,-6.83,,,,-6.83,,,,,,,,,,6.83,,,,,,,,,,,,,,,
06/30/1995,-0.737,2.177,,,,,,,,,,,-2.272,,,,-2.272,,,,,,,,,,2.272,,,,,,,,,,,,,,,
09/30/1995,7.111,1.494,,,,,,,,,,,-2.734,,,,-2.734,,,,,,,,,,2.734,,,,,,,,,,,,,,,
12/31/1995,-10.283,-13.523,,,,,,,,,,-4.483,-4.483,,,,-4.483,,,,,,,,,,0.0,,,,,,,,,,,,-14.766,,,
03/31/1996,2.263,-0.968,,,,,,,,,,,-3.286,,,,-3.286,,,,,,,,,,3.286,,,,,,,,,,,,,,,
06/30/1996,7.243,-8.528,,,,,,,,,,,-4.079,,,,-4.079,,,,,,,,,,4.079,,,,,,,,,,,,,,,
09/30/1996,4.324,0.348,,,,,,,,,,,-4.371,,,,-4.371,,,,,,,,,,4.371,,,,,,,,,,,,,,,
12/31/1996,22.4,-52.139,,,,,,,,,,-0.952,-0.952,,,,-0.952,,,,,,,,,,0.0,,,,,,,,,,,,21.448,,,
03/31/1997,0.881,-0.851,,,,,,,,,,5.22,-1.623,0.0,,,-1.623,,,1.343,9.581,-8.238,,,,,5.499999,0.078,0.0,-0.079,,,,0.157,0.157,0.0,0.0,,6.179,,,
06/30/1997,-52.544998,6.59,,,,,,,,,,47.910999,-1.051,0.0,,,-1.051,,,2.896,8.35,-5.454,,,,,46.065999,7.570002,0.0,5.004002,,,,2.566,2.566,0.0,0.0,,2.936,,,
09/30/1997,52.771,2.658,,,,,,,,,,0.347,-2.228,0.0,,,-2.228,,,2.279,9.954,-7.675,,,,,0.296,-6.643,0.0,-8.142,,,,1.499,1.499,0.0,0.0,,46.474998,,,
12/31/1997,21.153999,3.506,,,,,,,,,,-3.527,-2.316,0.0,,,-2.316,,,-3.326,9.444,-12.77,,,,,2.115,-4.884,0.0,-5.744,,,,0.86,0.86,0.0,0.0,,12.743,,,
03/31/1998,-5.189,4.707,,,,,,,,,,-6.885,-1.872,0.0,,,-1.872,,,-5.013,6.017,-11.03,,,,,0.0,0.892,0.0,-0.39,,,,1.282,1.282,0.0,0.0,,-11.182,,,
06/30/1998,-9.369,-27.756001,,,,,,,,,,147.699005,-2.738,0.0,,,-2.738,,,1.837,31.436001,-29.599001,,,,,148.600005,-1.91,0.0,-2.042,,,,0.132,0.132,0.0,0.0,,136.419998,,,
09/30/1998,37.164001,5.068,,,,,,,,,,-9.414,-3.639,0.0,,,-3.639,,,-5.775002,47.639999,-53.415001,,,,,2e-06,3.114,0.0,2.356,,,,0.001,0.001,0.0,0.757,,30.864,,,
12/31/1998,45.673,6.24,,,,,,,,,,98.036003,0.0,0.0,,,0.0,,,-6.254002,37.778,-44.032001,,,,,104.290005,-44.966998,0.0,-42.488998,,,,0.0,0.0,0.0,-2.478,,98.741997,,,
03/31/1999,-46.854,8.293,,,,,,,,,,21.468,-2.921,0.0,,,-2.921,,,24.388998,50.640999,-26.252001,,,,,2e-06,-0.002,0.0,-0.048,,,,0.046,0.046,0.0,0.0,,-25.388,6.0,0.018,
06/30/1999,-91.103996,9.157,,,,,,,,,,-92.702003,-2.815,0.0,,,-2.815,,,-102.727997,64.820999,-167.548996,,,,,12.840993,0.63,0.0,-0.781,,,,1.411,1.411,0.0,0.0,,-183.175995,15.3,0.025,
09/30/1999,-66.759,,,,,,,,,,,-155.692,-8.999,,,,-8.999,,,,,,,,,,-146.693,2.537,,-0.829,,,,3.366,3.366,,,,-219.914,23.92,0.025,
12/31/1999,55.629002,15.015,,,,,,,,,,-1.198,-5.718,0.0,,,-5.718,,,-12.085999,81.625999,-93.711998,,,,,16.605999,0.236,0.0,0.0,,,,0.188,0.188,0.0,0.048,,54.667,16.290001,-0.025,
03/31/2000,19.132999,11.742,,,,,,,,,,-14.282,-3.617,0.0,,,-3.617,,,-6.259995,86.133003,-92.392998,,,,,-4.405005,-4.832,0.0,-4.832,,,,0.0,0.0,0.0,0.0,,0.019,0.543,,
06/30/2000,23.606001,13.254,,,,,,,,,,-62.16,-2.922,0.0,,,-2.922,,,-55.991001,0.0,-55.991001,,,,,-3.246999,0.599,0.0,0.0,,,,-4.233,0.0,-4.233,4.832,,-37.953999,5.688,,
09/30/2000,-23.337999,15.407,,,,,,,,,,-7.091,-7.227,0.0,,,-7.227,,,-7.955994,232.246002,-240.201996,,,,,8.091994,1.61,0.0,4.832,,,,1.611,1.611,,-4.833,,-28.819,8.5,,
12/31/2000,86.041,20.937,,,,,,,,,,-6.257,-2.258,0.0,,,-2.258,,,-28.540993,106.913002,-135.453995,,,,,24.541993,3.124,0.0,0.0,,,,3.123,5.479,-2.356,0.001,,82.907997,12.441,0.0,
03/31/2001,46.077,19.469,6.402,,,,,,,,,-44.455002,-1.602,0.0,,,-1.602,,,-39.964005,95.921997,-135.886002,,,,,-2.888997,-8.893,0.0,0.0,,,,-8.893,0.0,-8.893,0.0,,-7.271,0.671,,
06/30/2001,25.326,20.417999,6.433,,,,,,,,,-40.150002,-2.043,0.0,,,-2.043,,,-36.133995,88.663002,-124.796997,,,,,-1.973006,0.095,0.0,0.0,,,,0.095,0.095,0.0,0.0,,-14.729,11.463,,
09/30/2001,35.694,21.65,6.574,,,,,,,,,-35.534,-1.875,0.0,,,-1.875,,,-67.486008,86.878998,-154.365005,,,,,33.827007,2.13,0.0,0.0,,,,2.13,2.225,-0.095,0.0,,2.29,22.884001,,
12/31/2001,22.870001,22.870001,6.501,,,,,,,,,1.38,-6.351,0.0,,,-6.351,,,7.955002,164.184998,-156.229996,,,,,-0.224002,-0.01,0.0,0.0,,,,-0.01,0.0,-0.01,0.0,,24.24,12.967,0.0,
03/31/2002,21.834,28.438999,4.629,,,,,,,,,-77.947998,-2.292,0.0,,,-2.292,,,-74.579994,83.709999,-158.289993,,,,,-1.076004,-3.696007,0.0,170.5,,,,-174.196007,1.874,-176.070007,0.0,,-59.810001,10.417,,
06/30/2002,43.637001,36.601002,4.745,,,,,,,,,-100.075996,-3.867,0.0,,,-3.867,,,-87.998001,92.878998,-180.876999,,,,,-8.210995,0.457,0.0,0.0,,,,0.457,5.737,-5.28,0.0,,-55.981998,18.471001,,
09/30/2002,53.721001,40.185001,4.812,,,,,,,,,-55.027,-2.778,0.0,,,-2.778,,,-52.149002,208.787003,-260.936005,,,,,-0.099998,-21.840001,0.0,0.0,,,,-21.840001,3.676,-25.516001,0.0,,-23.146,40.988998,7.662,
12/31/2002,89.572998,40.377998,10.366,,,,,,,,,-41.949001,-4.096,0.0,,,-4.096,,,-6.365997,187.382004,-193.748001,,,,,-31.487004,-34.282,0.0,0.0,,,,-34.282,0.697,-34.979,0.0,,13.342,24.593,0.0,
