Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,190.557999,11.896,11.896,0.0,8.907,,,123.422997,,,,,1.558,,,,,,145.783997,43.945,49.168999,-5.224,0.0,,0.829,,,,,0.829,44.774,,72.789001,72.789001,,,,0.135,,,,,,13.535998,,,13.535998,86.459999,0.129,,,,,0.226,,,,0.226,0.355,86.814999,0.0,95.662003,,,-1.75,,9.831,103.743003,0.0,103.743003,190.558002,
06/30/1990,192.740005,7.543,7.543,0.0,10.586,,,119.077003,,,,,2.345,,,,,,139.550995,52.241001,58.941002,-6.7,0.0,,0.948,,,,,0.948,53.189001,,64.356003,64.356003,,,,0.13,,,,,,15.315999,,,15.315999,79.802002,7.147,,,,,0.219,,,,0.219,7.366,87.168002,0.0,95.914001,,,-1.75,,11.408,105.572001,0.0,105.572001,192.740003,
09/29/1990,220.764999,3.919,3.919,0.0,14.597,,,137.772003,,,,,2.497,,,,,,158.785004,61.012001,69.408997,-8.397,0.0,,0.968,,,,,0.968,61.980001,,91.460999,91.460999,,,,0.111,,,,,,19.756004,,,19.756004,111.328003,0.894,,,,,0.208,,,,0.208,1.102,112.430003,0.0,96.130997,,,-1.75,,13.954,108.334997,0.0,108.334997,220.765,
12/29/1990,355.934998,10.539,10.539,0.0,16.497,,,230.794006,,,,,4.965,,,,,,262.795013,90.292,106.794998,-16.503,0.0,,2.848,,,,,2.848,93.14,,157.843994,157.843994,,,,2.582,,,,,,27.786012,,,27.786012,188.212006,21.349001,,,,,2.312,,,,2.312,23.661001,211.873007,0.0,135.634003,,,-1.75,,10.178,144.062003,0.0,144.062003,355.93501,
03/30/1991,274.587006,11.177,11.177,0.0,7.171,,,175.494003,,,,,6.077,,,,,,199.919006,73.361,85.776001,-12.415,0.0,,1.307,,,,,1.307,74.668,,104.378998,104.378998,,,,0.1,,,,,,27.254004,,,27.254004,131.733002,24.261999,,,,,2.379,,,,2.379,26.640999,158.374001,0.0,96.932999,,,-1.75,,21.030001,116.212999,0.0,116.212999,274.587,
06/29/1991,375.539001,15.042,15.042,0.0,17.062,,,226.182007,,,,,5.709,,,,,,263.994995,108.574997,132.231995,-23.657,0.0,,2.969,,,,,2.969,111.543997,,126.959,126.959,,,,3.159,,,,,,41.154995,,,41.154995,171.272995,13.199,,,,,2.459,,,,2.459,15.658,186.930995,0.0,178.716995,,,-1.75,,11.641,188.607995,0.0,188.607995,375.53899,
09/28/1991,424.268005,15.389,15.389,0.0,20.346001,,,265.024994,,,,,6.178,,,,,,306.937988,111.599998,139.031006,-27.431,0.0,,5.73,,,,,5.73,117.329998,,161.376999,161.376999,,,,3.104,,,,,,50.901005,,,50.901005,215.382004,8.577,,,,,2.638,,,,2.638,11.215,226.597003,0.0,181.533005,,,-1.75,,17.888,197.671005,0.0,197.671005,424.268009,
12/28/1991,559.275024,40.165001,40.165001,0.0,35.937,,,337.872986,,,,,9.263,,,,,,423.238007,130.199005,161.869003,-31.67,0.0,,5.838,,,,,5.838,136.037005,,197.591995,197.591995,,,,3.012,,,,,,42.816003,,,42.816003,243.419998,6.456,,,,,3.956,,,,3.956,10.412,253.831998,0.0,282.023987,,,-1.75,,25.169001,305.442988,0.0,305.442988,559.274986,
03/28/1992,533.53302,38.566002,38.566002,0.0,24.403,,,313.549011,,,,,11.333,,,,,,387.851013,135.526993,171.841995,-36.314999,0.0,,10.155,,,,,10.155,145.681993,,150.686996,150.686996,,,,3.049,,,,,,51.607006,,,51.607006,205.343002,5.322,,,,,3.762,,,,3.762,9.084,214.427002,0.0,286.335999,,,-1.75,,34.52,319.105999,0.0,319.105999,533.533001,
06/27/1992,532.452026,14.326,14.326,0.0,31.535,,,316.571991,,,,,12.268,,,,,,374.700989,148.490005,189.843002,-41.353001,0.0,,9.261,,,,,9.261,157.751005,,134.341995,134.341995,,,,2.985,,,,,,57.343003,,,57.343003,194.669998,4.712,,,,,4.261,,,,4.261,8.973,203.642998,0.0,289.588013,,,-1.75,,40.971001,328.809013,0.0,328.809013,532.452012,
