Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Maintenance Expense,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/2004,18.77,18.756001,,,,,0.0,0.0,0.0,0.014,-11.45,5.761,,,,0.092,5.507,0.0,,0.09,7.32,-3.813,3.813,0.0,0.0,3.507,0.0,,0.0,,,3.507,,3.461,,,3.461,3.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
06/30/2004,22.799999,21.101999,,,,,0.0,0.0,0.0,1.698,-15.741,6.515,,,,0.065,6.711,0.0,,2.45,7.059,-4.065,4.065,0.0,0.0,2.994,0.0,,0.0,,,2.994,,3.096,,,3.096,3.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
09/30/2004,29.346001,29.323999,,,,,0.0,0.0,0.0,0.022,-18.033,9.167,,,,0.086,8.604,0.0,,0.176,11.313,-7.926,7.926,0.0,0.0,3.387,0.0,,0.0,,,3.387,,3.359,,,3.359,3.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
12/31/2004,36.205002,36.154999,,,,,0.0,0.0,0.0,0.05,-42.834001,11.395,,,,20.774,10.576,0.0,,0.089,-6.629001,-8.94,8.657,0.0,0.283,-15.569,0.0,,0.0,,,-15.569,,-5.359,,,-5.359,-5.359,,20.771,-0.3,-0.3,-0.29,20.771,-0.3,-0.3,-0.29,,,,,,,,,,,,,,,,,,,,,,0.156,,,,
03/31/2005,39.643,39.211,,,,,,,,0.432,-26.502,11.425,,,,2.413,12.143,,,0.521,13.141,-8.246,8.121,,0.125,4.895,,,,,,,,2.739,,,1.468,1.468,,21.4213,0.07,0.07,0.0758,21.535485,0.07,0.07,0.0758,,,,,,,,,,15.77,,15.77,,,,,,,15.77,0.73228,0.73228,0.24375,33.286458,33.286458,33.109968,
06/30/2005,48.169,44.227,,,,,,,,3.942,-31.54,14.398,,,,2.453,13.728,,,0.961,16.629,-8.938,8.938,,,7.691,,,0.084,,,,,4.335,,,2.136,2.136,,21.4213,0.1,0.1,0.1,21.584913,0.1,0.1,0.1,,,,,,,,,,19.597,,19.597,,,,,,,19.597,0.907903,0.907903,0.24375,26.847592,26.847592,26.644088,
09/30/2005,54.987,54.557,,,,,,,,0.43,-38.396,18.657,,,,3.324,16.309,,,0.106,16.591,-10.373,10.373,,,6.218,,,0.074,,,,,4.425,,,1.326,1.326,,25.704721,0.05,0.05,0.05,26.004324,0.05,0.05,0.05,,,,,,,,,,19.883,,19.883,,,,,,,19.883,0.764604,0.764604,0.24375,31.879264,31.879264,31.511974,
12/31/2005,59.906,57.607,,,,,0.0,0.0,0.0,2.299,-42.178,20.27,,,,4.425,17.436,0.0,,0.047,17.728,-11.188,10.292,0.0,0.896,6.54,0.0,,0.267,,,6.273,,4.602,,,1.157,1.157,,27.31419,0.04,0.05,0.08,27.656496,0.04,0.05,0.08,,,,,,,,,,21.276,,21.276,,,,,,,21.276,0.769295,0.769295,0.26875,34.93459,34.93459,35.925881,
03/31/2006,57.349,56.953,,,,,0.0,0.0,0.0,0.396,-39.733,18.769,,,,4.246,16.537,0.0,,0.181,17.616,-10.509,10.452,0.0,0.057,7.107,0.0,1.642,0.081,,,7.026,1.846,5.087,,,1.642,1.642,,27.503248,0.06,0.06,0.062,28.354597,0.06,0.06,0.062,,18.185,,,,,,,,21.67,,21.67,,,,,,,21.67,0.361927,0.361927,0.265,73.219243,73.219243,33.633414,
06/30/2006,62.499,62.237,,,,,0.0,0.0,0.0,0.262,-44.452,21.094,,,,4.674,18.534,0.0,,0.15,18.047,-11.674,11.249,0.0,0.425,6.373,0.0,1.65,-0.034,,,6.407,1.34,5.095,,,1.65,1.65,,33.37224,0.05,0.05,0.06,33.872344,0.05,0.05,0.06,,20.238,,,,,,,,23.228,,23.228,,,,,,,23.228,0.381041,0.381041,0.265,69.546357,69.546357,38.073203,
