Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/28/2009,,,,,30.0,30.0,,,,,,,
06/27/2009,,18.0,18.0,,2.5,2.5,,0.635818,0.635818,,0.399929,0.399929,
09/26/2009,,10.1,10.1,,13.5,13.5,,0.337161,0.337161,,0.22091,0.22091,
12/26/2009,,,,25.2,7.0,32.2,,,,,,,
04/03/2010,66.5,18.9,85.4,,4.2,4.2,2.133735,0.60643,2.740166,1.430446,0.406548,1.836994,
07/03/2010,,,,50.5,30.4,80.9,,,,,,,
10/02/2010,,,,,10.8,10.8,,,,,,,
01/01/2011,65.1,55.2,120.3,,9.4,9.4,1.907413,1.617345,3.524758,1.299764,1.102104,2.401869,
04/02/2011,115.4,4.3,119.7,,17.8,17.8,3.491996,0.130118,3.622114,2.316757,0.086326,2.403084,
07/02/2011,36.2,7.3,43.5,,19.1,19.1,1.130649,0.228004,1.358653,0.729809,0.147171,0.876981,
10/01/2011,180.8,34.9,215.7,,6.0,6.0,5.342947,1.031354,6.374302,3.393139,0.654981,4.04812,
12/31/2011,224.8,42.0,266.8,,4.9,4.9,6.368813,1.189903,7.558716,4.220407,0.78851,5.008918,
03/31/2012,324.1,34.8,358.9,,2.6,2.6,8.873374,0.952772,9.826146,5.983679,0.642493,6.626172,
06/30/2012,336.8,37.9,374.7,,7.5,7.5,9.70102,1.091653,10.792672,6.48428,0.729674,7.213954,
09/29/2012,246.2,22.6,268.8,,10.6,10.6,6.58923,0.60486,7.194091,4.457319,0.409161,4.86648,
12/29/2012,242.2,17.3,259.5,,8.2,8.2,6.424914,0.458922,6.883837,4.412301,0.315164,4.727465,
03/30/2013,220.0,17.0,237.0,,5.0,5.0,5.812417,0.449141,6.261559,4.060539,0.313769,4.374308,
06/29/2013,18.0,24.0,42.0,,2.0,2.0,0.478596,0.638128,1.116724,0.32967,0.43956,0.769231,
09/28/2013,32.0,26.0,58.0,,7.0,7.0,0.801804,0.651466,1.45327,0.510693,0.414938,0.92563,
12/28/2013,14.0,14.0,28.0,,9.0,9.0,0.34705,0.34705,0.6941,0.231023,0.231023,0.462046,
03/29/2014,1.0,10.0,11.0,,7.0,7.0,0.024789,0.247893,0.272682,0.016426,0.164258,0.180683,
06/28/2014,0.0,9.0,9.0,,8.0,8.0,0.0,0.226586,0.226586,0.0,0.146819,0.146819,
09/27/2014,0.0,46.0,46.0,,5.0,5.0,0.0,1.141723,1.141723,0.0,0.718975,0.718975,
12/27/2014,0.0,77.0,77.0,,8.0,8.0,0.0,1.889571,1.889571,0.0,1.213745,1.213745,
03/28/2015,8.0,87.0,95.0,,,19.0,0.205603,2.235929,2.441532,0.131019,1.424828,1.555847,
06/27/2015,8.0,72.0,80.0,,28.0,28.0,0.210139,1.891253,2.101392,0.131839,1.186552,1.318392,
09/26/2015,8.0,53.0,61.0,,24.0,24.0,0.209919,1.390711,1.60063,0.124166,0.822598,0.946764,
12/26/2015,8.0,45.0,53.0,,19.0,19.0,0.210305,1.182965,1.39327,0.126163,0.709667,0.83583,
04/02/2016,8.0,22.0,30.0,,,59.0,0.213675,0.587607,0.801282,0.128762,0.354096,0.482859,
07/02/2016,8.0,32.0,40.0,,,53.0,0.224341,0.897364,1.121705,0.130762,0.523047,0.653808,
10/01/2016,8.0,27.0,35.0,,,58.0,0.222346,0.750417,0.972763,0.131861,0.44503,0.576891,
12/31/2016,7.0,79.0,86.0,,,18.0,0.193906,2.188366,2.382271,0.117332,1.32417,1.441502,
04/01/2017,0.0,32.6,32.6,,,21.7,0.0,0.987999,0.987999,0.0,0.576787,0.576787,
07/01/2017,,13.5,13.5,,,55.2,,0.401774,0.401774,,0.232198,0.232198,
09/30/2017,,15.7,15.7,,79.4,79.4,,0.447344,0.447344,,0.260438,0.260438,
12/30/2017,154.4,6.9,161.3,,,84.3,4.531181,0.202494,4.733676,2.490724,0.111308,2.602033,
03/31/2018,,12.3,12.3,,,110.0,0.0,0.355759,0.355759,0.0,0.200218,0.200218,
06/30/2018,,16.0,16.0,,,59.5,,0.4677,0.4677,,0.265107,0.265107,
09/29/2018,,13.7,13.7,,40.1,40.1,,0.395725,0.395725,,0.222565,0.222565,
12/29/2018,,21.2,21.2,,24.5,24.5,0.0,0.6321,0.6321,0.0,0.347997,0.347997,
03/30/2019,,32.0,32.0,,15.5,15.5,0.0,0.973473,0.973473,0.0,0.538467,0.538467,
06/29/2019,,24.0,24.0,,19.4,19.4,,0.796601,0.796601,,0.326811,0.326811,
09/28/2019,,53.4,53.4,,5.2,5.2,,1.832784,1.832784,,0.738742,0.738742,
12/28/2019,,35.3,35.3,,9.2,9.2,0.0,1.132681,1.132681,0.0,0.474086,0.474086,
03/28/2020,,62.3,62.3,,6.9,6.9,0.0,2.313319,2.313319,0.0,0.855781,0.855781,
06/27/2020,,46.6,46.6,,18.2,18.2,,1.823518,1.823518,,0.602036,0.602036,
