Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,3735.279053,435.345001,435.345001,0.0,162.710999,,,64.863998,,,,,400.130005,,,,1063.050049,1738.442017,3671.686035,-1933.244019,0.0,933.786987,,,,,,933.786987,2672.229004,,182.302002,182.302002,,,,8.554,,,,,292.414994,,,292.414994,483.270996,887.682983,,,,710.890015,,,,710.890015,1598.572998,2081.843994,0.0,656.953979,,,,,996.481018,1653.434998,0.0,1653.434998,3735.278992,
06/30/1990,3878.650879,704.604004,704.604004,0.0,149.565994,,,68.943001,,,,,374.209015,,,,1297.322021,1739.688965,3702.399902,-1962.71106,0.0,841.640015,,,,,,841.640015,2581.328979,,261.613007,261.613007,,,,8.465,,,,,322.50201,,,322.50201,592.580017,931.528015,,,,666.20697,,,,666.20697,1597.734985,2190.315002,0.0,678.955017,,,,,1009.380981,1688.335999,0.0,1688.335999,3878.651001,
09/30/1990,3911.1521,760.476013,760.476013,0.0,148.675003,,,77.0,,,,,372.604004,,,,1358.755005,1768.427979,3749.547119,-1981.119019,0.0,783.968994,,,,,,783.968994,2552.396973,,196.257996,196.257996,,,,91.908997,,,,,354.14801,,,354.14801,642.315002,848.445007,,,,693.778015,,,,693.778015,1542.223022,2184.538025,0.0,678.953979,,,,,1047.660034,1726.614014,0.0,1726.614014,3911.152039,
12/31/1990,3817.895996,624.807983,624.807983,0.0,215.408005,,,78.691002,,,,,561.036011,,,,1479.942993,1310.102051,2792.780029,-1482.677979,0.0,1027.850952,,,,,,1027.850952,2337.953003,,153.397995,153.397995,,,,0.0,,,,,559.612991,,,559.612991,713.010986,848.632996,,,,427.990997,,,,427.990997,1276.623993,1989.634979,0.0,976.525024,,,,,851.736023,1828.261047,0.0,1828.261047,3817.896027,
03/31/1991,3923.461914,884.61499,884.61499,0.0,139.561996,,,46.490002,,,,,590.489014,,,,1661.156006,1812.360962,3729.22998,-1916.869019,204.044006,245.901001,,,,,,245.901001,2262.305969,,209.298996,209.298996,,,,0.0,,,,,499.909988,,,499.909988,709.208984,848.656982,,,,524.184998,,,,524.184998,1372.84198,2082.050964,0.0,679.411011,,,,,1162.0,1841.411011,0.0,1841.411011,3923.461975,
06/30/1991,3519.311035,595.184998,595.184998,0.0,86.952003,,,47.505001,,,,,558.856018,,,,1288.498047,1246.902954,2737.073975,-1490.171021,55.254002,928.656006,,,,,,928.656006,2230.812962,,125.837997,125.837997,,,,0.0,,,,,483.732986,,,483.732986,609.570984,848.679993,,,,360.997986,,,,360.997986,1209.677979,1819.248962,0.0,678.955017,,,,,1021.106995,1700.062012,0.0,1700.062012,3519.310974,
09/30/1991,2535.11792,763.01001,763.01001,0.0,103.019997,,,48.039001,,,,,319.089996,,,,1233.159058,1128.444946,2512.583008,-1384.137939,34.243999,139.270004,,,,,,139.270004,1301.95895,,158.682999,158.682999,,,,0.0,,,,,373.501999,,,373.501999,532.184998,848.703979,,,,303.196014,,,,303.196014,1151.899994,1684.084991,0.0,728.578979,,,,,122.454002,851.032982,0.0,851.032982,2535.117973,
12/31/1991,2301.931885,324.770996,324.770996,0.0,162.951004,,,51.347,,,,,315.423004,,,,854.492004,1283.796021,2506.834961,-1223.03894,0.0,163.643997,,,,,,163.643997,1447.440018,,134.865997,134.865997,,,,0.342,,,,,423.99702,,,423.99702,559.205017,249.942001,,,,677.906982,,,,677.906982,927.848983,1487.054,0.0,476.524994,,,0.0,,338.352997,814.877991,0.0,814.877991,2301.931991,
03/31/1992,2080.697998,172.345001,172.345001,0.0,157.572998,,,53.729,,,,,99.361,,,,483.007996,1334.723999,2561.051025,-1226.327026,0.0,262.966003,,,,,,262.966003,1597.690002,,284.878998,284.878998,,,,0.0,,,,,76.251007,,,76.251007,361.130005,636.987976,,,,417.970001,,,,417.970001,1054.957977,1416.087982,0.0,571.835022,,,,,92.775002,664.610023,0.0,664.610023,2080.698006,
06/30/1992,2002.457031,99.955002,99.955002,0.0,134.507004,,,50.472,,,,,90.778,,,,375.712006,1370.979004,2583.909912,-1212.93103,0.0,255.766006,,,,,,255.766006,1626.74501,,251.218002,251.218002,,,,0.0,,,,,34.987991,,,34.987991,286.205994,637.017029,,,,410.035004,,,,410.035004,1047.052032,1333.258026,0.0,568.455017,,,,,100.744003,669.19902,0.0,669.19902,2002.457047,
09/30/1992,2004.842041,90.736,90.736,0.0,140.628998,,,41.877998,,,,,95.146004,,,,368.389008,1390.178955,2604.23291,-1214.053955,0.0,246.274002,,,,,,246.274002,1636.452957,,291.641998,291.641998,,,,0.0,,,,,36.562988,,,36.562988,328.204987,637.046997,,,,367.43399,,,,367.43399,1004.480988,1332.685974,0.0,566.724976,,,0.0,,105.431,672.155975,0.0,672.155975,2004.841949,
