Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1991,12.198356,9.380612,2.408019,6.972593,,,,,,,,,0.415864,,,,,9.796476,2.367505,,,,0.034375,,,,,0.034375,2.40188,,0.111527,0.111527,,,,,,,,,,0.840641,,,,0.840641,0.952168,,,,,,,,,,,,,,,37.605549,,,,,-26.35936,11.246189,,11.246189,,
06/30/1991,11.038855,8.204598,3.081406,5.123192,,,,,,,,,0.626795,,,,,8.831393,2.173087,,,,0.034375,,,,,0.034375,2.207462,,0.094054,0.094054,,,,,,,,,,1.112917,,,,1.112917,1.206971,,,,,,,,,,,,,,,37.602936,,,,,-27.771051,9.831884,,9.831884,,
09/30/1991,9.091796,6.723144,2.103084,4.62006,,,,,,,,,0.244301,,,,,6.967445,2.089976,,,,0.034375,,,,,0.034375,2.124351,,0.058777,0.058777,,,,,,,,,,1.091564,,,,1.091564,1.150341,,,,,,,,,,,,,,,38.949257,,,,,-31.007801,7.941456,,7.941456,,
12/31/1991,37.840321,35.67476,13.96713,21.70763,,,,,,,,,0.22264,,,,,35.897411,1.90854,6.269847,-4.361307,,0.034375,,,,,0.034375,1.942915,,0.146063,0.146063,,,,,,,,,,1.063687,,,,1.063687,1.20975,,,,,,,,,,,,,,,69.671127,,,,,-33.040569,36.630558,,36.630558,,
03/31/1992,36.592728,34.284485,3.733826,30.550659,,,,,,,,,0.366302,,,,,34.650787,1.907567,,,,0.034375,,,,,0.034375,1.941942,,0.197334,0.197334,,,,,,,,,,0.891269,,,,0.891269,1.088603,,,,,,,,,,,,,,,69.737289,,,,,-34.233166,35.504124,,35.504124,,
06/30/1992,35.552448,32.573709,2.135108,30.438601,,,,,,,,,0.781492,,,,,33.355202,2.162871,,,,0.034375,,,,,0.034375,2.197246,,0.135126,0.135126,,,,0.0,,,,,,0.748329,,,,0.748329,0.883455,,,,,,,,,,,,,,,70.44944,,,,,-35.780449,34.668991,,34.668991,,
09/30/1992,33.967045,30.671926,0.878751,29.793175,,,,,,,,,0.732465,,,,,31.40439,2.521406,,,,0.04125,,,,,0.04125,2.562656,,0.270443,0.270443,,,,0.0,,,,,,1.067746,,,,1.067746,1.338189,,,,,,,,,,,,,,,70.483093,,,,,-37.85424,32.628853,,32.628853,,
12/31/1992,31.750601,28.423398,0.844558,27.57884,,,,,,,,,0.333083,,,,,28.756479,2.95287,8.097318,-5.144448,,0.04125,,,,,0.04125,2.99412,,0.293454,0.293454,,,,0.0,,,,,,1.082552,,,,1.082552,1.376006,,,,,,,,,,,,,,,70.522987,,,,,-40.148399,30.374588,,30.374588,,
03/31/1993,29.674999,25.85,5.163,20.687,0.0,,,0.0,,,,,0.392,,,,,26.242001,3.392,,,0.0,0.041,,,,,0.041,3.433,,0.27,0.27,,,,0.0,,,,,,1.186,,,,1.186,1.456,0.0,,,,,0.0,,,,,0.0,0.0,1.456,0.0,70.615997,,,0.0,,-42.396999,28.218998,0.0,28.218998,29.674998,
06/30/1993,27.386,22.481999,1.588,20.893999,0.0,,,0.0,,,,,1.269,,,,,23.750999,3.594,,,0.0,0.041,,,,,0.041,3.635,,0.314,0.314,,,,0.0,,,,,,1.054,,,,1.054,1.368,0.0,,,,,0.0,,,,,0.0,0.0,1.368,0.0,70.628998,,,0.0,,-44.611,26.017998,0.0,26.017998,27.385998,
