Date,Revenue,Sales & Services Revenue,Other Revenue,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1908.0,,,,,-1793.0,,,,115.0,-70.0,,77.0,,0.0,-7.0,45.0,-17.0,28.0,-51.0,,,79.0,-2.0,77.0,-3.3,,73.7,73.7,,1174.835999,0.063333,0.02,,1174.835999,0.063333,0.02,0.02,
06/30/1990,2047.0,,,,,-1826.0,,,,221.0,-58.0,,79.0,,0.0,-21.0,163.0,-50.0,113.0,0.0,,,113.0,-4.0,109.0,-3.4,,105.6,105.6,,1178.747955,0.09,0.09,,1178.747955,0.09,0.09,0.09,
09/30/1990,2063.0,,,,,-1827.0,,,,236.0,-79.0,,82.0,,0.0,-3.0,157.0,-50.0,107.0,0.0,,,107.0,-6.0,101.0,-1.6,,99.4,99.4,,1180.584045,0.084167,0.084167,,1180.584045,0.084167,0.084167,0.084167,
12/31/1990,2187.0,,,,,-1944.0,,,,243.0,-56.0,,81.0,,0.0,-25.0,187.0,-55.0,132.0,0.0,,,132.0,-3.0,129.0,-0.7,,128.3,128.3,,1182.0,0.108333,0.108333,0.108333,1182.0,0.108333,0.108333,0.108333,
03/31/1991,2030.0,,,,,-1885.0,,,,145.0,-59.0,,78.0,,0.0,-19.0,86.0,-29.0,57.0,196.0,,,-139.0,0.0,-139.0,0.0,,-139.0,-139.0,,1185.575958,-0.116667,0.048333,,1185.575958,-0.116667,0.048333,0.048333,
06/30/1991,2125.0,,,,,-1919.0,,,,206.0,-17.0,,79.0,,0.0,-62.0,189.0,-69.0,120.0,0.0,,,120.0,-5.0,115.0,0.0,,115.0,115.0,,1194.936035,0.095833,0.095833,,1194.936035,0.095833,0.095833,0.095833,
09/30/1991,2205.0,,,,,-1964.0,,,,241.0,-74.0,,75.0,,0.0,-1.0,167.0,-52.0,115.0,0.0,,,115.0,-7.0,108.0,0.0,,108.0,108.0,,1214.940033,0.089167,0.089167,,1214.940033,0.089167,0.089167,0.089167,
12/31/1991,2276.0,,,,,-2014.0,,,,262.0,-792.0,,74.0,,0.0,718.0,-530.0,187.0,-343.0,0.0,,,-343.0,-13.0,-356.0,0.0,,-356.0,-356.0,,1227.44394,-0.289167,-0.289167,-0.289167,1227.44394,-0.289167,-0.289167,-0.289167,
03/31/1992,2086.0,,,,,-1929.0,,,,157.0,-60.0,,68.0,,0.0,-8.0,97.0,-31.0,66.0,0.0,,,66.0,-4.0,62.0,0.0,,62.0,62.0,,1231.235962,0.05,0.05,,1231.235962,0.05,0.05,0.05,
06/30/1992,2189.0,,,,,-1935.0,,,,254.0,-759.0,,66.0,,0.0,693.0,-505.0,186.0,-319.0,0.0,,,-319.0,-3.0,-322.0,0.0,,-322.0,-322.0,,1234.596039,-0.260833,-0.260833,,1234.596039,-0.260833,-0.260833,-0.260833,
09/30/1992,2214.0,,,,,-1952.0,,,,262.0,-66.0,,71.0,,0.0,-5.0,196.0,-64.0,132.0,0.0,,,132.0,-4.0,128.0,0.0,,128.0,128.0,,1235.891968,0.104167,0.104167,,1235.891968,0.104167,0.104167,0.104167,
12/31/1992,2245.0,,,,,-1953.0,,,,292.0,-72.0,,71.0,,0.0,1.0,220.0,-64.0,156.0,0.0,,,156.0,-4.0,152.0,0.0,,152.0,152.0,,1239.174036,0.1225,0.1225,0.1225,1239.174036,0.1225,0.1225,0.1225,
03/31/1993,2123.0,,,,,-1967.0,,,,156.0,-166.0,,74.0,,0.0,92.0,-10.0,3.0,-7.0,0.0,,,-7.0,-2.0,-9.0,0.0,,-9.0,-9.0,,1243.968018,-0.0075,-0.0075,,1243.968018,-0.0075,-0.0075,-0.0075,
06/30/1993,2264.0,,,,,-1986.0,,,,278.0,-42.0,,75.0,,0.0,-33.0,236.0,-79.0,157.0,0.0,,,157.0,-3.0,154.0,0.0,,154.0,154.0,,1247.664001,0.123333,0.123333,,1247.664001,0.123333,0.123333,0.123333,
09/30/1993,2238.0,,,,,-1986.0,,,,252.0,-68.0,,74.0,,0.0,-6.0,184.0,-116.0,68.0,0.0,,,68.0,-5.0,63.0,0.0,,63.0,63.0,,1247.952026,0.050833,0.050833,,1247.952026,0.050833,0.050833,0.050833,
12/31/1993,2315.0,,,,,-2088.0,,,,227.0,10.0,,75.0,,0.0,-85.0,237.0,-82.0,155.0,0.0,,,155.0,-4.0,151.0,0.0,,151.0,151.0,,1249.079952,0.121667,0.121667,0.121667,1249.079952,0.121667,0.121667,0.121667,
04/01/1994,2227.0,,,,,-2041.0,,,,186.0,-64.0,,67.0,,0.0,-3.0,122.0,-44.0,78.0,0.0,,,78.0,-4.0,74.0,0.0,,74.0,74.0,,1253.424042,0.059167,0.059167,,1253.424042,0.059167,0.059167,0.059167,
07/01/1994,2371.0,,,,,-2067.0,,,,304.0,-53.0,,71.0,,0.0,-18.0,251.0,-89.0,162.0,0.0,,,162.0,0.0,162.0,0.0,,162.0,162.0,,1256.448029,0.129167,0.129167,,1256.448029,0.129167,0.129167,0.129167,
09/30/1994,2470.0,,,,,-2120.0,,,,350.0,-75.0,,69.0,,0.0,6.0,275.0,-98.0,177.0,0.0,,,177.0,0.0,177.0,0.0,,177.0,177.0,,1256.772034,0.14,0.14,,1256.772034,0.14,0.14,0.14,
12/30/1994,2540.0,,,,,-2148.0,,,,392.0,-34.0,,74.0,,0.0,-40.0,358.0,-123.0,235.0,0.0,,,235.0,4.0,239.0,0.0,,239.0,239.0,,1256.640012,0.190833,0.190833,,1256.640012,0.190833,0.190833,0.190833,
03/31/1995,2468.0,,,,,-2197.0,,,,271.0,-74.0,,67.0,,0.0,7.0,197.0,-76.0,121.0,0.0,,,121.0,0.0,121.0,0.0,,121.0,121.0,,1259.31601,0.095833,0.095833,,1259.31601,0.095833,0.095833,0.095833,
06/30/1995,2600.0,,,,,-2248.0,,,,352.0,-327.0,,68.0,,0.0,259.0,25.0,-6.0,19.0,0.0,,,19.0,0.0,19.0,0.0,,19.0,19.0,,1262.579956,0.015,0.015,,1262.579956,0.015,0.015,0.015,
09/29/1995,2665.0,,,,,-2283.0,,,,382.0,-61.0,,68.0,,0.0,-7.0,321.0,-119.0,202.0,0.0,,,202.0,0.0,202.0,0.0,,202.0,202.0,,1262.424042,0.16,0.16,,1262.424042,0.16,0.16,0.16,
12/30/1995,2771.0,,,,,-2347.0,,,,424.0,7.0,,67.0,,0.0,-74.0,431.0,-155.0,276.0,0.0,,,276.0,0.0,276.0,0.0,,276.0,276.0,,1264.121976,0.218333,0.218333,,1264.121976,0.218333,0.218333,0.218333,
03/29/1996,2514.0,,,,,-2218.0,,,,296.0,-64.0,,60.0,,-1.0,5.0,232.0,-78.0,154.0,0.0,,,154.0,-8.0,146.0,0.0,,146.0,146.0,,1265.78403,0.115,0.115,0.115,1265.78403,0.113333,0.113333,0.113333,
06/28/1996,2672.0,,,,,-2264.0,,,,408.0,-38.0,,71.0,,0.0,-33.0,370.0,-126.0,244.0,0.0,,,244.0,-10.0,234.0,0.0,,234.0,234.0,,1270.067964,0.185,0.185,0.185,1270.067964,0.181667,0.181667,0.181667,
09/27/1996,2647.0,,,,,-2255.0,,,,392.0,-38.0,,57.0,,0.0,-19.0,354.0,-121.0,233.0,0.0,,,233.0,-11.0,222.0,0.0,,222.0,222.0,,1289.153964,0.173333,0.173333,0.173333,1289.153964,0.17,0.17,0.17,
12/31/1996,2703.0,,,,,-2277.0,,,,426.0,-24.0,,61.0,,-4.0,-33.0,402.0,-136.0,266.0,0.0,,,266.0,-13.0,253.0,0.0,,253.0,253.0,,1300.97397,0.195,0.195,0.195,1300.97397,0.191667,0.191667,0.191667,
03/28/1997,2567.0,,,,,-2243.0,,,,324.0,-81.0,,84.0,,,-3.0,243.0,-82.0,161.0,0.0,,,161.0,-10.0,151.0,0.0,,151.0,151.0,,1303.36203,0.12,0.12,0.128333,1316.964018,0.118333,0.118333,0.126667,
06/27/1997,2678.0,,,,,-2245.0,,,,433.0,-83.0,,111.0,,,-28.0,350.0,-113.0,237.0,0.0,,,237.0,-10.0,227.0,0.0,,227.0,227.0,,1306.104036,0.18,0.18,0.186667,1321.890012,0.176667,0.176667,0.185,
09/26/1997,2649.0,,,,,-2265.0,,,,384.0,-73.0,,125.0,,,-52.0,311.0,-94.0,217.0,0.0,,,217.0,-11.0,206.0,0.0,,206.0,206.0,,1261.86603,0.163333,0.163333,0.18,1295.124024,0.16,0.16,0.176667,
12/26/1997,2727.0,,,,,-2285.0,,,,442.0,-122.0,,131.0,,,-9.0,320.0,-95.0,225.0,0.0,,,225.0,-10.0,215.0,0.0,,215.0,215.0,,1263.480012,0.17,0.17,0.19,1293.96597,0.165,0.165,0.188333,
