Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,,42.0,42.0,33.0,33.0,,0.435866,0.435866,,0.120192,0.120192,
06/30/2008,,33.0,,27.0,,,0.321606,0.321606,,0.089725,0.089725,
09/30/2008,,68.0,68.0,36.0,36.0,,0.712938,0.712938,,0.183377,0.183377,
12/31/2008,,30.0,30.0,38.0,38.0,,0.41742,0.41742,,0.084531,0.084531,
03/31/2009,,44.0,44.0,44.0,44.0,,0.586588,0.586588,,0.128067,0.128067,
06/30/2009,,89.0,,39.0,,,1.039598,,,0.253294,,
09/30/2009,,161.0,161.0,23.0,23.0,,1.677957,1.677957,,0.45006,0.45006,
12/31/2009,,157.0,157.0,6.0,6.0,,1.750084,1.750084,,0.436196,0.436196,
03/31/2010,,527.0,527.0,28.0,28.0,,5.788664,5.788664,,1.462832,1.462832,
06/30/2010,,418.0,418.0,39.0,39.0,,4.579316,4.579316,,1.158183,1.158183,
09/30/2010,,403.0,403.0,19.0,19.0,,3.850564,3.850564,,1.057216,1.057216,
12/31/2010,,362.0,362.0,16.0,16.0,,3.355891,3.355891,,0.956811,0.956811,
03/31/2011,,500.0,500.0,50.0,50.0,,4.2337,4.2337,,1.285281,1.285281,
06/30/2011,,513.0,513.0,48.0,48.0,,4.21044,4.21044,,1.293821,1.293821,
09/30/2011,,484.0,484.0,43.0,43.0,,4.113198,4.113198,,1.227025,1.227025,
12/31/2011,,520.0,520.0,62.0,62.0,,4.769767,4.769767,,1.30627,1.30627,
03/31/2012,,529.0,529.0,46.0,46.0,,4.467151,4.467151,,1.310379,1.310379,
06/30/2012,,612.0,612.0,81.0,81.0,,5.064967,5.064967,,1.523373,1.523373,
09/30/2012,,711.0,711.0,34.0,34.0,,5.378622,5.378622,,1.731022,1.731022,
12/31/2012,,717.0,717.0,33.0,33.0,,5.487945,5.487945,,1.713139,1.713139,
03/31/2013,,768.0,768.0,40.0,40.0,,5.675017,5.675017,,1.837321,1.837321,
06/30/2013,,795.0,795.0,55.0,55.0,,5.736759,5.736759,,1.885405,1.885405,
09/30/2013,,817.0,817.0,55.0,55.0,,5.420288,5.420288,,1.839841,1.839841,
12/31/2013,,909.0,909.0,35.0,35.0,,5.170943,5.170943,,2.00066,2.00066,
03/31/2014,932.0,91.0,1023.0,20.0,20.0,5.165438,0.504351,5.669789,2.035957,0.19879,2.234747,
06/30/2014,,1619.0,1619.0,,11.0,,8.603922,8.603922,,3.474547,3.474547,
09/30/2014,,1826.0,1826.0,,14.0,,9.578765,9.578765,,3.954007,3.954007,
12/31/2014,,1592.0,1592.0,,10.0,,8.951867,8.951867,,3.502673,3.502673,
03/31/2015,,2010.0,2010.0,29.0,29.0,,11.370708,11.370708,,4.43151,4.43151,
06/30/2015,,,3338.0,,50.0,,,17.702588,,,7.192105,
09/30/2015,,3175.0,3175.0,50.0,50.0,,17.476744,17.476744,,6.809651,6.809651,
12/31/2015,,1621.0,1621.0,,17.0,,8.664742,8.664742,,3.286966,3.286966,
03/31/2016,,1495.0,1495.0,62.0,62.0,,8.136054,8.136054,,2.968331,2.968331,
06/30/2016,,1713.0,1713.0,,49.0,,9.041964,9.041964,,3.346945,3.346945,
09/30/2016,,1989.0,1989.0,30.0,30.0,,10.266336,10.266336,,3.71387,3.71387,
12/31/2016,,1891.0,1891.0,,50.0,,9.672634,9.672634,,3.492409,3.492409,
03/31/2017,,2180.0,2180.0,,59.0,,10.645571,10.645571,,3.979627,3.979627,
06/30/2017,,2189.0,2189.0,,84.0,,10.650513,10.650513,,3.932241,3.932241,
09/30/2017,,3030.0,3030.0,,116.0,,14.271584,14.271584,,5.337514,5.337514,
12/31/2017,,3977.0,3977.0,,122.0,,23.857229,23.857229,,6.687405,6.687405,
03/31/2018,,2581.0,2581.0,,252.0,,14.517127,14.517127,,4.234757,4.234757,
06/30/2018,,2085.0,2085.0,118.0,118.0,,11.727978,11.727978,,3.483127,3.483127,
09/30/2018,,2066.0,2066.0,,114.0,,11.214243,11.214243,,3.336186,3.336186,
12/31/2018,,1955.0,1955.0,,69.0,,10.645249,10.645249,,3.383934,3.383934,
03/31/2019,,2464.0,2464.0,,55.0,,12.993725,12.993725,,4.20765,4.20765,
06/30/2019,,2141.0,2141.0,,23.0,,11.850335,11.850335,,3.707359,3.707359,
09/30/2019,,2094.0,2094.0,,10.0,,11.4345,11.4345,,3.483961,3.483961,
12/31/2019,,1903.0,1903.0,,34.0,,10.169401,10.169401,,3.243068,3.243068,
03/31/2020,,2178.0,2178.0,,74.0,,12.186661,12.186661,,3.792971,3.792971,
06/30/2020,,2267.0,2267.0,50.0,50.0,,12.338758,12.338758,,3.564241,3.564241,
