Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1997,2418.700928,21.93,21.93,0.0,352.420013,,,347.277008,,,,,25.268,,,,,,,,746.89502,1558.319946,2083.150879,-524.830994,0.0,113.486,,,,,113.486,1671.805946,,432.540009,432.540009,,,,175.0,,,,,,53.639008,,,,53.639008,661.179016,323.5,,,,,283.321991,,,,,283.321991,606.821991,1268.001007,0.0,1111.100952,,,-0.151,,39.749999,1150.699951,0.0,1150.699951,2418.700958,
12/31/1997,2493.042969,9.935,9.935,0.0,366.315002,,,369.355011,159.158997,0.0,210.195999,,43.419998,,,,,,,,789.025024,1592.532959,2132.489014,-539.955994,0.0,111.485001,,,,,111.485001,1704.01796,,414.304993,414.304993,,,,122.0,,,,,,60.979004,,,,60.979004,597.283997,430.183014,,,,,306.734985,,,,,306.734985,736.917999,1334.201996,0.0,1111.214966,,,0.0,,47.625999,1158.840965,0.0,1158.840965,2493.042961,
03/31/1998,2431.162109,9.808,9.808,0.0,271.868988,,,334.311005,,,,,71.221001,,,,,,,,687.208984,1606.828003,2164.269043,-557.440979,0.0,137.125,,,,,137.125,1743.953003,,338.835999,338.835999,,,,175.0,,,,,,50.672974,,,,50.672974,564.508972,398.346985,,,,,319.958008,,,,,319.958008,718.304993,1282.813965,0.0,1111.124023,,,-0.027,,37.250999,1148.348022,0.0,1148.348022,2431.161987,
06/30/1998,2469.735,6.578,6.578,,323.99,323.99,,312.09,177.2,,134.89,,61.063,,,,,,,,703.721,1630.246,2206.407,-576.161,,135.768,,,,,135.768,1766.014,,378.528,378.528,,,,125.0,,,,,,39.372,,,,39.372,542.9,410.01,,,,,332.614,,,,,332.614,742.624,1285.524,,1114.244,,,-2.728,72.695,0.0,1184.211,,1184.211,2469.735,
09/30/1998,2803.809082,8.196,8.196,0.0,272.569,,,430.923004,,,,,38.097,,,,,,,,749.784973,1928.353027,2523.331055,-594.978027,0.0,125.670998,,,,,125.670998,2054.024025,,386.278992,386.278992,,,,107.0,,,,,,89.190002,,,,89.190002,582.468994,697.672974,,,,,351.95401,,,,,351.95401,1049.626984,1632.095978,0.0,1112.956055,,,-13.749,,72.506,1171.713055,0.0,1171.713055,2803.809032,
12/31/1998,2725.664062,11.199,11.199,0.0,283.455994,,,316.404999,,,,,28.65,,,,,,,,639.710022,1959.343018,2572.189941,-612.846985,0.0,126.611,,,,,126.611,2085.954018,,283.183014,283.183014,,,,160.0,,,,,,54.560974,,,,54.560974,497.743988,822.335022,,,,,320.298004,,,,,320.298004,1142.633026,1640.377014,0.0,1113.28894,,,-10.384,,-17.618001,1085.28694,0.0,1085.28694,2725.663954,
03/31/1999,2814.398,13.343,13.343,0.0,296.925,296.925,,299.472,60.933,77.555,160.984,,83.394,,,,,,,,693.134,1974.763,2608.488,-633.725,0.0,146.501,0.0,,,,146.501,2121.264,,405.144,405.144,,,,63.0,,,,,,45.527,,,,45.527,513.671,846.421,,,,,373.727,,,,,373.727,1220.148,1733.819,0.0,1106.178,,,-5.265,-20.334,0.0,1080.579,0.0,1080.579,2814.398,
06/30/1999,2869.984,5.804,5.804,0.0,302.428,302.428,,329.612,128.869,0.0,200.743,0.0,100.305,,,,,,,,738.149,1972.875,2628.453,-655.578,0.0,158.96,0.0,,,,158.96,2131.835,,422.022,422.022,,,,31.0,,,,,,60.139,,,,60.139,513.161,916.104,,,,,384.595,,,,,384.595,1300.699,1813.86,0.0,1101.178,,,-2.635,-42.419,0.0,1056.124,0.0,1056.124,2869.984,
09/30/1999,2999.075,7.819,7.819,0.0,352.226,352.226,,418.745,156.962,0.0,261.783,,83.393,,,,,,,,862.183,1983.774,2662.398,-678.624,0.0,153.118,0.0,,,,153.118,2136.892,,610.842,610.842,,,,12.0,,,,,,79.202,,,,79.202,702.044,845.788,,,,,374.951,,,,,374.951,1220.739,1922.783,0.0,1096.102,,,-0.003,-19.807,0.0,1076.292,0.0,1076.292,2999.075,
12/31/1999,2979.272,60.087,60.087,0.0,372.542,372.542,,303.388,119.869,0.0,183.519,0.0,92.841,,,,,,,,828.858,1984.514,2686.684,-702.17,0.0,165.9,0.0,,,,165.9,2150.414,,616.895,616.895,,,,0.0,,,,,,102.087,,,,102.087,718.982,785.472,,,,,390.049,,,,,390.049,1175.521,1894.503,0.0,1092.911,,,-4.811,-3.331,0.0,1084.769,0.0,1084.769,2979.272,
