Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,950.700012,11.9,11.9,,192.5,,,164.300003,,,,,18.799999,,,,,387.5,431.799988,725.200012,-293.399994,,131.399994,,,,,131.399994,563.199982,,112.099998,112.099998,,,,82.400002,,,,,,48.199997,,,48.199997,242.699997,254.399994,,,,,72.900002,,,,72.900002,327.299995,569.999992,1.5,26.6,,,-59.5,,412.100006,380.700006,,380.700006,950.699999,
07/01/1990,945.200012,10.6,10.6,,220.300003,,,138.899994,,,,,12.2,,,,,382.0,423.100006,726.299988,-303.200012,,140.100006,,,,,140.100006,563.200012,,113.300003,113.300003,,,,67.800003,,,,,,55.299988,,,55.299988,236.399994,243.0,,,,,72.699997,,,,72.699997,315.699997,552.099991,2.2,26.799999,,,-58.799999,,422.900005,393.100005,,393.100005,945.199996,
09/30/1990,953.200012,16.200001,16.200001,,208.600006,,,142.899994,,,,,7.8,,,,,375.5,416.700012,731.200012,-314.5,,161.0,,,,,161.0,577.700012,,114.300003,114.300003,,,,45.799999,,,,,,61.599995,,,61.599995,221.699997,247.800003,,,,,75.300003,,,,75.300003,323.100006,544.800003,2.3,27.0,,,-56.200001,,435.300007,408.400006,,408.400006,953.200009,
12/31/1990,1307.599976,30.0,30.0,,217.899994,,,272.5,,,,,21.799999,,,,,542.200012,610.099976,1051.900024,-441.799988,,155.300003,,,,,155.300003,765.399979,,141.5,141.5,,,,83.300003,,,,,,98.199997,,,98.199997,323.0,404.799988,,,,,109.099998,,,,109.099998,513.899986,836.899986,53.599998,27.200001,,,-53.0,,429.700012,457.500011,13.2,470.700011,1307.599997,
03/31/1991,1356.5,17.5,17.5,,245.5,,,320.200012,,,,,18.1,,,,,601.299988,604.0,1065.199951,-461.200012,,151.199997,,,,,151.199997,755.199997,,147.300003,147.300003,,,,111.699997,,,,,,97.899994,,,97.899994,356.899994,415.700012,,,,,108.0,,,,108.0,523.700012,880.600006,53.599998,26.700001,,,-49.599998,,431.300011,462.000011,13.9,475.900011,1356.500017,
06/30/1991,1639.699951,22.200001,22.200001,,352.799988,,,333.899994,,,,,19.200001,,,,,728.099976,762.799988,1280.0,-517.200012,,148.800003,,,,,148.800003,911.599991,,184.199997,184.199997,,,,159.300003,,,,,,150.0,,,150.0,493.5,483.600006,,,,,149.0,,,,149.0,632.600006,1126.100006,54.5,25.9,,,-45.799999,,448.900005,483.500006,30.1,513.600006,1639.700012,
09/29/1991,1578.099976,38.5,38.5,,309.600006,,,298.799988,,,,,8.3,,,,,655.200012,758.700012,1301.5,-542.799988,,164.199997,,,,,164.199997,922.900009,,173.600006,173.600006,,,,29.9,,,,,,159.299982,,,159.299982,362.799988,428.600006,,,,,151.100006,,,,151.100006,579.700012,942.5,54.599998,129.399994,,,-41.400002,,464.199989,606.79998,28.799999,635.599979,1578.099979,
12/31/1991,1432.0,11.0,11.0,,215.699997,,,293.0,,,,,29.799999,,,,,549.5,684.099976,1139.800049,-455.700012,,198.399994,,,,,198.399994,882.49997,,135.899994,135.899994,,,,157.800003,,,,,,119.199997,,,119.199997,412.899994,260.0,,,,,137.899994,,,,137.899994,397.899994,810.799988,55.799999,128.899994,,,-36.599998,,458.899986,606.999981,14.2,621.199981,1431.999969,
03/29/1992,1682.5,18.6,18.6,,270.600006,,,403.399994,,,,,21.1,,,,,713.700012,781.200012,1369.599976,-588.400024,,187.600006,,,,,187.600006,968.800018,,178.399994,178.399994,,,,163.600006,,,,,,137.100006,,,137.100006,479.100006,474.100006,,,,,142.199997,,,,142.199997,616.300003,1095.400009,5.3,129.0,,,-30.9,,456.299994,559.699994,27.4,587.099994,1682.500003,
06/28/1992,1706.300049,21.0,21.0,,311.100006,,,384.899994,,,,,19.200001,,,,,736.200012,774.900024,1388.699951,-613.799988,,195.199997,,,,,195.199997,970.100021,,173.199997,173.199997,,,,198.199997,,,,,,146.199982,,,146.199982,517.599976,446.200012,,,,,137.5,,,,137.5,583.700012,1101.299988,6.5,129.699997,,,-26.6,,466.800013,576.400009,28.6,605.00001,1706.299997,
09/27/1992,1533.5,9.9,9.9,,251.600006,,,352.799988,,,,,7.7,,,,,622.0,692.900024,1213.800049,-520.900024,,218.600006,,,,,218.600006,911.500031,,156.800003,156.800003,,,,132.199997,,,,,,135.200012,,,135.200012,424.200012,371.0,,,,,131.5,,,,131.5,502.5,926.700012,6.3,130.399994,,,-22.299999,,475.599987,589.999982,16.799999,606.799981,1533.499993,
12/31/1992,1563.900024,14.5,14.5,,200.899994,,,375.200012,,,,,28.6,,,,,619.200012,709.900024,1242.199951,-532.299988,,234.800003,,,,,234.800003,944.700027,,140.399994,140.399994,,,,89.800003,,,,,,128.900009,,,128.900009,359.100006,451.700012,,,,,132.100006,,,,132.100006,583.800018,942.900024,8.0,130.399994,,,-16.799999,,482.400005,604.0,17.0,621.0,1563.900024,
04/04/1993,1976.400024,17.299999,17.299999,,311.299988,,,488.0,,,,,40.599998,,,,,857.200012,852.900024,1409.199951,-556.299988,,266.299988,,,,,266.299988,1119.200012,,189.0,189.0,,,,158.600006,,,,,,155.799988,,,155.799988,503.399994,589.099976,,,,,234.0,,,,234.0,823.099976,1326.499969,7.6,225.399994,,,-16.9,,415.799994,631.899988,18.0,649.899988,1976.399957,
07/04/1993,1928.099976,9.5,9.5,,330.0,,,450.899994,,,,,51.099998,,,,,841.5,828.700012,1408.400024,-579.700012,,257.899994,,,,,257.899994,1086.600006,,169.899994,169.899994,,,,161.100006,,,,,,140.100006,,,140.100006,471.100006,569.5,,,,,229.0,,,,229.0,798.5,1269.600006,9.0,232.0,,,-18.799999,,417.500011,639.700012,18.799999,658.500011,1928.100018,
