Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1996,268.276001,,,,,,,,,,,,,,,,,,,,,,,,,,,5.144,0.0,,5.144,5.144,,30.864,0.166667,0.166667,0.166667,32.149501,0.16,0.16,0.16,
06/30/1996,273.39801,,,,,,,,,,,,,,,,,,,,,,,,,,,8.541,0.0,,8.541,8.541,,35.587501,0.24,0.306667,0.306667,36.6045,0.233333,0.293333,0.293333,
09/30/1996,302.256989,,,,,,,,,,,,,,,,,,,,,,,,,,,23.215,0.0,,23.215,23.215,,37.045501,0.626667,0.626667,0.626667,38.2665,0.606667,0.606667,0.606667,
12/31/1996,363.634003,,,,,,,,,,,,,,,,,,,,,,,,,,,10.063,,,10.063,10.063,,37.480499,0.266667,0.266667,0.266667,40.4055,0.246667,0.246667,0.246667,
03/31/1997,365.678009,,-286.002991,,79.675018,,-58.098999,,,,,21.576,12.697,,5.769,,0.0,,-18.466,34.273,-11.868,22.405001,4.936,,,17.469,0.0,17.469,0.0,,17.469,17.469,,42.051001,0.413333,0.493333,0.533333,44.242501,0.393333,0.506667,0.506667,
06/30/1997,381.688995,,-291.609009,,90.079987,,-61.417,,,,,28.663,-4.355,,4.935,,0.0,,-0.58,24.308,-8.045,16.263,-1.313,,,17.576,0.0,17.576,0.0,,17.576,17.576,,44.318999,0.393333,0.366667,0.366667,47.012999,0.373333,0.346667,0.346667,
09/30/1997,499.835999,,-385.174011,,114.661987,,-76.911003,,,,,37.750999,-11.748,,12.728,,0.0,,-0.98,26.003,-9.066,16.937,-2.774,,,19.711,0.0,19.711,0.0,,19.711,19.711,,45.146999,0.433333,0.373333,0.373333,48.563999,0.406667,0.346667,0.346667,
12/31/1997,548.664978,,-418.298004,,130.366974,,-86.468002,,,,,43.898998,-45.778002,,13.232,,0.0,,32.546001,-1.879004,-14.396,-16.275,9.717,,,-25.992003,0.0,-25.992001,-0.3,,-26.292001,-26.292001,,46.443,-0.573333,-0.4,0.446667,46.443,-0.573333,-0.4,0.446667,
03/31/1998,593.120972,,-456.14801,,136.972961,,-95.384003,,,,,41.589001,-13.949,,13.402,,0.0,,0.547,27.64,-9.587,18.052999,3.161,,,14.892,0.0,14.892,0.0,,14.892,14.892,,46.092001,0.32,0.386667,0.386667,50.732998,0.3,0.36,0.36,
06/30/1998,768.119995,,-582.213013,,185.906982,,-121.051003,,,,,64.856003,-17.351999,,8.445,,0.0,,8.907,47.504004,-17.325001,30.179001,-31.698,,,61.877003,-0.549,61.327999,0.0,,61.327999,61.327999,,48.775497,1.253333,0.606667,0.606667,65.373001,1.026667,0.546667,0.546667,
