Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1995,753.0,,,,,,-674.0,,,,,79.0,13.0,,,,0.0,,-13.0,92.0,-32.0,60.0,0.0,,,60.0,0.0,60.0,0.0,,60.0,60.0,,252.800004,0.2375,0.2375,0.2375,252.800004,0.2375,0.2375,0.2375,
06/30/1995,703.0,,,,,,-627.0,,,,,76.0,17.0,,,,0.0,,-17.0,93.0,-32.0,61.0,-21.0,,,82.0,0.0,82.0,0.0,,82.0,82.0,,252.800004,0.325,0.242,0.242,252.800004,0.325,0.242,0.242,
09/30/1995,718.0,,,,,,-641.0,,,,,77.0,16.0,,,,0.0,,-16.0,93.0,-31.0,62.0,-29.0,,,91.0,0.0,91.0,0.0,,91.0,91.0,,253.199996,0.3625,0.2475,0.2475,253.199996,0.3625,0.2475,0.2475,
12/31/1995,893.0,,,,,,-810.0,,,,,83.0,14.0,,,,0.0,,-14.0,97.0,-33.0,64.0,-24.0,,,88.0,0.0,88.0,0.0,,88.0,88.0,,252.399992,0.35,0.255,0.255,252.399992,0.35,0.255,0.255,
03/31/1996,893.0,,,,,,-810.0,,,,,83.0,15.0,,,,0.0,,-15.0,98.0,-33.0,65.0,0.0,,,65.0,0.0,65.0,0.0,,65.0,65.0,,252.800003,0.2575,0.2575,0.2575,252.800003,0.2575,0.2575,0.2575,
06/30/1996,930.0,,,,,,-841.0,,,,,89.0,13.0,,,,0.0,,-13.0,102.0,-35.0,67.0,0.0,,,67.0,0.0,67.0,0.0,,67.0,67.0,,253.199997,0.265,0.265,0.265,253.199997,0.265,0.265,0.265,
09/29/1996,862.0,,,,,,-773.0,,,,,89.0,14.0,,,,0.0,,-14.0,103.0,-35.0,68.0,0.0,,,68.0,0.0,68.0,0.0,,68.0,68.0,,252.399994,0.27,0.27,0.27,252.399994,0.27,0.27,0.27,
12/31/1996,896.0,,,,,,-804.0,,,,,92.0,24.0,,0.0,,0.0,,-24.0,116.0,-36.0,70.0,0.0,,,80.0,0.0,70.0,0.0,0.0,70.0,70.0,,249.332,0.28,0.28,0.28,252.399992,0.2775,0.2775,0.2775,
03/30/1997,941.0,,,,,,-839.0,,,,,102.0,6.0,,,,0.0,,-6.0,108.0,-37.0,71.0,0.0,,,71.0,0.0,71.0,0.0,,71.0,71.0,,253.572008,0.28,0.28,0.28,253.572008,0.28,0.28,0.28,
06/29/1997,1032.0,,,,,,-918.0,,,,,114.0,8.0,,,,0.0,,-8.0,122.0,-42.0,80.0,0.0,,,80.0,0.0,80.0,0.0,0.0,80.0,80.0,,1000.8,0.08,0.08,0.08,1000.8,0.08,0.08,0.08,
09/28/1997,988.0,,,,,,-875.0,,,,,113.0,10.0,,,,0.0,,-10.0,123.0,-41.0,82.0,0.0,,,82.0,0.0,82.0,0.0,,82.0,82.0,,251.399994,0.325,0.325,0.325,253.600006,0.325,0.325,0.325,
12/31/1997,1101.0,,,,,,-984.0,,,,,117.0,18.0,,,,0.0,,-18.0,135.0,-43.0,83.0,0.0,,,92.0,0.0,83.0,0.0,,83.0,83.0,,251.600006,0.33,0.33,0.33,253.600006,0.3275,0.3275,0.3275,
03/29/1998,1657.0,,,,,,-1464.0,,,,,193.0,-5.0,,,,0.0,,5.0,188.0,-66.0,122.0,0.0,,,122.0,0.0,122.0,0.0,,122.0,122.0,,399.884004,0.31,0.31,0.31,405.028016,0.305,0.305,0.305,
06/28/1998,1735.0,,,,,,-1508.0,,,,,227.0,0.0,,,,0.0,,0.0,227.0,-79.0,148.0,0.0,,,148.0,0.0,148.0,0.0,,148.0,148.0,,399.885986,0.37,0.37,0.37,405.029999,0.365,0.365,0.365,
