Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Net Receivables,Net Fixed Assets,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2000,,149524,110144,29099,0.0,2137,5747,2397,2237,10987,,10582,82718,256048,,79934,134709,214643,3585,579,2793,20314,241914,0,118.0,0.0,0,14016,14134,256048,
06/30/2000,,117026,85009,20584,0.0,2133,5619,3681,3187,9741,,6771,118100,254825,,94978,122094,217072,1775,552,3917,16942,240258,0,0.0,0.0,14934,-367,14567,254825,
09/30/2000,,152726,112499,29585,0.0,2309,5638,2695,2325,9592,,10742,82104,257489,,80966,135401,216367,1768,354,2892,19816,241197,0,1085.0,0.0,14934,273,16292,257489,
12/31/2000,,156527,114248,30109,0.0,2193,5504,4473,3434,9509,,10618,74046,254134,,136069,76752,212821,1085,12413,3490,7936,237745,0,0.0,0.0,14934,1455,16389,254134,
03/31/2001,,160502,117729,30160,0.0,2042,5451,5120,4205,10813,,10501,68096,254117,,137721,71167,208888,1596,13530,3545,9536,237095,0,0.0,0.0,14934,2088,17022,254117,
06/30/2001,,159629,116315,30683,0.0,2140,5420,5071,4748,10202,,10753,69445,254777,,138233,72148,210381,2121,13019,3403,9090,238014,0,0.0,0.0,14934,1829,16763,254777,
09/30/2001,,162627,118157,31083,0.0,3036,5476,4875,4445,10169,,10724,63930,251895,,140849,67512,208361,701,13379,3448,9078,234967,0,0.0,0.0,14934,1994,16928,251895,
12/31/2001,,162222,116601,31893,0.0,3063,5730,4935,7473,8571,,11167,67537,256970,,143847,69872,213719,355,12967,4884,8983,240908,0,0.0,0.0,14974,1088,16062,256970,
03/31/2002,,165566,120887,31994,0.0,1494,5862,5329,4024,10297,,11436,67387,258710,,145843,69668,215511,546,13815,4692,8826,243390,0,0.0,0.0,14974,346,15320,258710,
06/30/2002,,171029,126300,32049,0.0,1661,5963,5056,3563,10385,,11774,64480,261231,,150273,67011,217284,52,13786,4696,9269,245087,0,0.0,0.0,14975,1169,16144,261231,
09/30/2002,,180651,135821,32251,0.0,1955,5663,4961,3647,10389,,11553,61694,267934,,153073,64641,217714,878,16654,4691,10920,250857,0,0.0,0.0,14975,2102,17077,267934,
12/31/2002,,188335,142209,33666,0.0,1613,4725,6122,2323,8533,,11727,66508,277426,,156645,68290,224935,1161,18631,5690,9624,260041,0,0.0,0.0,14976,2409,17385,277426,
03/31/2003,,193480,147798,33661,0.0,1205,4569,6247,4938,10147,,11889,66404,286858,,159746,69803,229549,2441,20182,5758,10889,268819,0,0.0,0.0,14960,3079,18039,286858,
