Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1991,51.896999,1.742,0.966,0.776,20.283001,,,14.488,,,,,2.766,,,,,,,39.278999,9.502,,,0.0,,3.116,,,,3.116,12.618,,1.907,1.907,,,,4.161,,,,,,7.198,,,7.198,13.266,1.0,,,,,0.0,,,,,0.0,1.0,14.266,0.0,12.324,,,-1.675,,26.981999,37.631,0.0,37.631,51.896999,
06/30/1991,49.363998,1.262,0.985,0.277,20.563,,,13.584,,,,,1.805,,,,,,,37.214001,9.127,,,0.0,,3.023,,,,3.023,12.15,,1.776,1.776,,,,1.594,,,,,,8.176,,,8.176,11.546,0.0,,,,,0.0,,,,,0.0,0.0,11.546,0.0,12.324,,,-1.675,,27.168999,37.818,0.0,37.818,49.363999,
09/30/1991,48.721001,1.925,1.925,0.0,21.892,,,11.398,,,,,1.9,,,,,,,37.115002,8.726,,,0.0,,2.88,,,,2.88,11.606,,2.142,2.142,,,,1.109,,,,,,6.959,,,6.959,10.21,0.0,,,,,0.0,,,,,0.0,0.0,10.21,0.0,12.324,,,-1.675,,27.862,38.511001,0.0,38.511001,48.721001,
12/31/1991,49.019001,2.167,2.167,0.0,20.177999,,,10.031,,,,,5.745,,,,,,,38.120998,8.459,26.319,-17.860001,0.0,,2.439,,,,2.439,10.898,,2.63,2.63,,,,0.015,,,,,,6.867,,,6.867,9.512,0.0,,,,,0.413,,,,,0.413,0.413,9.925,0.0,12.324,,,-1.675,,28.445,39.094001,0.0,39.094001,49.019001,
03/31/1992,48.227001,1.789,1.789,0.0,21.945999,,,10.747,,,,,2.287,,,,,,,36.769001,8.346,,,0.0,,3.112,,,,3.112,11.458,,2.34,2.34,,,,0.0,,,,,,5.808,,,5.808,8.148,0.0,,,,,0.6,,,,,0.6,0.6,8.748,0.0,12.489,,,-1.675,,28.665,39.479,0.0,39.479,48.227,
06/30/1992,49.005001,3.275,3.275,0.0,21.271999,,,11.029,,,,,1.624,,,,,,,37.200001,8.494,,,0.0,,3.311,,,,3.311,11.805001,,2.188,2.188,,,,0.0,,,,,,5.688,,,5.688,7.876,0.0,,,,,0.672,,,,,0.672,0.672,8.548,0.0,12.672,,,-1.675,,29.46,40.457,0.0,40.457,49.005,
09/30/1992,51.862,1.431,1.431,0.0,23.504999,,,12.464,,,,,2.801,,,,,,,40.201,8.215,,,0.0,,3.446,,,,3.446,11.661,,2.424,2.424,,,,0.413,,,,,,6.555,,,6.555,9.392,0.0,,,,,1.24,,,,,1.24,1.24,10.632,0.0,12.689,,,-1.675,,30.216,41.23,0.0,41.23,51.862001,
12/31/1992,53.432999,1.304,1.304,0.0,19.924999,,,13.854,,,,,6.665,,,,,,,41.748001,8.173,27.714001,-19.541,0.0,,3.512,,,,3.512,11.685,,2.869,2.869,,,,0.981,,,,,,6.525,,,6.525,10.375,0.0,,,,,1.2,,,,,1.2,1.2,11.575,0.0,12.905,,,-1.675,,30.627999,41.857999,0.0,41.857999,53.432999,
03/31/1993,54.084,1.95,1.95,0.0,21.033001,,,15.948,,,,,3.383,,,,,,,42.313999,8.046,,,0.0,,3.724,,,,3.724,11.77,,2.247,2.247,,,,3.621,,,,,,6.61,,,6.61,12.478,0.0,,,,,0.9,,,,,0.9,0.9,13.378,0.0,12.928,,,-1.675,,29.453,40.706,0.0,40.706,54.084,
06/30/1993,58.952,2.788,2.788,0.0,23.666,,,17.385,,,,,3.475,,,,,,,47.313999,7.94,,,0.0,,3.698,,,,3.698,11.638,,3.466,3.466,,,,6.585,,,,,,6.928,,,6.928,16.979,0.0,,,,,1.195,,,,,1.195,1.195,18.174,0.0,12.979,,,-1.675,,29.474,40.778,0.0,40.778,58.952,
09/30/1993,58.418999,0.933,0.933,0.0,24.766001,,,17.576,,,,,3.717,,,,,,,46.992001,7.784,,,0.0,,3.643,,,,3.643,11.427,,2.295,2.295,,,,5.949,,,,,,6.849,,,6.849,15.093,0.0,,,,,1.092,,,,,1.092,1.092,16.185,0.0,13.011,,,-1.675,,30.898,42.233999,0.0,42.233999,58.419,
12/31/1993,60.449001,0.907,0.907,0.0,29.440001,,,16.306999,,,,,2.677,,,,,,,49.331001,7.597,28.855,-21.257999,0.0,,3.521,,,,3.521,11.118,,3.365,3.365,,,,4.087,,,,,,7.39,,,7.39,14.842,0.0,,,,,1.077,,,,,1.077,1.077,15.919,0.0,13.203,,,-1.675,,33.002,44.53,0.0,44.53,60.449,
03/31/1994,57.334,1.037,1.037,0.0,24.701,,,17.788,,,,,2.81,,,,,,,46.335999,7.628,,,0.0,,3.37,,,,3.37,10.998,,3.637,3.637,,,,0.0,,,,,,7.74,,,7.74,11.377,0.0,,,,,1.077,,,,,1.077,1.077,12.454,0.0,13.301,,,-1.697,,33.276,44.88,0.0,44.88,57.334,
06/30/1994,57.907001,1.534,1.534,0.0,24.958,,,17.747999,,,,,3.096,,,,,,,47.335999,7.39,,,0.0,,3.181,,,,3.181,10.571,,2.771,2.771,,,,0.0,,,,,,8.637,,,8.637,11.408,0.0,,,,,0.915,,,,,0.915,0.915,12.323,0.0,13.331,,,-1.697,,33.949998,45.583999,0.0,45.583999,57.906999,
09/30/1994,58.174999,3.221,3.221,0.0,24.15,,,16.754,,,,,3.447,,,,,,,47.571999,7.58,,,0.0,,3.023,,,,3.023,10.603,,2.759,2.759,,,,0.0,,,,,,7.433,,,7.433,10.192,0.0,,,,,0.93,,,,,0.93,0.93,11.122,0.0,13.358,,,-1.697,,35.392,47.052999,0.0,47.052999,58.175,
12/31/1994,60.641998,2.912,2.912,0.0,28.103001,,,16.466999,,,,,2.494,,,,,,,49.976002,7.716,30.124001,-22.408001,0.0,,2.95,,,,2.95,10.666,,3.632,3.632,,,,0.0,,,,,,7.429,,,7.429,11.061,0.0,,,,,0.936,,,,,0.936,0.936,11.997,0.0,13.449,,,-1.697,,36.892999,48.645,0.0,48.645,60.641999,
03/31/1995,60.564999,4.927,4.927,0.0,25.091,,,17.617001,,,,,2.716,,,,,,,50.351002,7.695,,,0.0,,2.519,,,,2.519,10.214,,2.883,2.883,,,,0.0,,,,,,7.832,,,7.832,10.715,0.0,,,,,0.548,,,,,0.548,0.548,11.263,0.0,13.516,,,-1.697,,37.482999,49.301999,0.0,49.301999,60.564999,
06/30/1995,62.136002,3.664,3.664,0.0,27.797001,,,17.987,,,,,2.429,,,,,,,51.876999,7.774,,,0.0,,2.485,,,,2.485,10.259,,3.228,3.228,,,,0.0,,,,,,8.578,,,8.578,11.806,0.0,,,,,0.874,,,,,0.874,0.874,12.68,0.0,13.569,,,-2.096,,37.983001,49.456001,0.0,49.456001,62.136001,
09/30/1995,63.026001,4.027,4.027,0.0,27.615999,,,19.502001,,,,,1.898,,,,,,,53.042999,7.57,,,0.0,,2.413,,,,2.413,9.983,,3.481,3.481,,,,0.0,,,,,,7.858,,,7.858,11.339,0.0,,,,,0.739,,,,,0.739,0.739,12.078,0.0,13.706,,,-2.182,,39.424001,50.948001,0.0,50.948001,63.026001,
12/31/1995,68.072998,0.458,0.458,0.0,28.85,,,19.955999,,,,,7.862,,,,,,,57.125999,7.58,30.576,-22.996,0.0,,3.367,,,,3.367,10.947,,4.925,4.925,,,,0.286,,,,,,8.938999,,,8.938999,14.15,0.0,,,,,0.791,,,,,0.791,0.791,14.941,0.0,13.846,,,-2.279,,41.564999,53.131999,0.0,53.131999,68.072999,
03/31/1996,66.363998,2.448,2.448,0.0,29.150999,,,20.921,,,,,3.599,,,,,,,56.118999,7.281,,,0.0,,2.964,,,,2.964,10.245,,4.051,4.051,,,,0.383,,,,,,7.187,,,7.187,11.621,0.0,,,,,0.787,,,,,0.787,0.787,12.408,0.0,14.085,,,-2.279,,42.149998,53.955998,0.0,53.955998,66.363999,
06/30/1996,67.905998,2.307,2.307,0.0,30.160999,,,21.975,,,,,2.681,,,,,,,57.124001,7.168,,,0.0,,3.614,,,,3.614,10.782,,4.301,4.301,,,,1.588,,,,,,7.352,,,7.352,13.241,0.0,,,,,0.842,,,,,0.842,0.842,14.083,0.0,14.535,,,-3.907,,43.194998,53.822998,0.0,53.822998,67.905998,
09/30/1996,82.878998,8.075,5.08,2.995,37.418999,,,22.941,,,,,3.081,,,,,,,71.515999,7.282,,,0.0,,4.081,,,,4.081,11.363,,5.846,5.846,,,,0.165,,,,,,7.272,,,7.272,13.283,0.0,,,,,0.843,,,,,0.843,0.843,14.126,0.0,26.555,,,-2.762,,44.960002,68.753002,0.0,68.753002,82.879002,
12/31/1996,86.758003,8.391,8.391,0.0,35.509998,,,23.990999,,,,,7.401,,,,,,,75.292999,7.243,31.620001,-24.377001,0.0,,4.222,,,,4.222,11.465,,5.127,5.127,,,,0.185,,,,,,7.874,,,7.874,13.186,0.0,,,,,0.97,,,,,0.97,0.97,14.156,0.0,27.752001,,,-2.762,,47.611999,72.601999,0.0,72.601999,86.757999,
03/31/1997,82.861,10.273,10.273,0.0,31.583,,,24.917,,,,,4.133,,,,,,,70.905998,7.177,,,0.0,,4.778,,,,4.778,11.955,,3.859,3.859,,,,0.195,,,,,,7.94,,,7.94,11.994,0.0,,,,,1.016,,,,,1.016,1.016,13.01,0.0,27.834,,,-2.925,,44.941998,69.850998,0.0,69.850998,82.860998,
06/30/1997,79.036003,7.928,7.928,0.0,27.225,,,26.683001,,,,,7.275,,,,,,,69.111,7.163,,,0.0,,2.762,,,,2.762,9.925,,4.15,4.15,,,,0.195,,,,,,9.124,,,9.124,13.469,0.0,,,,,1.065,,,,,1.065,1.065,14.534,0.0,27.882999,,,-2.925,,39.543999,64.501999,0.0,64.501999,79.035999,
09/30/1997,81.127998,4.966,4.966,0.0,33.570999,,,25.452,,,,,6.795,,,,,,,70.783997,7.142,,,0.0,,3.202,,,,3.202,10.344,,5.086,5.086,,,,0.195,,,,,,8.863,,,8.863,14.144,0.0,,,,,1.198,,,,,1.198,1.198,15.342,0.0,27.882999,,,-2.925,,40.828,65.785999,0.0,65.785999,81.127999,
12/31/1997,83.204002,3.977,3.977,0.0,23.069,,,32.056,,,,,13.411,,,,,,,72.513,7.013,32.441002,-25.427999,0.0,,3.678,,,,3.678,10.691,,8.664,8.664,,,,0.195,,,,,,10.272001,,,10.272001,19.131001,0.0,,,,,0.656,,,,,0.656,0.656,19.787001,0.0,28.063999,,,-2.925,,38.278001,63.417,0.0,63.417,83.204,
03/31/1998,77.550003,1.07,1.07,0.0,26.617001,,,30.812,,,,,7.618,,,,,,,66.116997,7.051,,,0.0,,4.382,,,,4.382,11.433,,4.027,4.027,,,,0.0,,,,,,10.755,,,10.755,14.782,0.0,,,,,0.672,,,,,0.672,0.672,15.454,0.0,28.164,,,-2.925,,36.856999,62.095999,0.0,62.095999,77.549998,
06/30/1998,77.742996,3.083,3.083,0.0,26.726,,,29.273001,18.388,2.993,7.892,,6.257,,,,,,,65.338997,8.015,,,0.0,,4.389,,,,4.389,12.404,,5.35,5.35,,,,0.0,,,,,,10.255,,,10.255,15.605,0.0,,,,,0.684,,,,,0.684,0.684,16.289,0.0,28.164,,,-2.925,,36.215001,61.454,0.0,61.454,77.743,
12/31/1998,93.426003,1.298,1.298,0.0,47.137001,,,27.26,,,,,4.575,,,,,,,80.269997,8.465,,,0.0,,4.691,,,,4.691,13.156,,9.789,9.789,,,,7.387,,,,,,12.807,,,12.807,29.983,0.0,,,,,0.617,,,,,0.617,0.617,30.6,0.0,28.24,,,-5.098,,39.683941,62.825941,0.0,62.825941,93.425941,
03/31/1999,96.663002,1.163,1.163,0.0,44.654999,,,32.991001,20.284,2.944,9.763,0.0,4.908,,,,,,,83.717003,8.441,,,0.0,,4.505,0.0,0.0,0.0,4.505,12.946,,9.901,9.901,,,,8.617,8.617,0.0,0.0,,,14.897001,,,14.897001,33.415001,0.0,0.0,0.0,0.0,,0.553,,,,,0.553,0.553,33.968001,0.0,28.24,,,-5.907,,40.362002,62.695002,0.0,62.695002,96.663002,
