Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
09/30/2003,52.5,24.2,29.6,-37.1,35.8,1195.6,0.0,0.0,-1225.6,2410.6,10.6,-711.3,0.0,0.0,0.0,-700.0,0.0,0.0,-11.3,0.0,536.8,
03/31/2004,212.2,72.8,106.9,-77.4,109.9,-418.1,,,-3636.2,3197.4,20.7,-23.8,0.0,0.0,73.9,0.0,0.0,0.0,-94.1,-3.6,-229.7,
06/30/2004,250.0,68.3,197.6,-128.8,252.3,-502.2,,,-4146.6,3646.4,-2.0,118.3,0.0,0.0,877.5,-1300.0,1550.0,-928.9,-80.3,0.0,-133.9,
09/30/2004,311.2,67.3,294.8,-120.9,391.1,-100.9,,,-4613.6,4553.9,-41.2,2.6,-9.8,0.0,790.2,-163.2,197.6,0.0,-22.0,0.0,212.9,
12/31/2004,274.200012,86.400002,,,,-1889.400024,,,-3604.5,3192.5,-1477.400024,-141.5,,46.599998,0.0,-30.0,,-197.600006,49.0,-9.5,-1756.699951,
03/31/2005,297.7,81.8,98.1,-70.4,188.2,-719.8,,,-4183.8,3468.6,-4.6,-67.1,-9.5,-6.2,,-0.9,,,-50.5,,-489.2,
06/30/2005,358.2,88.1,93.5,-44.3,220.9,146.7,,,-4587.8,4742.1,-7.6,-103.1,-9.5,24.4,0.0,0.0,0.2,0.0,-33.1,-85.1,401.8,
09/30/2005,253.2,77.9,,,,-343.5,,,-2731.4,2396.6,-8.7,-409.9,-9.5,-438.8,773.7,-768.2,0.0,0.0,-52.2,85.1,-500.2,
12/31/2005,253.0,77.1,219.2,-309.0,441.0,-634.1,,,-2935.0,2327.9,-27.0,429.9,-9.5,301.8,80.0,-1.3,0.3,0.0,58.6,0.0,48.8,
03/31/2006,207.0,64.6,128.8,-83.4,97.0,-238.7,,,-2292.4,2047.9,5.8,-103.2,-9.5,-0.4,,-46.3,0.8,,-47.8,,-134.9,
06/30/2006,264.2,-22.3,95.3,61.2,130.0,-141.2,,,-1544.9,1407.5,-3.8,-19.7,-9.5,35.7,0.0,0.0,0.1,0.0,-46.0,0.0,103.3,
09/30/2006,187.5,48.4,113.0,-64.1,90.2,-302.9,,,-1786.5,1467.9,15.7,145.9,-9.5,30.3,0.0,0.0,0.1,0.0,125.0,0.0,30.5,
12/31/2006,272.5,15.2,164.1,-175.6,268.8,-368.4,,,-3867.0,3526.8,-28.2,245.1,-9.5,37.6,196.7,-1.7,0.0,0.0,22.0,0.0,149.2,
03/31/2007,90.3,-0.5,124.3,-61.9,28.4,-361.5,,,-2512.8,2152.8,-1.5,157.1,-9.5,229.4,0.0,-1.7,3.3,-29.6,-34.8,0.0,-114.1,
