Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,0.456,2.666,-2.621,5.938,6.439,,,,,,,,,,,,,,,,,
06/30/1990,,0.915,1.924,-2.504,-2.227,-1.892,,,,,,,,,,,,,,,,,
09/29/1990,,-1.314,1.39,1.07,-4.368,-3.222,,,,,,,,,,,,,,,,,
12/29/1990,,-14.623,3.104,0.814,0.138,-10.567,,,,,,,,,,,,,,,-10.567,,
03/30/1991,,-3.518,2.666,1.353,5.938,6.439,,,,,,,,,,,,,,,,,
06/29/1991,,-1.016,1.924,-0.573,-2.227,-1.892,,,,,,,,,,,,,,,,,
09/28/1991,,0.036,1.39,-0.28,-4.368,-3.222,,,,,,,,,,,,,,,,,
12/28/1991,,0.474,2.72,11.976,-5.065,10.105,,,,,,,,,,,,,,,10.105,,
03/28/1992,,-0.321,1.924,-0.223,2.311,3.691,,,,,,,,,,,,,,,,,
06/27/1992,,0.039,1.786,-0.133,-1.137,0.555,,,,,,,,,,,,,,,,,
09/26/1992,,-4.407,1.934,-0.191,2.51,-0.154,,,,,,,,,,,,,,,,,
12/26/1992,,-3.818,1.686,0.249,5.154,3.271,,,,,,,,,,,,,,,3.271,,
03/27/1993,,1.228,1.646,-2.425,0.782,1.231,,,,,,,,,,,,,,,,,
06/26/1993,,0.215,1.436,0.05,-2.961,-1.26,,,,,,,,,,,,,,,,,
09/25/1993,,-4.27,1.591,-0.307,0.427,-2.559,,,,,,,,,,,,,,,,,
12/25/1993,,0.411,1.682,1.269,-6.627,-3.265,,,,,,,,,,,,,,,-3.265,,
04/02/1994,,-2.874,1.307,0.112,4.982,3.527,,,,,,,,,,,,,,,,,
07/02/1994,,-1.368,1.577,0.212,-4.607,-4.186,,,,,,,,,,,,,,,,,
10/02/1994,,-4.615,1.339,0.112,5.802,2.638,,,,,,,,,,,,,,,,,
12/31/1994,,-5.478,2.52,-0.363,-9.053,-12.374,,,,,,,,,,,,,,,-12.374,,
03/31/1995,,-1.455,2.108,-0.303,7.827,8.177,,,-2.474,,,,,,,,,,,,,,
06/30/1995,,1.045,1.986,0.584,-8.849,-5.234,,,-1.459,,,,,,,,,,,,,,
09/30/1995,,0.22,3.388,0.269,-9.921,-6.044,,,-1.439,,,,,,,,,,,,,,
12/31/1995,,2.116,3.528,1.742,-4.36,3.026,-6.682,,-6.682,,,,,,,,,,,,-3.656,,
03/31/1996,,0.55,2.009,0.225,-4.551,-1.767,,,-3.664,,,,,,,,,,,,,,
06/30/1996,,1.854,1.953,0.274,-7.099,-3.018,,,-1.761,,,,,,,,,,,,,,
09/30/1996,,1.257,1.972,0.304,-4.803,-1.27,,,-2.25,,,,,,,,,,,,,,
12/31/1996,,4.144,4.023,1.5,4.175,13.842,,,-3.957,,,,,,,,,,,,,,
03/31/1997,,1.34,2.861,-0.146,0.177,4.232,0.539,0.0,-1.753,0.0,0.0,2.292,-1.245,0.0,1.239,0.0,-1.409,0.0,0.0,-1.075,3.526,,
06/30/1997,,1.408,2.861,-0.61,-2.368,1.291,-7.63,0.0,-3.049988,0.0,0.0,-4.58,-0.82,0.0,-1.316,0.0,-0.335,0.0,0.0,0.831,-7.159,,
09/30/1997,,0.697,2.861,-0.618,5.057,7.997,-2.524,0.0,-1.293,0.0,0.0,-1.231,-5.485,0.0,24.497,0.0,-25.257,0.0,0.0,-4.725,-0.012,,
12/31/1997,,-12.609,2.86,21.110001,-8.399,2.962,-12.544,0.0,-5.893,0.0,0.0,-6.651,13.527,0.0,-25.129,36.550999,0.0,0.0,0.0,2.105,3.945,,
03/31/1998,,1.782,3.484,0.489,0.709,6.464,-2.887,0.0,-3.026,0.0,0.0,0.139,0.392,0.0,0.257,0.0,-0.378,0.0,0.0,0.513,3.969,,
06/30/1998,,2.392,2.073,0.477,-3.191,1.751,-5.375,0.0,-1.417,0.0,0.0,-3.958,-2.455,0.0,-0.279,0.0,-1.176,0.696,0.0,-1.696,-6.079,,
09/30/1998,,1.112,2.662,0.358,-2.889,1.243,-3.546,0.0,-2.403,0.0,0.0,-1.143,1.767,0.0,0.022,0.0,-0.82,0.0,0.0,2.565,-0.536,,
12/31/1998,,6.643,2.913,2.76,-4.659,7.657,-10.116,0.0,-10.314,0.0,0.0,0.198,-3.063,0.0,0.0,0.591,-0.564,0.0,-0.696,-2.394,-5.522,,
03/31/1999,,-15.047,3.141,16.448,-7.589,-3.047,-2.925,0.0,-2.89,0.0,0.0,-0.035,-0.786,0.0,2.616,0.0,-0.39,0.0,0.0,-3.012,-6.758,,
06/30/1999,,-8.554,3.644,0.071,16.337999,11.499,-11.164,0.0,-2.9,0.0,0.0,-8.264,5.083,0.0,8.382,0.0,-1.119,0.0,0.0,-2.18,5.418,,
09/30/1999,,-2.511,1.763,1.615,-3.089,-2.222,-6.449,0.0,-1.463,0.0,0.0,-4.986,17.136,0.0,17.225,0.0,-1.004,0.0,0.0,0.915,8.465,,
12/31/1999,,-16.761999,4.491,24.577,-3.261,9.045,-3.48,0.0,-1.891,0.0,0.0,-1.589,11.663,0.0,13.599,0.0,-1.596,0.0,0.0,-0.34,17.228001,,
03/31/2000,,-26.794001,2.842,28.091,1.899,6.038,-2.888,0.0,-1.945,0.0,0.0,-0.943,-3.108,0.0,-0.257,0.0,-0.393,0.0,0.0,-2.458,0.042,,
06/30/2000,,-22.537001,-2.842,-0.69,18.837,-7.232,2.888,1.945,,0.0,0.0,0.943,1.051,0.0,0.257,0.0,-1.664,0.0,0.0,2.458,-3.293,,
09/30/2000,,-11.598,2.38,8.225,5.964,4.971,1.605,0.0,-0.98,0.0,0.0,2.585,-4.658,0.0,-1.216,0.0,-0.828,0.0,0.0,-2.614,1.918,,
12/31/2000,,5.506,3.59,-11.115,-3.58,-5.599,-0.762,3.816,-1.517,0.0,0.0,-3.061,3.78,0.0,0.1,0.0,-0.845,0.0,0.0,4.525,-2.581,,
03/31/2001,,-8.749,3.107,1.628,-4.585,-8.599,-1.964,0.0,-2.284,0.0,0.0,0.32,0.205,0.0,0.885,0.0,-0.335,0.0,0.0,-0.345,-10.358,,
06/30/2001,,34.504002,-3.107,19.219,-52.048,-1.432,143.095993,1.896,,0.0,0.0,141.199997,-127.207001,-44.48,-0.885,0.0,-85.343002,3.156,0.0,0.345,14.457,,
09/30/2001,,-2.615,0.097,0.6,-2.219,-4.137,1.177,,-0.123,0.0,0.0,1.3,-0.27,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,-3.23,,
12/31/2001,,-1.97,0.56,-54.77,57.175999,0.996,-1.696,,-0.161,0.0,0.0,-1.535,1.044,0.0,0.0,1.099,,,-1.384,1.329,0.344,,
03/31/2002,,-1.612,0.01,0.412,-0.578,-1.768,-0.28,0.0,-0.005,0.0,0.0,-0.275,-0.234,0.0,0.0,0.0,-0.232,0.0,0.0,-0.002,-2.282,,
