Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2010,5974.9,67.0,67.0,0,1119.8,1119.8,0.0,304.9,217.9,0.6,23.2,194.7,1709.6,147.7,,,0.0,4117.6,4037.7,2208.1,1829.6,,79.3,4265.3,,924.0,587.0,20.2,118.2,198.6,22.6,0,,,,22.6,59.7,,,0.0,1006.3,4270.5,0.0,4270.5,4270.5,,735.2,34.2,,,,652.4,48.6,5005.7,6012.0,,2163.0,,,,-2183.9,-16.2,-37.1,,-37.1,5974.9,
12/31/2010,5943.8,36.6,36.6,0,1091.5,1091.5,,292.8,281.4,,52.8,228.6,1702.3,158.1,279.0,-120.9,,4083.4,4000.3,2209.1,1791.2,,83.1,4241.5,,775.3,565.3,4.2,64.3,141.5,132.0,0,,,,132.0,119.6,,,91.0,1026.9,4157.4,0.0,4157.4,4157.4,,803.0,32.3,,,,730.3,40.4,4960.4,5987.3,,2166.7,,,,-2208.0,-2.2,-43.5,,-43.5,5943.8,
03/31/2011,5924.6,73.7,73.7,0,1078.7,1078.7,0.0,308.7,269.0,2.2,50.6,218.4,1730.1,154.9,,,0.0,4039.6,3961.2,2210.0,1751.2,,76.2,4194.5,,985.7,638.6,27.3,125.9,193.9,21.0,0,,,,21.0,36.9,,,0.0,1043.6,4124.7,0.0,4124.7,4124.7,,795.9,30.5,,,,720.8,44.6,4920.6,5964.2,,2170.4,,2170.4,,-2212.2,2.2,-39.6,,-39.6,5924.6,
06/30/2011,6021.9,44.6,44.6,0,1178.3,1178.3,0.0,348.9,295.0,2.4,50.6,244.4,1866.8,150.8,,,0.0,4004.3,3923.2,2210.3,1712.9,,78.7,4155.1,,946.4,760.4,5.4,51.8,128.8,12.3,0,,,,12.3,132.4,,,83.4,1091.1,4226.0,0.0,4226.0,4226.0,,774.1,14.5,,,,711.2,48.4,5000.1,6091.2,,2175.2,,2175.2,,-2247.2,2.7,-69.3,,-69.3,6021.9,
09/30/2011,5965.0,25.9,25.9,0,1257.0,1257.0,0.0,315.1,264.1,0.9,29.3,234.8,1862.1,147.9,,,0.0,3955.0,3880.3,2207.5,1672.8,,73.8,4102.9,,1133.8,786.9,26.0,112.7,208.2,0.0,0,,,,,39.0,,,0.0,1172.8,4071.0,0.0,4071.0,4071.0,,756.7,13.7,,,,698.3,44.7,4827.7,6000.5,,2179.0,,2179.0,,-2210.1,-4.4,-35.5,,-35.5,5965.0,
12/31/2011,5949.6,99.9,99.9,0,1254.9,1254.9,0.0,321.7,202.9,0.7,24.6,178.3,1879.4,154.3,294.3,-140.0,0.0,3915.9,3844.4,2208.4,1636.0,,70.8,4070.2,,833.8,517.8,0.0,0.0,316.0,201.0,0,0.0,0.0,,201.0,306.5,0.0,0.0,278.7,1341.3,3865.0,0.0,3865.0,3865.0,,750.6,13.0,0.0,0.0,0.0,692.0,45.6,4615.6,5956.9,0.0,2186.1,,2186.1,,-2191.3,-2.1,-7.3,0.0,-7.3,5949.6,
03/31/2012,5721.4,36.5,36.5,0,1093.6,1093.6,0.0,346.8,224.4,,23.1,201.3,1701.3,146.1,,,0.0,3874.0,3808.4,2209.0,1599.4,,65.6,4020.1,,1072.8,725.4,34.3,114.0,199.1,0.0,0,,,,,34.9,,,0.0,1107.7,3871.6,3871.6,,,,731.5,,,,,673.8,57.7,4603.1,5710.8,,2191.5,,2191.5,,-2180.7,-0.2,10.6,,10.6,5721.4,
06/30/2012,5935.5,158.7,158.7,0,1238.3,1238.3,0.0,321.6,245.7,,21.5,224.2,1964.3,142.3,,,0.0,3828.9,3766.2,2208.5,1557.7,,62.7,3971.2,,1231.4,941.5,9.2,,280.7,0.0,0,,,,,66.1,,,0.0,1297.5,3871.4,3871.4,,,,715.5,,,,,656.7,58.8,4586.9,5884.4,,2196.8,,2196.8,,-2143.9,-1.8,51.1,,51.1,5935.5,
09/30/2012,5985.1,193.0,193.0,0,1277.2,1277.2,0.0,346.9,242.9,,20.2,222.7,2060.0,139.3,,,0.0,3785.8,3726.5,2209.6,1516.9,,59.3,3925.1,,1266.3,925.1,26.9,113.9,200.4,0.0,0,,,,,49.9,,,0.0,1316.2,3871.2,3871.2,,,,699.5,,,,,639.0,60.5,4570.7,5886.9,,2202.9,,2202.9,,-2106.0,1.3,98.2,,98.2,5985.1,
12/31/2012,5720.0,37.9,37.9,0,1285.0,1285.0,0.0,314.6,197.2,0.0,14.1,183.1,1834.7,142.7,302.7,-160.0,0.0,3742.6,3687.8,2209.3,1478.5,,54.8,3885.3,,1070.4,767.8,22.8,50.7,229.1,40.0,0,0.0,0.0,,40.0,57.8,0.0,0.0,0.0,1168.2,3731.0,3731.0,0.0,0.0,,684.3,0.0,0.0,0.0,0.0,624.3,60.0,4415.3,5583.5,0.0,2209.1,1.4,2207.7,,-2073.0,0.4,136.5,0.0,136.5,5720.0,
03/31/2013,5822.7,147.1,147.1,0,1264.5,1264.5,0.0,358.4,216.1,,13.1,203.0,1986.1,134.0,,,0.0,3702.6,3652.1,2208.5,1443.6,,50.5,3836.6,,1246.9,895.0,40.1,104.8,207.0,0.0,0,,,,,66.0,,,0.0,1312.9,3680.8,3680.8,,,,665.2,,,,,609.0,56.2,4346.0,5658.9,0.0,2210.6,,2210.6,,-2044.8,-2.0,163.8,0.0,163.8,5822.7,
06/30/2013,6020.5,179.3,179.3,0,1390.5,1390.5,0.0,378.5,285.4,,12.1,273.3,2233.7,132.7,,,0.0,3654.1,3611.1,2207.4,1403.7,,43.0,3786.8,,1334.8,1053.5,25.8,47.0,208.5,13.5,0,,,,13.5,96.9,,,0.0,1445.2,3710.9,3710.9,,,,655.4,,,,,598.3,57.1,4366.3,5811.5,0.0,2212.4,1.4,2211.0,,-1998.1,-5.3,209.0,0.0,209.0,6020.5,
09/30/2013,6038.8,350.2,350.2,0,1310.6,1310.6,0.0,353.8,271.1,,10.9,260.2,2285.7,129.6,,,0.0,3623.5,3588.4,2222.9,1365.5,,35.1,3753.1,,1243.6,897.8,23.3,78.4,244.1,170.4,0,,,,170.4,82.5,,,0.0,1496.5,3239.7,3239.7,,,,642.8,,,,,599.4,43.4,3882.5,5379.0,0.0,2687.5,1.7,2685.8,,-2024.4,-3.3,659.8,0.0,659.8,6038.8,
12/31/2013,5924.6,188.1,188.1,0,1451.0,1451.0,0.0,382.0,192.4,0.0,,192.4,2213.5,131.1,310.1,-179.0,0.0,3580.0,3548.3,2220.3,1328.0,,31.7,3711.1,,1262.4,919.4,35.5,31.8,275.7,45.4,0,0.0,0.0,,45.4,94.8,0.0,0.0,0.0,1402.6,3205.8,3205.8,0.0,0.0,,604.5,0.0,0.0,0.0,0.0,563.5,41.0,3810.3,5212.9,0.0,2689.8,1.7,2688.1,0.0,-1971.8,-6.3,711.7,0.0,711.7,5924.6,
03/31/2014,5912.5,306.7,306.7,0,1335.0,1335.0,0.0,388.4,217.8,,,217.8,2247.9,129.9,,,0.0,3534.7,3505.7,2219.1,1286.6,,29.0,3664.6,,1309.5,933.9,78.5,64.8,232.3,15.4,0,,,,15.4,93.6,,,0.0,1418.5,3157.0,3157.0,,,,582.2,,,,,540.8,41.4,3739.2,5157.7,0.0,2693.2,1.7,2691.5,0.0,-1928.2,-10.2,754.8,0.0,754.8,5912.5,
06/30/2014,6045.3,227.6,227.6,0,1526.1,1526.1,0.0,449.6,212.0,,,212.0,2415.3,129.8,,,0.0,3500.2,3467.1,2220.1,1247.0,,33.1,3630.0,,1436.1,1121.7,41.5,28.5,244.4,15.4,0,,,,15.4,77.9,,,0.0,1529.4,3110.6,3110.6,,,,560.5,,,,,517.9,42.6,3671.1,5200.5,0.0,2700.2,1.7,2698.5,0.0,-1848.9,-6.5,844.8,0.0,844.8,6045.3,
09/30/2014,6107.4,357.8,357.8,0,1473.2,1473.2,0.0,423.5,261.7,,,261.7,2516.2,131.7,,,0.0,3459.5,3425.6,2218.6,1207.0,,33.9,3591.2,,1409.9,1077.6,25.0,50.2,257.1,15.4,0,,,,15.4,102.3,,,0.0,1527.6,3146.3,3146.3,,,,539.5,,,,,495.4,44.1,3685.8,5213.4,0.0,2706.3,1.7,2704.6,0.0,-1800.6,-11.7,894.0,0.0,894.0,6107.4,
12/31/2014,6099.9,344.5,344.5,0,1561.1,1561.1,0.0,337.5,210.3,0.0,,210.3,2453.4,137.2,309.7,-172.5,0.0,3509.3,3386.4,2217.6,1168.8,86.7,36.2,3646.5,,1371.3,1036.1,29.3,28.1,277.8,15.4,0,0.0,0.0,,15.4,81.3,0.0,0.0,0.0,1468.0,3174.6,3174.6,0.0,0.0,,520.8,0.0,0.0,0.0,0.0,475.0,45.8,3695.4,5163.4,0.0,2713.6,1.7,2711.9,0.0,-1760.5,-16.6,936.5,0.0,936.5,6099.9,
03/31/2015,6088.6,447.4,447.4,0,1448.9,1448.9,0.0,357.0,232.6,,,232.6,2485.9,135.1,,,0.0,3467.6,3344.0,2215.2,1128.8,86.7,36.9,3602.7,,1327.9,984.9,74.5,17.2,251.3,15.4,0,,,,15.4,82.3,,,0.0,1425.6,3190.8,3190.8,,,,496.7,,,,,450.0,46.7,3687.5,5113.1,0.0,2720.6,1.7,2718.9,0.0,-1717.5,-27.6,975.5,0.0,975.5,6088.6,
06/30/2015,6251.2,335.7,335.7,0,1712.5,1712.5,0.0,436.2,230.0,,,230.0,2714.4,134.2,,,0.0,3402.6,3305.0,2215.6,1089.4,95.4,2.2,3536.8,,1553.7,1227.2,42.0,25.0,259.5,15.4,0,,,,15.4,56.5,,,0.0,1625.6,3154.2,3154.2,,,,475.6,,,,,428.2,47.4,3629.8,5255.4,0.0,2731.2,1.7,2729.5,0.0,-1712.5,-22.9,995.8,0.0,995.8,6251.2,
09/30/2015,6741.5,97.5,97.5,0,1860.0,1860.0,0.0,411.4,366.0,,,366.0,2734.9,154.4,,,0.0,3852.2,3842.8,2517.4,1325.4,0.0,9.4,4006.6,,1718.0,1367.4,32.2,17.5,300.9,27.5,0,,,,27.5,126.4,,,0.0,1871.9,3240.3,3240.3,,,,553.6,,,,,495.9,57.7,3793.9,5665.8,0.0,2795.6,1.7,2793.9,0.0,-1674.6,-45.3,1075.7,0.0,1075.7,6741.5,
12/31/2015,6755.3,37.6,37.6,0,2017.4,2017.4,0.0,393.1,342.7,0.0,,342.7,2790.8,175.4,374.4,-199.0,0.0,3789.1,3776.8,2500.4,1276.4,0.0,12.3,3964.5,,1708.2,1306.1,38.1,25.1,338.9,27.2,0,0.0,0.0,,27.2,151.9,0.0,0.0,0.0,1887.3,3232.5,3232.5,0.0,0.0,,539.6,0.0,0.0,0.0,0.0,469.6,70.0,3772.1,5659.4,0.0,2808.6,1.7,2806.9,0.0,-1651.6,-61.1,1095.9,0.0,1095.9,6755.3,
03/31/2016,6717.9,248.2,248.2,0,1780.2,1780.2,0.0,460.4,327.5,,,327.5,2816.3,168.4,,,0.0,3733.2,3720.6,2495.2,1225.4,0.0,12.6,3901.6,,1750.2,1331.5,89.7,17.5,311.5,26.9,0,,,,26.9,166.3,,,0.0,1943.4,3225.0,3225.0,,,,509.6,,,,,448.5,61.1,3734.6,5678.0,0.0,2818.8,1.7,2817.1,0.0,-1710.0,-68.9,1039.9,0.0,1039.9,6717.9,
06/30/2016,6887.9,129.4,129.4,0,2082.5,2082.5,0.0,487.3,376.1,,,376.1,3075.3,163.8,,,0.0,3648.8,3637.0,2475.0,1162.0,,11.8,3812.6,,2007.0,1587.9,46.6,25.1,347.4,26.1,0,,,,26.1,144.6,,,0.0,2177.7,3214.4,3214.4,,,,482.4,,,,,420.8,61.6,3696.8,5874.5,0.0,2832.7,1.6,2831.1,0.0,-1715.3,-104.0,1013.4,0.0,1013.4,6887.9,
