Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,ST And LT Investments,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Home Equity Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1999,7879.908203,55.348999,30.5,,3968.503113,,,,,,,,,,,,3734.321045,-18.295,3716.025879,28.693001,,,,,,0.0,80.837212,,298.829987,6602.298828,,6602.298828,0.0,6901.128906,0.0,,,,,0,,,,,,,,57.889,6959.017906,0.0,0.0,,,,924.190002,-3.299988,920.890015,0.0,920.890015,7879.907921,
06/30/1999,8210.96582,59.182999,62.5,,4152.021973,,,,,,,,,,,,3836.591064,-18.836,3817.754883,28.478001,,,,,,0.0,91.027966,,319.220001,6908.571777,,6908.571777,0.0,7227.791992,0.0,,,,,0,,,,,,,,44.001999,7271.793991,0.0,0.0,,,,949.125,-9.953003,939.171997,0.0,939.171997,8210.965988,
09/30/1999,8367.942383,61.973,44.099998,,4032.427063,,,,,,,,,,,,4130.84082,-19.441,4111.399902,28.323999,,,,,,0.0,89.71842,,321.483002,6421.026855,1402.332031,5018.694824,0.0,6742.509766,0.0,,,,,100,,,,,,,,48.383999,6890.893764,0.0,527.434021,,,0.0,977.705017,-28.091003,1477.048035,0.0,1477.048035,8367.941799,
12/31/1999,8518.865234,84.238998,116.599998,,3910.508911,,,,2.131,,,4293.112793,,,,0.0,4295.244141,-20.01,4275.233887,31.200001,,0.0,,,,0.0,101.083439,,308.11499,6379.929199,1387.727051,4992.202148,0.0,6688.043945,0.0,,,,,300,,,,,,,,51.780998,7039.824944,0.0,527.775024,,,0.0,,951.265015,1479.040039,0.0,1479.040039,8518.864983,
03/31/2000,8777.773438,69.136002,51.299999,,4097.331116,,,,,,,,,,,,4447.801758,-20.613001,4427.188965,31.778999,,,,,,0.0,101.038357,,332.888,6328.904053,1377.447021,4951.457031,0.0,6661.791992,0.0,,,,,600,,,,,,,,68.919998,7330.71199,0.0,527.763,,,0.0,1023.861023,-104.563049,1447.060974,0.0,1447.060974,8777.772964,
06/30/2000,8888.946289,70.307999,25.1,,4036.033936,,,,,,,,,,,,4634.278809,-21.218,4613.061035,32.060001,,,,,,0.0,112.383318,,343.454987,6281.986938,1344.464966,4937.521973,0.0,6625.441895,450.0,,,,,300,,,,,,,,56.898998,7432.340893,0.0,527.775024,,,-7.21,1044.739014,-108.698997,1456.605042,0.0,1456.605042,8888.945934,
09/30/2000,9162.067383,69.597,42.099998,,4129.597961,,,,,,,,,,,,4803.10498,-21.684999,4781.419922,31.882,,,,,,0.0,107.470501,,320.875,6212.880127,1312.593994,4900.286133,0.0,6533.754883,650.0,,,,,450,,,,,,,,58.819,7692.573883,0.0,527.843994,,,-25.559999,1065.5,-98.291014,1469.492981,0.0,1469.492981,9162.066864,
12/31/2000,9380.373,65.411,121.7,,4213.812,,,,2.38,,,4860.805,,,,0.0,4863.185,-22.144,4841.041,31.309,,0.0,,,,0.0,107.1,,332.177,6271.944,1303.078,4968.866,0.0,6604.121,600.0,,,,,650,,,,,,,,61.683,7915.804,0.0,536.874,,,-65.011,,992.706,1464.569,0.0,1464.569,9380.373,
03/31/2001,9617.849,69.472,174.9,,4219.335,,,,,,,,,,,,5048.114,-22.588,5025.526,30.647,,,,,,,97.969,,,6397.472,6397.472,,352.273,6749.745,,,,,,1450,,,,,,,,,,0.0,527.729,,,-212.965,1104.233,-78.226,1340.771,0.0,1340.771,,
06/30/2001,10043.801,79.367,46.1,,4432.606,,,,,,,,,,,,5378.208,-23.036,5355.172,30.259,,,,,,,100.297,,,6531.439,6531.439,,379.7,6911.139,,,,,,1750,,,,,,,,,,,527.658,,,-261.373,1124.181,-76.405,1314.061,,1314.061,,
