Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.398005,0.263704,0.263704,0.263704,223.398005,0.263704,0.263704,0.263704,
06/30/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.177613,0.29037,0.29037,0.29037,224.177613,0.29037,0.29037,0.29037,
09/30/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.644373,0.275556,0.275556,0.275556,223.644373,0.275556,0.275556,0.275556,
12/31/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.629498,0.24,0.24,0.24,221.629498,0.24,0.24,0.24,
03/31/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.712495,0.26963,0.26963,0.26963,219.712495,0.26963,0.26963,0.26963,
06/30/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.36249,0.281481,0.281481,0.281481,218.36249,0.281481,0.281481,0.281481,
09/30/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.36249,0.287407,0.287407,0.287407,218.36249,0.287407,0.287407,0.287407,
12/31/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.464511,0.263704,0.263704,0.263704,224.464511,0.263704,0.263704,0.263704,
03/31/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.875,-0.020741,0.32,0.32,232.875,-0.020741,0.32,0.32,
06/30/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.23749,0.281481,0.281481,0.281481,235.23749,0.281481,0.281481,0.281481,
09/30/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.912505,0.26963,0.26963,0.26963,235.912505,0.26963,0.26963,0.26963,
03/31/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.587495,0.34963,0.34963,0.34963,236.587495,0.34963,0.34963,0.34963,
06/30/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.287505,0.305185,0.305185,0.305185,239.287505,0.305185,0.305185,0.305185,
09/30/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.625,0.299259,0.299259,0.299259,239.625,0.299259,0.299259,0.299259,
12/31/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.649995,0.299259,0.299259,0.299259,241.649995,0.299259,0.299259,0.299259,
03/31/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.826135,0.391111,0.284444,0.284444,237.826135,0.391111,0.284444,0.284444,
07/01/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.925007,0.342222,0.235556,0.235556,236.925007,0.342222,0.235556,0.235556,
09/30/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.824993,0.337778,0.231111,0.231111,237.824993,0.337778,0.231111,0.231111,
12/31/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.650003,0.328889,0.257778,0.257778,241.650003,0.328889,0.257778,0.257778,
03/31/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.574993,0.426667,0.342222,0.337778,244.574993,0.426667,0.342222,0.337778,
06/30/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.900003,0.377778,0.266667,0.266667,243.900003,0.377778,0.266667,0.266667,
09/30/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.224997,0.386667,0.293333,0.271111,243.224997,0.386667,0.293333,0.271111,
12/31/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.699993,0.355556,0.24,0.231111,245.699993,0.355556,0.24,0.231111,
03/31/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.857243,0.466667,0.377778,0.377778,251.030251,0.453333,0.366667,0.366667,
06/30/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.600746,0.333333,0.244444,0.328889,248.570995,0.326667,0.24,0.32,
09/30/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.249001,0.32,0.32,0.311111,246.249001,0.32,0.32,0.313333,
12/31/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.769756,0.173333,0.173333,0.32,255.599997,0.166667,0.166667,0.313333,
03/31/1997,1236.099976,,,,-1179.5,,,,,56.599998,-41.4,,14.6,,,0.0,,26.799999,15.199999,-5.7,9.5,0.0,,,9.499999,-8.8,0.7,-3.4,,-2.7,-2.7,,250.650003,-0.013333,-0.013333,0.346667,250.650003,-0.013333,-0.013333,0.346667,
06/30/1997,1306.900024,,,,-1229.699951,,,,,77.199997,74.699999,,15.9,,,0.0,,-90.599998,151.899996,-57.0,94.900002,0.0,,,94.899996,-10.7,84.199997,-3.3,,80.899997,80.899997,,253.950005,0.32,0.32,0.386667,254.400009,0.32,0.32,0.386667,
09/30/1997,1328.699951,,,,-1254.5,,,,,74.199997,103.600002,,18.700001,,,0.0,,-122.300003,177.799999,-66.599998,111.199997,0.0,,,111.200001,-10.2,101.0,-3.4,,97.6,97.6,,252.299995,0.386667,0.386667,0.386667,256.650009,0.38,0.38,0.38,
12/31/1997,1378.599976,,,,-1303.900024,,,,,74.699997,121.999996,,20.200001,,,0.0,,-142.199997,196.699993,-73.800003,122.900002,0.0,,,122.89999,-10.0,112.900002,-1.9,,111.000002,111.000002,,253.200005,0.44,0.44,0.44,256.950005,0.433333,0.433333,0.433333,
03/31/1998,1413.0,,,,-1304.0,,,,,109.0,128.0,,20.0,,,0.0,,-148.0,237.0,-89.0,148.0,0.0,,,148.0,-10.0,138.0,-0.6,,137.4,137.4,,253.000511,0.55,0.55,0.55,257.000999,0.53,0.53,0.53,
06/30/1998,1483.0,,,,-1362.0,,,,,121.0,119.0,,21.0,,,0.0,,-140.0,240.0,-90.0,150.0,0.0,,,150.0,-10.0,140.0,-0.7,,139.3,139.3,,254.000999,0.55,0.55,0.55,258.0,0.54,0.54,0.54,
09/30/1998,1454.0,,,,-1370.0,,,,,84.0,131.0,,22.0,,,0.0,,-153.0,215.0,-81.0,134.0,0.0,,,134.0,-10.0,124.0,-0.6,,123.4,123.4,,255.75,0.48,0.48,0.48,260.849991,0.473333,0.473333,0.473333,
12/31/1998,1553.0,,,,-1440.0,,,,,113.0,125.0,,24.0,,,0.0,,-149.0,238.0,-89.0,149.0,0.0,,,149.0,-10.0,139.0,-0.7,,138.3,138.3,,255.599991,0.54,0.54,0.54,260.700005,0.526667,0.526667,0.526667,
03/31/1999,1549.0,,,,-1419.0,,,,,130.0,-34.0,21.0,21.0,,,0.0,,13.0,96.0,-36.0,60.0,0.0,,,60.0,-10.0,50.0,-1.0,,49.0,49.0,,258.0,0.19,0.19,0.58,262.0005,0.19,0.19,0.58,
