Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,171.248,,,-117.484,,53.764,,-10.542,,,43.222,-15.446,15.208,15.465,-0.257,0.0,,0.238,27.776,-0.418,27.358,0.0,,,27.358,0.0,27.358,0.0,-7.211,20.147,20.147,,46.3233,0.43,0.43,0.43,46.3233,0.43,0.43,0.43,
06/30/1997,171.962,,,-118.226,,53.736,,-11.053,,,42.683,-15.307,14.853,15.055,-0.202,0.0,,0.454,27.376,-0.152,27.224,0.0,,,27.224,0.0,27.224,0.0,-8.218,19.006,19.006,,46.3233,0.42,0.42,0.42,46.3233,0.42,0.42,0.42,
09/30/1997,198.663,,,-135.024,,63.639,,-15.973,,,47.666,-14.901,14.663,14.991,-0.328,0.0,,0.238,32.765,0.036,32.801,0.0,,,32.801,0.0,32.801,0.0,-8.329,24.472,24.472,,46.3233,0.52,0.52,0.52,46.3233,0.52,0.52,0.52,
12/31/1997,183.698,,,-132.525,,51.173,,-11.463,,,39.71,-15.851,14.527,14.853,-0.326,0.0,,1.324,23.859,0.454,24.313,0.0,,,24.313,0.0,24.313,0.0,-8.16,16.153,16.153,,46.3233,0.35,0.35,0.35,46.3233,0.35,0.35,0.35,
03/31/1998,145.0,,,-33.0,,112.0,,-9.0,,,103.0,-18.0,,18.0,,0.0,,0.0,85.0,-33.0,52.0,2.0,,,50.0,0.0,50.0,0.0,,50.0,50.0,,92.300003,0.54,0.56,0.56,93.0,0.54,0.56,0.56,
06/30/1998,119.0,,,-30.0,,89.0,,-9.0,,,80.0,-17.0,,17.0,,0.0,,0.0,63.0,-25.0,38.0,0.0,,,38.0,0.0,38.0,0.0,,38.0,38.0,,92.300003,0.41,0.41,0.41,93.199997,0.41,0.41,0.41,
09/30/1998,143.0,,,-51.0,,92.0,,-8.0,,,84.0,-17.0,,17.0,,0.0,,0.0,67.0,-26.0,41.0,0.0,,,41.0,0.0,41.0,0.0,,41.0,41.0,,89.599998,0.46,0.46,0.47,89.900002,0.46,0.46,0.47,
12/31/1998,127.0,,,-20.0,,107.0,,-10.0,,,97.0,-19.0,,19.0,,0.0,,0.0,78.0,-31.0,47.0,0.0,,,47.0,0.0,47.0,0.0,,47.0,47.0,,87.0,0.54,0.54,0.38,87.300003,0.54,0.54,0.38,
03/31/1999,178.221,,,-129.111,,49.11,,-10.443,,,38.667,-20.631,18.136,18.525,-0.389,,,2.495,18.036,-0.174,17.862,,,,17.862,,17.862,,-8.534,9.328,9.328,,46.3233,0.2,0.2,0.2,46.3233,0.2,0.2,0.2,
06/30/1999,184.349,,,-128.796,,55.553,,-11.104,,,44.449,-21.103,18.303,18.524,-0.221,,,2.8,23.346,-0.811,22.535,,,,22.535,,22.535,,-8.628,13.907,13.907,2.402,46.3233,0.3,0.3,0.3,46.3233,0.3,0.3,0.3,
09/30/1999,139.0,,,-32.0,,107.0,,-12.0,,,95.0,-17.0,,17.0,,0.0,,0.0,78.0,-29.0,49.0,0.0,,,49.0,0.0,49.0,0.0,,49.0,49.0,,82.800003,0.59,0.59,0.59,83.400002,0.59,0.59,0.59,
12/31/1999,108.0,,,-13.0,,95.0,,-11.0,,,84.0,254.0,,17.0,,0.0,,-271.0,338.0,-133.0,205.0,0.0,,,205.0,0.0,205.0,0.0,,205.0,205.0,,82.599998,2.48,2.48,0.49,83.099998,2.47,2.47,0.48,
03/31/2000,58.951,,,-16.503,,42.448,,-3.449,,,38.999,41.58,10.409,11.916,-1.507,,,-51.989,80.579,,80.579,,,,,,80.579,,,80.579,80.579,,69.207,1.16,1.16,1.16,69.207,1.16,1.16,1.16,
06/30/2000,53.149,,,-16.455,,36.694,,-3.401,,,33.293,-12.29,10.286,11.782,-1.496,,,2.004,21.003,,21.003,,,,,,21.003,,,21.003,21.003,,69.192,0.3,0.3,0.3,69.209,0.3,0.3,0.3,
09/30/2000,41.539,,,-16.367,,25.172,,-2.283,,,22.889,-13.381,10.655,11.548,-0.893,,,2.726,9.508,,9.508,,,,,,9.508,,,9.508,9.508,2.178,69.181,0.14,0.14,0.14,69.228,0.14,0.14,0.14,
12/30/2000,146.0,,,-41.0,,105.0,,-9.0,,,96.0,-11.0,,11.0,,0.0,,0.0,85.0,-29.0,56.0,0.0,,,56.0,0.0,56.0,0.0,0.0,56.0,56.0,,80.099998,0.7,0.7,0.7,80.699997,0.69,0.69,0.69,
03/31/2001,117.0,,,-37.0,,80.0,,-9.0,,,71.0,-11.0,,11.0,,0.0,,0.0,60.0,-23.0,37.0,0.0,,,37.0,0.0,37.0,0.0,0.0,37.0,37.0,,112.699997,0.33,0.33,0.33,113.900002,0.32,0.32,0.32,
06/30/2001,100.0,,,-39.0,,61.0,,-9.0,,,52.0,-10.0,,10.0,,0.0,,0.0,42.0,-15.0,27.0,0.0,,,27.0,0.0,27.0,0.0,0.0,27.0,27.0,,112.699997,0.24,0.24,0.24,113.900002,0.24,0.24,0.24,
09/30/2001,141.0,,,-44.0,,97.0,,-10.0,,,87.0,-9.0,,9.0,,0.0,,0.0,78.0,-30.0,48.0,0.0,,,48.0,0.0,48.0,0.0,0.0,48.0,48.0,,112.699997,0.43,0.43,0.43,113.900002,0.42,0.42,0.42,
12/31/2001,240.0,,,-172.0,,68.0,,-28.0,,,40.0,-24.0,,24.0,,0.0,,0.0,16.0,210.0,226.0,0.0,,,226.0,0.0,226.0,0.0,0.0,226.0,226.0,,179.300003,1.26,1.26,0.25,180.600006,1.25,1.25,0.24,
03/31/2002,275.0,,,-174.0,,101.0,,-17.0,,,84.0,-26.0,,26.0,,0.0,,0.0,58.0,-2.0,56.0,0.0,,,56.0,0.0,56.0,0.0,0.0,56.0,56.0,,184.5,0.3,0.3,0.3,185.300003,0.3,0.3,0.3,
06/30/2002,271.0,,,-172.0,,99.0,,-17.0,,,82.0,-26.0,,26.0,,0.0,,0.0,56.0,-3.0,53.0,0.0,,,53.0,0.0,53.0,0.0,0.0,53.0,53.0,,184.699997,0.29,0.29,0.29,185.399994,0.29,0.29,0.29,
09/30/2002,310.0,,,-194.0,,116.0,,-19.0,,,97.0,-25.0,,25.0,,0.0,,0.0,72.0,-2.0,70.0,0.0,,,70.0,0.0,70.0,0.0,0.0,70.0,70.0,,184.800003,0.38,0.38,0.38,185.5,0.38,0.38,0.38,
12/31/2002,281.0,,,-184.0,,97.0,,-22.0,,,75.0,-26.0,,26.0,,0.0,,0.0,49.0,5.0,54.0,0.0,,,54.0,0.0,54.0,0.0,0.0,54.0,54.0,,184.800003,0.29,0.29,0.29,185.300003,0.29,0.29,0.29,
03/31/2003,273.0,,,-197.0,,76.0,,-17.0,,,59.0,-28.0,,28.0,,0.0,,0.0,31.0,2.0,33.0,0.0,,,33.0,0.0,33.0,0.0,0.0,33.0,33.0,,184.100006,0.18,0.18,0.23,184.600006,0.18,0.18,0.23,
06/30/2003,318.0,,,-215.0,,103.0,,-19.0,,,84.0,-29.0,,29.0,,0.0,,0.0,55.0,3.0,58.0,0.0,,,58.0,0.0,58.0,0.0,0.0,58.0,58.0,,183.0,0.32,0.32,0.32,183.5,0.31,0.31,0.31,
09/30/2003,290.0,,,-198.0,,92.0,,-20.0,,,72.0,-29.0,,29.0,,0.0,,0.0,43.0,2.0,45.0,0.0,,,45.0,0.0,45.0,0.0,0.0,45.0,45.0,,183.0,0.25,0.25,0.27,183.699997,0.25,0.25,0.27,
12/31/2003,315.0,,,-206.0,,109.0,,-21.0,,,88.0,-31.0,,31.0,,0.0,,0.0,57.0,-1.0,56.0,0.0,,,56.0,0.0,56.0,0.0,0.0,56.0,56.0,,183.0,0.31,0.31,0.333,183.699997,0.3,0.3,0.332,
03/31/2004,497.0,,,-288.0,,209.0,,-18.0,,,191.0,-29.0,,29.0,,0.0,,0.0,162.0,-7.0,155.0,0.0,,,155.0,0.0,155.0,0.0,0.0,155.0,155.0,,183.199997,0.85,0.85,0.48,184.0,0.84,0.84,0.48,
06/30/2004,341.0,,,-230.0,,111.0,,-22.0,,,89.0,-22.0,,27.0,,0.0,,-5.0,67.0,-10.0,57.0,0.0,,,57.0,0.0,57.0,0.0,0.0,57.0,57.0,,183.300003,0.31,0.31,0.29,184.0,0.31,0.31,0.29,
09/30/2004,363.0,,,-226.0,,137.0,,-22.0,,,115.0,-28.0,,28.0,,0.0,,0.0,87.0,-10.0,77.0,0.0,,,77.0,0.0,77.0,0.0,0.0,77.0,77.0,,183.5,0.42,0.42,0.42,184.199997,0.42,0.42,0.42,
12/31/2004,327.0,,,-226.0,,101.0,,-24.0,,,77.0,-4.0,,27.0,,0.0,,-23.0,73.0,0.0,73.0,0.0,,,73.0,0.0,73.0,0.0,0.0,73.0,73.0,,183.7,0.4,0.4,0.3,184.4,0.4,0.4,0.3,
03/31/2005,400.0,,,-245.0,,155.0,,-21.0,,,134.0,-7.0,27.0,,,0.0,,-20.0,127.0,-5.0,122.0,0.0,,,122.0,0.0,122.0,0.0,0.0,122.0,122.0,,183.9,0.67,0.67,0.56,184.5,0.66,0.66,0.56,
06/30/2005,358.0,,,-232.0,,126.0,,-24.0,,,102.0,-27.0,27.0,,,0.0,,0.0,75.0,-6.0,69.0,0.0,,,69.0,0.0,69.0,0.0,0.0,69.0,69.0,,184.0,0.37,0.37,0.37,184.6,0.37,0.37,0.37,
09/30/2005,427.0,,,-287.0,,140.0,,-23.0,,,117.0,-26.0,26.0,26.0,,0.0,,0.0,91.0,5.0,96.0,0.0,,,96.0,0.0,96.0,0.0,0.0,96.0,96.0,,184.0,0.52,0.52,0.52,184.6,0.52,0.52,0.52,
12/31/2005,391.0,,,-272.0,,119.0,,-24.0,,,95.0,-26.0,,83.0,,0.0,,-57.0,69.0,-2.0,67.0,0.0,,,67.0,0.0,67.0,0.0,0.0,67.0,67.0,,184.0,0.36,0.36,0.34,184.600006,0.36,0.36,0.34,
03/31/2006,414.0,,,-261.0,,153.0,0.0,-26.0,26.0,0.0,127.0,-31.0,31.0,,,0.0,,0.0,96.0,-4.0,92.0,-2.0,,,94.0,0.0,94.0,0.0,0.0,94.0,94.0,,184.2,0.51,0.5,0.5,184.7,0.51,0.5,0.5,
06/30/2006,380.0,,,-255.0,,125.0,,-26.0,,,99.0,-34.0,34.0,34.0,,0.0,,0.0,65.0,-3.0,62.0,0.0,,,62.0,0.0,62.0,0.0,0.0,62.0,62.0,,182.3,0.34,0.34,0.34,182.8,0.34,0.34,0.34,
09/30/2006,454.0,,,-296.0,,158.0,,-24.0,,,134.0,-33.0,33.0,33.0,,0.0,,0.0,101.0,-9.0,92.0,0.0,,,92.0,0.0,92.0,0.0,0.0,92.0,92.0,,178.5,0.51,0.51,0.51,178.9,0.51,0.51,0.51,
12/31/2006,379.0,,,-259.0,,120.0,,-33.0,,,87.0,-21.0,35.0,35.0,,0.0,,-14.0,66.0,3.0,69.0,0.0,,,69.0,0.0,69.0,0.0,0.0,69.0,69.0,,177.0,0.39,0.39,0.32,177.4,0.39,0.39,0.32,
03/31/2007,369.0,,,-265.0,,104.0,0.0,-27.0,29.0,-2.0,77.0,-36.0,36.0,36.0,,0.0,,0.0,41.0,4.0,45.0,0.0,,,45.0,0.0,45.0,0.0,0.0,45.0,45.0,,177.1,0.26,0.26,0.26,177.5,0.25,0.25,0.25,
06/30/2007,395.0,,,-269.0,,126.0,,-32.0,,,94.0,-33.0,,35.0,,0.0,,-2.0,61.0,-1.0,60.0,0.0,,,60.0,0.0,60.0,0.0,0.0,60.0,60.0,,175.699997,0.34,0.33,0.33,176.100006,0.34,0.33,0.33,
09/30/2007,407.0,,,-279.0,,128.0,,-29.0,,,99.0,-39.0,,38.0,,0.0,,1.0,60.0,-1.0,59.0,0.0,,,59.0,0.0,59.0,0.0,0.0,59.0,59.0,,173.199997,0.34,0.34,0.34,173.600006,0.34,0.34,0.34,
12/31/2007,504.0,,,-313.0,,191.0,,-36.0,,,155.0,-38.0,38.0,38.0,,0.0,,0.0,117.0,1.0,118.0,0.0,,,118.0,0.0,118.0,0.0,0.0,118.0,118.0,,172.3,0.68,0.68,0.43,172.8,0.68,0.68,0.43,
03/31/2008,363.0,,,-267.0,,96.0,0.0,-27.0,30.0,-3.0,69.0,-36.0,36.0,,,,,0.0,33.0,5.0,38.0,,,,38.0,,38.0,,0.0,38.0,38.0,,171.6,0.22,0.22,0.22,172.1,0.22,0.22,0.22,
06/30/2008,376.0,,,-286.0,,90.0,0.0,-33.0,33.0,0.0,57.0,-34.0,34.0,,,,,0.0,23.0,8.0,31.0,0.0,,,31.0,,31.0,0.0,0.0,31.0,31.0,,171.1,0.18,0.18,0.18,171.6,0.18,0.18,0.18,
09/30/2008,414.0,,,-283.0,,131.0,0.0,-32.0,31.0,1.0,99.0,-35.0,35.0,,,,,0.0,64.0,5.0,69.0,,,,69.0,,69.0,0.0,0.0,69.0,69.0,,171.2,0.4,0.4,0.4,171.8,0.4,0.4,0.4,
12/31/2008,461.0,,,-321.0,,140.0,,-37.0,,,103.0,-17.0,,43.0,,0.0,,-26.0,86.0,9.0,95.0,0.0,,,95.0,0.0,95.0,0.0,0.0,95.0,95.0,,167.199997,0.57,0.57,0.52,167.399994,0.57,0.57,0.52,
03/31/2009,470.0,465.0,5.0,-279.0,279.0,191.0,0.0,-32.0,32.0,0.0,159.0,-22.0,38.0,,,,-15.0,-1.0,137.0,20.0,157.0,0.0,0.0,0.0,157.0,0.0,157.0,0.0,0.0,157.0,157.35,0.35,164.7,0.95,0.95,0.955373,164.8,0.95,0.95,0.952124,
06/30/2009,272.0,267.0,5.0,-196.0,196.0,76.0,0.0,-23.0,23.0,0.0,53.0,-24.0,38.0,,,,-14.0,0.0,29.0,3.0,32.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,0.0,32.0,32.0,0.0,162.8,0.19,0.19,0.19,162.9,0.19,0.19,0.19,
09/30/2009,294.0,290.0,4.0,-236.0,236.0,58.0,0.0,-20.0,20.0,0.0,38.0,-22.0,36.0,,,,-14.0,0.0,16.0,3.0,19.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,19.0,19.0,0.0,162.8,0.12,0.12,0.12,162.9,0.12,0.12,0.12,
