Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/31/1990,1603.678955,,,,-1233.246948,,370.432007,,-252.005005,,,,118.427002,-1.901001,,39.705002,,,-37.804001,116.526001,-37.997002,78.528999,0.0,,,78.528999,,78.528999,0.0,,78.528999,78.528999,,453.972015,0.173333,0.173333,,453.972015,0.173333,0.173333,0.173333,
04/30/1990,2081.980957,,,,-1583.456055,,498.524902,,-272.320007,,,,226.205002,-10.606003,,50.290001,,,-39.683998,215.598999,-71.584,144.014999,0.0,,,144.014999,,144.014999,0.0,,144.014999,144.014999,,454.784225,0.316667,0.316667,,454.784225,0.316667,0.316667,0.316667,
07/31/1990,2024.340942,,,,-1553.006958,,471.333984,,-282.871002,,,,188.462997,-18.605003,,50.698002,,,-32.092999,169.857994,-55.756001,114.101997,0.0,,,114.101994,,114.101997,0.0,,114.101997,114.101997,,456.408005,0.25,0.25,,456.408005,0.25,0.25,0.25,
10/31/1990,2028.399048,,,,-1636.290039,,392.109009,,-292.503998,,,,99.605003,-8.487999,,47.106998,,,-38.618999,91.117004,-16.663,74.454002,0.0,,,74.454004,,74.454002,0.0,,74.454002,74.454002,,456.623976,0.163333,0.163333,0.163333,456.623976,0.163333,0.163333,0.163333,
01/31/1991,1407.199951,,,,-1186.199951,,221.0,,-271.399994,,,,-50.400002,-14.0,,44.700001,,,-30.700001,-64.400002,21.299999,-43.099998,0.0,,,-43.100002,,-43.099998,0.0,,-43.099998,-43.099998,,456.611984,-0.095,-0.095,,456.611984,-0.095,-0.095,-0.095,
04/30/1991,1893.400024,,,,-1498.699951,,394.700073,,-272.0,,,,122.699997,-21.800001,,51.200001,,,-29.4,100.899996,-27.799999,73.099998,0.0,,,73.099997,,73.099998,0.0,,73.099998,73.099998,,456.875061,0.16,0.16,,456.875061,0.16,0.16,0.16,
07/31/1991,1756.5,,,,-1396.300049,,360.199951,,-298.299988,,,,61.900002,-13.700001,,48.900002,,,-35.200001,48.200001,-16.9,31.299999,0.0,,,31.300001,,31.299999,0.0,,31.299999,31.299999,,458.048767,0.068333,0.068333,,458.048767,0.068333,0.068333,0.068333,
10/31/1991,1863.5,,,,-1478.599976,,384.900024,,-308.100006,,,,76.800003,-186.900001,,45.099998,,,141.800003,-110.099998,28.6,-81.5,0.0,,,-81.499998,,-81.5,0.0,,-81.5,-81.5,,457.332,-0.178333,-0.178333,-0.178333,457.332,-0.178333,-0.178333,-0.178333,
01/31/1992,1415.099976,,,,-1164.599976,,250.5,,-281.700012,,,,-31.200001,-5.5,,44.099998,,,-38.599998,-36.700001,16.799999,-19.9,0.0,,,-19.900002,,-19.9,0.0,,-19.9,-19.9,,457.367981,-0.043333,-0.043333,,457.367981,-0.043333,-0.043333,-0.043333,
04/30/1992,1830.099976,,,,-1459.800049,,370.299927,,-284.899994,,,,85.400002,-19.6,,50.700001,,,-31.1,65.800001,-21.799999,44.0,0.0,,,44.000002,,44.0,0.0,,44.0,44.0,,455.172409,0.096667,0.096667,,455.172409,0.096667,0.096667,0.096667,
