Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Auto Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1999,630328.0,19756.0,59079.0,,,230916.0,,,,,,,,,,,,,,,,195082.0,,195082.0,6017.0,,6901.0,,,,,0.0,112577.0,,52999.0,211446.0,,211446.0,0.0,264445.0,187632.0,,,,,,,,47834.0,,,,,,,,94969.0,594880.0,1722.0,13614.0,,,-4675.0,,24237.0,34898.0,550.0,35448.0,630328.0,
06/30/1999,626262.0,18131.0,68335.0,,,224710.0,,,,,,,,,,,,,,,,200240.0,,200240.0,6078.0,,7241.0,,,,,0.0,101527.0,,56519.0,208318.0,,208318.0,0.0,264837.0,186265.0,,,,,,,,48849.0,,,,,,,,91250.0,591201.0,1722.0,13797.0,,,-5903.0,,24895.0,34511.0,550.0,35061.0,626262.0,
09/30/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43879.0,,,,,,,,7046.0,,,,,,,,,,,,,,,,,,,,,
12/31/1999,667003.0,18692.0,89402.0,,,225841.0,,,,,114918.0,,,88090.0,,,,,,,0.0,203008.0,-3738.0,199270.0,6436.0,,9632.0,,,,,0.0,117730.0,,56925.0,230139.0,94155.0,135984.0,0.0,287064.0,191875.0,,,,,,,,45540.0,,,,,,,,106918.0,631397.0,1622.0,14349.0,,,-7942.0,,27027.0,35056.0,550.0,35606.0,667003.0,
03/31/2000,676046.0,18159.0,78238.0,,,243069.0,,,,,,,,,,,,,,,,198870.0,,198870.0,6460.0,,9858.0,,,,,0.0,121392.0,,55554.0,203441.0,,203441.0,0.0,258995.0,225455.0,,,,,,,,49513.0,,,,,,,,105937.0,639900.0,1622.0,13905.0,,,-8513.0,,28582.0,35596.0,550.0,36146.0,676046.0,
06/30/2000,662368.0,20859.0,78189.0,,,233563.0,,,,,119545.0,,,87808.0,,,,,,,0.0,207353.0,-3742.0,203611.0,6584.0,,10012.0,,,,,0.0,109550.0,,57904.0,213012.0,,213012.0,0.0,270916.0,206221.0,,,,,,,,48217.0,,,,,,,,99829.0,625183.0,1522.0,14271.0,,,-8764.0,,29606.0,36635.0,550.0,37185.0,662368.0,
09/30/2000,707497.0,20284.0,78082.0,,,260200.0,,,,,124958.0,,,93287.0,,,,,,,0.0,218245.0,-3749.0,214496.0,6863.0,,15678.0,,,,,0.0,111894.0,,54903.0,214882.0,,214882.0,0.0,269785.0,243709.0,,,,,,,,49573.0,,,,,,,,102478.0,665545.0,1522.0,14493.0,,,-5296.0,,30683.0,41402.0,550.0,41952.0,707497.0,
12/31/2000,715348.0,23972.0,77807.0,,,245315.0,,,,,119460.0,,,96590.0,,,,,,,0.0,216050.0,-3665.0,212385.0,7087.0,,15833.0,,,,,0.0,132949.0,,55933.0,223432.0,93392.0,130040.0,0.0,279365.0,228586.0,,,,,,,,47238.0,,,,,,,,117271.0,672460.0,1520.0,13538.0,,,-575.0,28096.0,-241.0,42338.0,550.0,42888.0,715348.0,
03/31/2001,713624.0,22371.0,79126.0,,,256142.0,,,,,113217.0,,,103571.0,,,,,,,0.0,216788.0,-3672.0,213116.0,7085.0,,9289.0,,,,,0.0,126495.0,,59686.0,212886.0,,212886.0,0.0,272572.0,243201.0,,,,,,,,47048.0,,,,,,,,106887.0,669708.0,1362.0,13647.0,,,-21.0,28592.0,-214.0,43366.0,550.0,43916.0,713624.0,
06/30/2001,712702.0,24219.0,73211.0,,,255774.0,,,,,112790.0,,,107128.0,,,,,,,0.0,219918.0,-3673.0,216245.0,7186.0,,9282.0,8640.0,642.0,,,0.0,126785.0,,64231.0,212573.0,,212573.0,0.0,276804.0,247036.0,,,,,,,,45356.0,,,,,,,,100530.0,669726.0,1025.0,13990.0,,,-20.0,28265.0,-834.0,42426.0,550.0,42976.0,712702.0,
