Date,P/Book,Average,High,Low,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
12/31/1992,,,,,1.855286,111.941104,,,,,4.522416,,
03/31/1993,2.695358,833.530869,833.530869,833.530869,2.895499,17.026226,,4.037114,11.282379,15.727591,6.798212,833.530869,
06/30/1993,2.835826,870.720606,1022.952995,830.858994,3.267195,19.217795,,4.843542,13.36786,18.238863,7.46928,1041.129021,
09/30/1993,3.885191,1084.854882,1383.988408,1020.28112,4.653194,22.863908,,5.579473,14.679902,19.218619,10.824621,1321.587502,
12/31/1993,4.381572,1303.20467,1498.534504,1203.617002,5.373396,19.637893,,6.124096,16.465464,21.65746,12.400172,1504.218881,
03/31/1994,4.015413,1584.291695,1730.28265,1449.151504,5.318941,19.542626,,6.113031,16.318461,21.28108,12.837825,1580.035009,
06/30/1994,3.442417,1518.901869,1783.47101,1367.886269,4.55206,13.857017,,5.296918,14.131853,18.346565,11.437335,1432.885059,
09/30/1994,4.167142,1583.044827,1822.838575,1427.233559,5.586884,16.521096,,6.096801,15.791381,20.204749,14.646791,1728.19304,
12/31/1994,4.373077,1522.078258,1753.815052,1303.543026,4.483583,15.041537,,5.258492,13.031266,16.358669,13.25,1570.006958,
03/31/1995,5.030578,1630.115235,1888.31946,1492.443021,5.166332,17.142002,,5.839245,15.529178,19.836633,16.0,1833.995973,
06/30/1995,4.874924,1793.667174,1973.31297,1671.459476,5.409048,20.638091,,6.149061,17.738735,23.04823,17.3125,2056.824155,
09/30/1995,5.03648,2552.330329,2995.836524,1924.800717,7.74467,28.75371,,8.24603,22.31245,28.386604,26.1875,3040.517558,
12/31/1995,7.481953,3735.95156,4532.571121,2952.426394,10.911184,39.541366,52.547709,10.690083,26.899733,33.185594,40.875,4558.240516,
03/31/1996,8.577906,4849.428892,5493.918062,4131.292611,12.001264,46.496026,64.586986,11.579114,25.971151,31.227756,48.625,5520.817484,
06/30/1996,4.696978,6534.994993,7920.359982,5230.585529,13.039871,58.698204,79.691399,12.137862,28.876858,33.534217,70.0,8809.405233,
09/30/1996,4.525639,7170.620064,8357.691172,5474.21902,10.100147,,,8.66868,,24.865411,67.0,8721.567653,
12/31/1996,3.133804,8736.276226,9913.659332,7466.976694,7.96038,,,7.380969,,22.363485,59.75,8584.022217,
03/31/1997,3.930982,9255.647376,10103.910145,8302.446217,6.645172,,,7.473717,,23.199561,58.75,10361.642939,
06/30/1997,3.227818,9394.33034,15213.252533,7795.14117,5.616511,,,9.394203,,27.058522,58.0,15225.316115,
09/30/1997,3.906604,15931.786028,18305.73481,14859.233476,6.438592,8.820903,9.375476,9.89298,21.506493,26.196844,74.4375,18411.063369,
