Date,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2008,,,,,,,,-7.936508,-7.936508,0.54615,0.54615,
03/31/2009,100.0,100.0,11805.0,,7.0,11812.0,,-8.591065,-8.591065,0.507331,0.507331,
06/30/2009,106.0,106.0,,13040.0,7.0,13047.0,,-10.085633,-10.085633,0.524078,0.524078,
09/30/2009,,,,,,,,-9.602328,-9.602328,0.489493,0.489493,
12/31/2009,97.0,97.0,,14245.0,3.0,14248.0,,-8.234295,-8.234295,0.475957,0.475957,
03/31/2010,98.0,98.0,,14178.0,0.0,14178.0,4.0,-8.75,-8.75,0.506146,0.506146,
06/30/2010,98.0,98.0,,13332.0,145.0,13477.0,25.0,-7.896857,-7.896857,0.516905,0.516905,
09/30/2010,92.0,92.0,,14144.0,349.0,14493.0,,-6.45614,-6.45614,0.485258,0.485258,
12/31/2010,92.0,92.0,,12480.0,,12480.0,,-5.558912,-5.558912,0.534262,0.534262,
03/31/2011,92.0,92.0,,12292.0,,12292.0,,-5.897436,-5.897436,0.546026,0.546026,
06/30/2011,,,,11976.0,79.0,12055.0,,,,,,
09/30/2011,,,,12087.0,,12087.0,,,,,,
12/31/2011,,,,,,,,0.0,0.0,0.0,0.0,
03/31/2012,,,,11277.0,,11277.0,,,,,,
06/30/2012,,,,10772.0,,10772.0,,,,,,
09/30/2012,,,,10462.0,,10462.0,,,,,,
03/31/2013,,,,9781.0,,9781.0,,,,,,
06/30/2013,,,,9596.0,,9596.0,,,,,,
09/30/2013,,,,9225.0,,9225.0,,,,,,
