Date,Returns,Return on Common Equity,Return on Assets,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
06/27/2009,,,,,,,,4.151494,,,,2.274821,2.274821,,,,,
09/26/2009,,,,,,,,12.688526,,,,7.164789,7.164789,,,,,
12/26/2009,,,,,,,,9.9401,,,,5.6233,5.6233,,,,,
04/03/2010,,,,,,,,14.612271,,,,12.977528,12.977528,,,,,
07/03/2010,,,,,,,,11.338737,22.197733,,,7.756277,7.756277,,,,,
10/02/2010,,,,,,,23.130502,16.96265,25.403333,,,8.271153,8.271153,,,,,
01/01/2011,,,,,,56.984878,,20.198065,34.860432,21.076007,12.492583,12.492583,9.799867,,40.726047,0.0,,
04/02/2011,,,,,,55.883051,20.883906,17.763945,24.106336,15.781886,7.23866,7.23866,5.678262,,54.133115,0.0,,
07/02/2011,,,,,,56.336632,21.995591,18.49905,30.341666,17.603218,9.918725,9.918725,7.780739,,43.653909,0.0,,
10/01/2011,,,,,,57.309873,22.188511,19.401568,23.377495,20.464305,13.290261,13.290261,10.352762,,35.056377,0.0,,
12/31/2011,,,,,,59.395459,20.131636,17.287463,13.003956,17.752927,10.447102,10.447102,8.564905,,41.152791,0.0,,
03/31/2012,,42.89204,27.44413,38.387275,,57.665202,23.356667,20.748178,25.864545,20.30764,11.477144,11.477144,11.477144,,43.483613,0.0,42.89204,
06/30/2012,,50.704773,31.994545,42.150342,,60.501609,30.129801,26.982994,38.993473,26.968532,16.546346,16.546346,16.546346,,38.645728,0.0,50.704773,
09/29/2012,,44.819124,31.164821,44.126361,,59.275521,31.933726,29.633633,43.381134,29.581093,18.35646,18.35646,18.35646,,37.945296,0.0,44.819124,
12/29/2012,,52.34666,38.257629,50.862575,,60.217376,34.330175,32.16804,53.292904,31.885681,20.419675,20.419675,20.419675,,35.959732,0.0,52.34666,
