Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2010,8.310314,8.311575,-0.001261,-6.97091,2.716039,4.254871,1.339404,0.0,-1.207691,1.207691,1.207691,,0.0,0.131713,-0.473124,0.473124,0.486304,-0.01318,0.0,,0.0,-0.341411,0.0,,,-0.341411,0.0,0.0,0.0,-0.341411,0.0,-0.341411,0.0,0.0,-0.341411,-8.55763,0.0,,,,,,,,,
09/30/2011,10.963589,10.970811,-0.007222,-7.404156,3.724037,3.680119,3.559433,0.0,-0.755114,0.755114,0.755114,,0.0,2.804319,-0.715698,0.715698,0.717879,-0.002181,,,0.0,2.088621,0.0,,,2.088621,0.0,0.0,0.0,2.088621,0.0,2.088621,0.0,0.0,2.088621,-6.323572,0.0,,,,,,,,,
12/31/2011,14.16911,14.171262,-0.002152,-8.009349,3.728008,4.281341,6.159761,0.0,-1.427052,1.427052,1.427052,,0.0,4.732709,-13.689953,0.711098,0.713126,-0.002028,,,12.978855,-8.957244,0.0,,,-8.957244,0.0,0.0,0.0,-8.957244,0.0,-8.957244,0.0,0.0,-8.957244,-0.501139,8.456105,14.0,-0.64,-0.64,-0.03754,14.0,-0.64,-0.64,-0.03754,
03/31/2012,14.986,16.351,-1.365,-8.43,3.673,4.757,6.556,0.0,-4.611,1.184,1.184,0.0,3.427,1.945,-0.468,0.88,0.881,-0.001,,,-0.412,1.477,0.0,,,1.477,0.0,0.0,0.0,1.477,,1.477,0.0,0.0,1.477,4.5918,3.1148,14.697496,0.09,0.09,0.312421,14.697496,0.09,0.09,0.301927,
06/30/2012,13.922,16.03,-2.108,-10.07,4.411,5.659,3.852,0.0,-1.653,1.653,1.653,0.0,0.0,2.199,11.425,1.172,1.173,-0.001,,0.054,-12.651,13.624,0.0,,,13.624,0.0,0.0,0.0,13.624,0.0,13.624,0.0,0.0,13.624,5.78175,-7.84225,14.697496,0.926961,0.926961,0.393383,14.697496,0.926961,0.926961,0.393383,
09/30/2012,15.918,16.814,-0.896,-11.078,4.942,6.136,4.84,0.0,-1.65,1.65,1.65,0.0,0.0,3.19,-2.738,1.129,1.13,-0.001,,,1.609,0.452,0.0,,,0.452,0.0,0.0,0.0,0.452,0.0,0.452,0.0,0.0,0.452,2.704,2.252,14.0,0.03,0.03,0.193143,14.0,0.03,0.03,0.190857,
12/31/2012,25.534921,26.606077,-1.071156,-18.269887,8.298617,9.97127,7.265034,0.0,-5.906949,5.906949,5.906949,,0.0,1.358085,1.647482,0.426294,0.426294,0.0,0.0,0.000346,-2.074126,3.005567,-54.903,,,-51.897433,0.0,0.0,0.0,-51.897433,0.0,-51.897433,0.0,0.0,-51.897433,-52.983693,-1.08626,34.626648,-1.5,-1.5,-1.535238,34.629689,-1.5,-1.5,-1.535238,
03/31/2013,27.366,28.909,-1.543,-17.776,7.038,10.738,9.59,0.0,-2.471,2.471,2.471,,0.0,7.119,1.439,0.485,0.485,0.0,0.0,,-1.924,8.558,-3.162,,,5.396,0.0,0.0,0.0,5.396,0.0,5.396,0.0,0.0,5.396,4.396,-1.0,37.059,0.15,0.15,0.118622,37.206,0.15,0.15,0.118622,
06/30/2013,44.538,45.394,-0.856,-23.39,8.575,14.815,21.148,0.0,-2.621,2.621,2.621,0.0,0.0,18.527,3.746,0.535,0.535,0.0,,0.0,-4.281,22.273,-7.802,,,14.471,0.0,0.0,0.0,14.471,0.0,14.471,0.0,0.0,14.471,11.971,-2.5,39.402282,0.37,0.37,0.303815,39.718574,0.36,0.36,0.297057,
09/30/2013,54.576,57.791,-3.215,-26.247,8.824,17.423,28.329,0.0,-2.121,2.121,2.121,0.0,0.0,26.208,-2.513,1.088,1.089,-0.001,,,1.425,23.695,-9.099,,,14.596,0.0,0.0,0.0,14.596,0.0,14.596,0.0,0.0,14.596,15.64,1.044,44.385107,0.33,0.33,0.35237,44.697609,0.33,0.33,0.35237,
12/31/2013,74.304,75.908,-1.604,-34.359,10.738,23.621,39.945,0.0,-3.823,3.823,3.823,,0.0,36.122,-4.307,5.95,5.95,0.0,,,-1.643,31.815,-11.691,,,20.124,0.0,0.0,0.0,20.124,0.0,20.124,0.0,0.0,20.124,19.104,-1.02,47.076306,0.43,0.43,0.405809,47.411602,0.42,0.42,0.398486,
03/31/2014,96.948,98.004,-1.056,-45.17,14.197,30.973,51.778,0.0,-4.771,4.557,4.557,,0.214,47.007,-9.817,6.505,6.505,0.0,0.0,,3.312,37.19,-13.601,,,23.589,0.0,0.0,0.0,23.589,0.0,23.589,0.0,0.0,23.589,22.367,-1.222,48.447,0.49,0.49,0.46168,48.867,0.48,0.48,0.454993,
06/30/2014,123.384,127.004,-3.62,-59.878,19.857,40.021,63.506,0.0,-3.934,3.934,3.934,0.0,0.0,59.572,-16.585,7.739,7.739,0.0,,,8.846,42.987,-15.163,,15.163,27.824,0.0,0.0,0.0,27.824,-0.071,27.753,0.0,0.0,27.753,35.9464,8.1224,50.777,0.55,0.55,0.706529,51.142,0.54,0.54,0.698821,
09/30/2014,137.596,139.127,-1.531,-69.116,23.746,45.37,68.48,0.0,-6.495,6.495,6.495,,0.0,61.985,6.634,9.846,9.846,0.0,,,-16.48,68.619,-23.978,3.982,19.996,44.641,0.0,0.0,0.0,44.641,-0.902,43.739,0.0,0.0,43.739,34.9442,-9.6968,55.152,0.79,0.79,0.617243,55.442,0.79,0.79,0.6151,
12/31/2014,148.22,131.583,16.637,-87.404,33.763,53.641,60.816,0.0,-6.28,6.28,6.28,,0.0,54.536,101.624,10.424,10.424,0.0,,,-112.048,156.16,-56.243,,,99.917,0.0,0.0,0.0,99.917,-1.243,98.674,0.0,0.0,98.674,28.583,-71.334,56.787,1.74,1.74,0.481448,57.045,1.73,1.73,0.479514,
03/31/2015,144.961,101.401,43.56,-91.728,32.051,59.677,53.233,0.0,-8.236,8.236,8.236,,0.0,44.997,-35.188,10.497,10.497,0.0,,,24.691,9.809,-3.37,0.945,2.425,6.439,0.0,0.0,0.0,6.439,-0.59,5.849,0.0,0.0,5.849,22.985,16.546,58.386,0.1,0.1,0.383568,58.626,0.1,0.1,0.38223,
06/30/2015,144.365,119.063,25.302,-87.048,29.952,57.096,57.317,0.0,-331.135,7.684,7.684,,323.451,-273.818,-54.266,10.274,10.274,0.0,,,43.992,-328.084,116.732,,,-211.352,0.0,0.0,0.0,-211.352,-0.935,-212.287,0.0,0.0,-212.287,25.176958,237.463958,61.469,-3.45,-3.45,0.409589,61.469,-3.45,-3.45,0.409589,
09/30/2015,147.45,111.946,35.504,-85.456,33.081,52.375,61.994,0.0,-281.263,7.526,7.526,,273.737,-219.269,-18.234,10.633,10.633,0.0,,,7.601,-237.503,81.461,,,-156.042,0.0,0.0,0.0,-156.042,-0.739,-156.781,0.0,0.0,-156.781,26.22455,183.00555,65.251,-2.4,-2.4,0.401903,65.251,-2.4,-2.4,0.401903,
12/31/2015,154.826,114.323,40.503,-76.004,27.455,48.549,78.822,0.0,-226.132,8.522,8.522,,217.61,-147.31,-46.012,10.106,10.106,0.0,,,35.906,-193.322,6.487,,,-186.835,0.0,0.0,0.0,-186.835,-0.574,-187.409,0.0,0.0,-187.409,8.319,195.728,66.85,-2.8,-2.8,0.124443,66.85,-2.8,-2.8,0.124443,
03/31/2016,92.598,87.481,5.117,-71.289,29.22,42.069,21.309,0.0,-43.795,12.979,12.979,,30.816,-22.486,-13.141,10.013,10.013,0.0,,,3.128,-35.627,0.0,0.0,0.0,-35.627,0.0,0.0,0.0,-35.627,2.715,-32.912,0.0,0.0,-32.912,1.595,34.507,71.026,-0.46,-0.46,0.022457,71.026,-0.46,-0.46,0.022457,
06/30/2016,111.95,112.483,-0.533,-69.393,29.522,39.871,42.557,0.0,-177.876,9.524,9.524,,168.352,-135.319,-21.434,10.019,10.019,0.0,,,11.415,-156.753,-0.368,,,-157.121,0.0,0.0,0.0,-157.121,1.631,-155.49,0.0,0.0,-155.49,18.905,174.395,71.719,-2.17,-2.17,0.263598,71.719,-2.17,-2.17,0.261643,
09/30/2016,141.74,142.131,-0.391,-79.162,34.416,44.746,62.578,0.0,-56.276,9.908,9.908,,46.368,6.302,-6.902,10.234,10.234,0.0,,,-3.332,-0.6,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,-0.6,-1.63,-2.23,0.0,0.0,-2.23,41.704,43.934,77.167,-0.03,-0.03,0.540438,77.167,-0.03,-0.03,0.539337,
12/31/2016,181.996,185.012,-3.016,-87.725,36.396,51.329,94.271,0.0,-10.208,10.208,10.208,,0.0,84.063,-55.799,10.418,10.418,0.0,,,45.381,28.264,0.176,,,28.44,0.0,0.0,0.0,28.44,-2.842,25.598,0.0,0.0,25.598,72.372,46.774,80.315,0.32,0.32,0.901102,80.51,0.32,0.32,0.900971,
