Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,135.953003,2.288,2.288,0.0,29.551001,,,43.881001,,,,,1.021,,,,76.740997,31.149,,,0.0,28.063,,,,28.063,59.212,,16.086,16.086,,,,0.0,,,,,,15.118999,,,15.118999,31.205,122.185997,,,,,1.711,,,,1.711,123.896997,155.101997,0.0,51.813999,,,-0.001,,-70.961997,-19.148998,0.0,-19.148998,135.952999,
06/30/1990,137.274994,2.778,2.778,0.0,31.407,,,42.768002,,,,,0.817,,,,77.769997,31.919001,,,0.0,27.586,,,,27.586,59.505001,,15.584,15.584,,,,0.0,,,,,,13.844,,,13.844,29.427999,118.500999,,,,,3.636,,,,3.636,122.136999,151.564999,0.0,51.813999,,,-0.001,,-66.102996,-14.289997,0.0,-14.289997,137.275002,
09/30/1990,136.848007,2.773,2.773,0.0,31.237,,,42.174,,,,,0.771,,,,76.955002,32.696999,,,0.0,27.195999,,,,27.195999,59.892998,,15.915,15.915,,,,0.0,,,,,,13.712001,,,13.712001,29.627001,113.515999,,,,,3.545,,,,3.545,117.060999,146.688,0.0,51.813999,,,-0.085,,-61.568999,-9.84,0.0,-9.84,136.848,
12/31/1990,134.356003,0.844,0.844,0.0,31.218,,,42.986,,,,,0.649,,,,75.696999,32.256001,129.496002,-97.239998,0.0,26.403,,,,26.403,58.659,,15.865,15.865,,,,0.0,,,,,,14.877001,,,14.877001,30.742001,103.862999,,,,,4.038,,,,4.038,107.900999,138.643,0.0,51.813999,,,-0.086,,-56.015002,-4.287003,0.0,-4.287003,134.355997,
03/31/1991,132.858994,2.211,2.211,0.0,29.677,,,42.636002,,,,,0.99,,,,75.514,31.351999,,,0.0,25.993,,,,25.993,57.344999,,15.194,15.194,,,,0.0,,,,,,15.763,,,15.763,30.957001,97.240997,,,,,4.936,,,,4.936,102.176997,133.133998,0.0,51.813999,,,-0.086,,-52.003001,-0.275002,0.0,-0.275002,132.858996,
06/30/1991,150.634003,2.579,2.579,0.0,30.611,,,45.208,,,,,0.94,,,,79.337997,36.973,,,0.0,34.323002,,,,34.323002,71.296001,,16.485001,16.485001,,,,0.0,,,,,,16.134998,,,16.134998,32.619999,106.325996,,,,,8.526,,,,8.526,114.851996,147.471995,0.0,51.813999,,,-0.086,,-48.566,3.161999,0.0,3.161999,150.633994,
09/30/1991,146.181,1.894,1.894,0.0,29.802999,,,43.449001,,,,,0.838,,,,75.984001,36.346001,,,0.0,33.851002,,,,33.851002,70.197002,,15.757,15.757,,,,0.0,,,,,,17.037998,,,17.037998,32.794998,73.177002,,,,,8.288,,,,8.288,81.465002,114.26,0.0,76.632004,,,-0.086,,-44.624999,31.921005,0.0,31.921005,146.181005,
12/31/1991,143.141998,1.486,1.486,0.0,29.893,,,42.389999,,,,,0.695,,,,74.463997,35.473,136.843994,-101.371002,0.0,33.205002,,,,33.205002,68.678001,,14.17,14.17,,,,0.0,,,,,,17.563,,,17.563,31.733,65.788002,,,,,8.509,,,,8.509,74.297002,106.030002,0.0,76.610001,,,-0.086,,-39.412001,37.112,0.0,37.112,143.142001,
03/31/1992,155.108994,3.135,3.135,0.0,31.891001,,,45.706001,,,,,1.169,,,,81.901001,38.139999,,,0.0,35.068001,,,,35.068001,73.208,,16.697001,16.697001,,,,0.0,,,,,,23.023001,,,23.023001,39.720001,68.841003,,,,,4.978,,,,4.978,73.819004,113.539005,0.0,76.610001,,,-0.086,,-34.954001,41.57,0.0,41.57,155.109004,
06/30/1992,234.774002,3.376,3.376,0.0,39.457001,,,59.665001,,,,,1.4,,,,103.898003,49.805,,,0.0,81.070999,,,,81.070999,130.875999,,18.254,18.254,,,,0.0,,,,,,27.212,,,27.212,45.466,134.412994,,,,,6.424,,,,6.424,140.836994,186.302994,0.0,78.204002,,,-0.086,,-29.647,48.471003,0.0,48.471003,234.773996,
