Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2000,1899,,-1097,,,802,,-731,,,,71,-17,,17.0,,0.0,0,54,-21,,,33,0.0,,,33,0.0,33,0.0,0.0,33,33.0,,,,,,,,,,
09/30/2000,2016,,-1193,,,823,,-864,,,,-41,-684,,17.0,,0.0,667,-725,182,,,-543,0.0,,,-543,0.0,-543,0.0,0.0,-543,-543.0,,279.100006,-1.95,-1.95,0.07,279.100006,-1.95,-1.95,0.07,
12/31/2000,1785,,-988,,,797,,-748,,,,49,-24,,10.0,,0.0,14,25,-9,,,16,0.0,,,16,0.0,16,-7.0,0.0,9,9.0,,282.0,0.03,0.03,0.16,282.0,0.03,0.03,0.16,
03/31/2001,1852,,-1033,,,819,,-709,,,,110,-205,,10.0,-8.0,0.0,203,-95,31,,,-64,0.0,,,-64,0.0,-64,-6.0,0.0,-70,-70.0,,283.0,-0.25,-0.25,0.25,283.0,-0.25,-0.25,0.25,
06/30/2001,1714,,-983,,,731,,-684,,,,47,-6,,10.0,-7.0,0.0,3,41,-17,,,24,0.0,,,24,0.0,24,-7.0,0.0,17,17.0,,285.0,0.06,0.06,0.21,286.0,0.06,0.06,0.21,
09/30/2001,1442,,-853,,,589,,-554,,,,35,-230,,7.0,,0.0,223,-195,-133,,,-328,0.0,,,-328,0.0,-328,-6.0,0.0,-334,-334.0,,286.0,-1.17,-1.17,0.04,287.0,-1.17,-1.17,0.04,
12/31/2001,1306,,-789,,,517,,-538,,,,-21,-9,,9.0,,0.0,0,-30,10,,,-20,0.0,,,-20,0.0,-20,-7.0,0.0,-27,-27.0,,287.0,-0.09,-0.09,-0.08,287.0,-0.09,-0.09,-0.08,
03/31/2002,1279,,-773,,,506,,-526,,,,-20,-84,,8.0,,0.0,76,-104,41,,,-63,0.0,,,-63,0.0,-63,-5.0,-125.0,-193,-193.0,,306.0,-0.63,-0.63,-0.05,306.0,-0.63,-0.63,-0.05,
06/30/2002,1219,,-738,,,481,,-492,,,,-11,-35,,16.0,5.0,0.0,14,-46,7,,,-39,0.0,,,-39,0.0,-39,0.0,0.0,-39,-39.0,,362.0,-0.11,-0.11,-0.1,362.0,-0.11,-0.11,-0.1,
09/30/2002,1152,,-710,,,442,,-448,,,,-6,-205,18.0,18.0,,0.0,187,-211,-323,,,-534,0.0,,,-534,0.0,-534,0.0,0.0,-534,-534.0,115.05,363.0,-1.47,-1.47,-1.15,363.0,-1.47,-1.47,-1.15,
12/31/2002,946,,-550,,,396,,-420,,,,-24,-16,,19.0,,0.0,-3,-40,-85,,,-125,-4.0,,,-121,0.0,-121,0.0,0.0,-121,-121.0,,366.0,-0.33,-0.34,-0.09,366.0,-0.33,-0.34,-0.09,
03/31/2003,950,,-532,,,418,,-405,,,,13,-73,,17.0,-4.0,0.0,60,-60,5,,,-55,-14.0,,,-41,0.0,-41,0.0,0.0,-41,-41.0,,375.0,-0.11,-0.15,-0.12,375.0,-0.11,-0.15,-0.12,
06/30/2003,929,,-525,,,404,,-400,,,,4,-3,,21.0,8.0,0.0,-26,1,-4,,,-3,-11.0,,,8,0.0,8,0.0,0.0,8,8.0,,382.0,0.02,-0.01,0.01,474.0,0.02,-0.01,0.01,
09/30/2003,971,,-550,,,421,,-351,,,,70,-14,,21.0,,0.0,-7,56,-1,,,55,-11.0,,,66,0.0,66,0.0,0.0,66,66.0,,391.0,0.17,0.14,0.04,428.0,0.15,0.13,0.03,
12/31/2003,971,,-523,,,448,,-396,,,,52,-15,18.0,21.0,-3.0,-3.0,0,37,-7,,,30,20.0,,,10,0.0,10,0.0,0.0,10,10.0,,421.0,0.02,0.07,0.07,459.0,0.02,0.07,0.07,
03/31/2004,1006,,-535,,,471,,-411,,,,60,-38,,19.0,,0.0,19,22,81,,,103,-22.0,,,125,0.0,125,0.0,0.0,125,125.0,,435.0,0.29,0.24,0.07,473.0,0.27,0.22,0.07,
06/30/2004,1016,,-528,,,488,,-396,,,,92,-25,,14.0,,0.0,11,67,-9,,,58,-3.0,,,61,0.0,61,0.0,0.0,61,61.0,,446.0,0.14,0.13,0.18,483.0,0.13,0.12,0.16,
09/30/2004,1076,,-538,,,538,,-419,,,,119,-3,,12.0,,0.0,-9,116,-16,,,100,0.0,,,100,0.0,100,0.0,0.0,100,100.0,,454.0,0.22,0.22,0.19,488.0,0.21,0.21,0.19,
12/31/2004,1148,,-605,,,543,,-455,,,,88,-48,4.0,10.0,-6.0,3.0,41,40,-7,,,33,2.0,,,31,0.0,31,0.0,0.0,31,31.0,,460.0,0.07,0.07,0.26,492.0,0.07,0.07,0.26,
03/31/2005,1222,,-659,,,563,,-511,,,,52,-5,-1.0,5.0,-6.0,1.0,5,47,-11,,,36,,,,36,,36,,,36,36.0,,480.0,0.08,0.08,0.14,493.0,0.07,0.07,0.13,
06/30/2005,1236,,-661,,,575,,-499,,,,76,1,-3.0,3.0,-6.0,-2.0,4,77,117,,,194,0.0,,,194,0.0,194,0.0,0.0,194,194.0,,478.0,0.41,0.41,0.14,487.0,0.4,0.4,0.14,
09/30/2005,1296,,-421,,,875,,-771,,,,104,-21,-5.0,1.0,-6.0,-3.0,29,83,577,,,660,0.0,,,660,0.0,660,0.0,0.0,660,660.0,,474.0,1.39,1.39,0.2,484.0,1.36,1.36,0.2,
12/31/2005,1249,,-660,,,589,,-482,,,,107,4,-4.0,1.0,-5.0,0.0,0,111,-40,,,71,0.0,,,71,0.0,71,0.0,0.0,71,71.0,,471.0,0.15,0.15,0.13,478.0,0.15,0.15,0.13,
