Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1998,8.682,,,,,,,0.0,-120.601997,0.0,0.0,0.0,-6.0,0.0,0.0,-126.601997,117.324997,-4.562,0.0,121.887,,,0.0,0.0,0.0,-0.595,
06/30/1998,1.898,,,,,,,0.0,-43.91,0.0,0.0,0.0,0.0,0.0,0.0,-43.91,42.556999,-4.562,0.0,13.905003,,,33.214001,0.0,0.0,0.545,
09/30/1998,5.44,,,,,,,0.0,-53.875,0.0,0.0,0.0,0.0,0.0,0.0,-53.875,47.672001,-5.022,0.0,52.246998,,,0.447,0.0,0.0,-0.763,
12/31/1998,10.123,,,,,,,0.0,-22.365999,0.0,0.0,0.0,0.0,0.0,0.0,-22.365999,12.55,-5.031,0.0,18.143001,,,,0.0,-0.562,0.307,
03/31/1999,14.003,5.3,,,,,,0.0,-12.862,0.0,0.0,0.0,0.0,0.0,0.0,-12.862,-1.245,-5.035,0.0,-22.666,-22.0,-0.666,29.876,-3.42,0.0,-0.104,
06/30/1999,6.675,5.817,,,,,,0.0,-14.323,0.0,0.0,0.0,0.0,0.0,0.0,-14.323,8.544,-5.44,0.0,-45.798,-46.0,0.202,37.148,-0.032,0.0,1.413,
09/30/1999,6.411,5.85,,,,,,0.0,-33.636,0.0,-2.567,0.0,0.0,0.0,0.0,-57.603,50.832,-5.896,-0.356,10.825,11.0,-0.175,0.468,-0.007,0.0,-0.36,
12/31/1999,14.689,5.09,,,,,,0.0,-19.882,0.0,0.0,0.0,-29.13,0.0,0.0,-25.045,11.299,-5.907,-0.916,18.035,,,0.087,0.0,0.0,0.943,
03/31/2000,6.05,5.737,5.61,0.0,0.598,-5.895,,0.0,-21.032,0.0,-4.252,0.0,0.0,0.0,0.0,-21.032,13.504,-5.921,-0.916,19.441,19.0,0.441,0.9,0.0,0.0,-1.478,
06/30/2000,8.135,6.341,5.667,0.0,0.606,-4.479,,0.0,-33.618,0.0,-7.708,0.0,0.0,0.0,0.0,-41.326,31.956,-5.932,-0.916,41.309,28.0,13.309,16.936,0.0,0.0,-1.235,
09/30/2000,15.397,6.53,7.0,0.0,0.84,1.027,,0.0,-46.461,0.0,-10.051,0.0,0.0,0.0,0.0,-56.512,41.157,-6.191,-0.916,51.31,48.0,3.31,38.263,0.0,0.0,0.042,
12/31/2000,11.057,7.401,,,,,,0.0,-17.825,0.0,-3.493,0.0,0.0,0.0,0.0,-21.318,12.262,-6.678,-0.807,20.716,,,0.133,0.0,0.0,2.001,
03/31/2001,17.467,7.306,6.734,0.0,0.861,2.566,,0.0,-36.673,0.0,-3.94,0.0,0.0,0.0,0.0,-36.673,22.226,-6.69,-0.916,29.201,28.0,1.201,0.631,0.0,0.0,3.02,
06/30/2001,1.849,7.324,7.463,0.0,0.846,-13.784,,0.0,-55.801,0.0,0.0,0.0,0.0,0.0,0.0,-55.801,51.822,-7.436,-0.916,70.223,43.0,27.223,19.152,0.0,-0.01,-2.13,
09/30/2001,13.603,7.451,8.191,0.0,0.857,-2.896,,0.0,-57.944,0.0,-6.902,0.0,0.0,0.0,0.0,-57.944,43.395,-7.477,-0.915,121.698,77.0,44.698,0.312,0.0,0.01,-0.946,
12/31/2001,27.421,8.196,8.19,0.0,1.209,9.826,,0.0,-32.248,0.0,-5.573,0.0,0.0,0.0,0.0,-41.761,13.995,-7.494,-0.92,42.827,26.0,16.827,1.856,0.0,0.0,-0.345,
03/31/2002,11.234,9.603,8.237,0.0,1.562,-8.168,,0.0,-25.343,0.0,0.0,0.0,0.0,0.0,0.0,-25.343,16.745,-7.524,-0.916,-47.806,,,72.991,0.0,0.0,2.636,
06/30/2002,15.726,10.22,8.557,0.0,1.68,-4.731,,0.0,-64.888,0.0,-8.898,0.0,0.0,0.0,0.0,-73.786,55.99,-8.421,-2.122,58.942,,,0.0,0.0,7.591,-2.07,
09/30/2002,11.636,10.755,8.582,0.0,2.183,-9.884,,0.0,-35.951,0.0,-3.133,0.0,0.0,0.0,0.0,-39.084,28.099,-8.482,-2.226,-36.892,,,136.828,0.0,-61.129,0.651,
12/31/2002,28.454,9.454,8.695,0.0,4.942,5.363,,0.0,-87.287,0.0,-14.371,0.0,0.0,0.0,0.0,-89.627,61.37,-9.485,-2.224,66.992,,,,-53.451,59.538,0.197,
03/31/2003,17.636,12.149,9.461,0.0,1.774,-5.748,,6.558,-59.704,0.0,-1.853,0.0,0.0,0.0,0.0,-54.999,37.247,-9.491,-2.225,48.243,16.0,32.243,0.72,0.0,0.0,-0.116,
06/30/2003,22.3,12.549,9.76,0.0,0.812,-0.821,,0.0,-23.446,0.0,-2.824,0.0,0.0,0.0,0.0,-26.27,4.294,-10.072,-2.225,15.492,16.0,-0.508,1.099,0.0,0.0,0.324,
