Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,5446.865234,1251.266998,57.444,1193.822998,1104.709961,,,521.786011,,,,,75.051003,,,,2952.813965,1654.64502,5619.26709,-3964.62207,167.266998,,672.138977,,,,,672.138977,2494.050995,,1115.767944,1115.767944,,,,301.464996,,,,,,634.374969,,,,634.374969,2051.60791,299.026001,,,,,136.992004,,,136.992004,436.018005,2487.625916,0.0,410.242004,,,-2346.048096,,4895.045166,2959.239075,0.0,2959.239075,5446.86499,
06/30/1990,5688.835938,1305.325985,63.216,1242.109985,1146.255981,,,548.403015,,,,,81.07,,,,3081.054932,1727.27002,5741.225098,-4013.955078,164.845001,,715.666016,,,,,715.666016,2607.781036,,1191.258057,1191.258057,,,,374.608002,,,,,,646.922028,,,,646.922028,2212.788086,287.700012,,,,,134.201996,,,134.201996,421.902008,2634.690094,0.0,410.065002,,,-2356.39502,,5000.476074,3054.146057,0.0,3054.146057,5688.836151,
09/30/1990,5886.955078,1342.453983,54.672001,1287.781982,1189.256958,,,556.330017,,,,,82.153999,,,,3170.195068,1774.119019,5856.486816,-4082.36792,208.606003,,734.034973,,,,,734.034973,2716.759995,,1194.385986,1194.385986,,,,407.596008,,,,,,662.945984,,,,662.945984,2264.927979,316.265015,,,,,134.509995,,,134.509995,450.775009,2715.702988,0.0,437.048004,,,-2371.570068,,5105.77417,3171.252106,0.0,3171.252106,5886.955093,
12/31/1990,6175.649902,1324.359059,47.851002,1276.508057,1259.126953,,,570.598022,,,,,92.450996,,,,3246.534912,1911.378906,6021.378906,-4110.0,217.276001,,800.460022,,,,,800.460022,2929.114929,,420.0,420.0,,,,465.48999,,,,,,1549.227051,,,,1549.227051,2434.717041,331.746002,,,,,154.371002,,,154.371002,486.117004,2920.834045,0.0,437.532013,,,-2393.176025,,5210.459961,3254.815949,0.0,3254.815949,6175.649994,
03/31/1991,6276.796875,1125.057056,49.351002,1075.706055,1303.480957,,,577.763977,,,,,109.598,,,,3115.899902,2164.76001,6305.844238,-4141.083984,200.261002,,795.875977,,,,,795.875977,3160.896988,,1290.162964,1290.162964,,,,523.596985,,,,,,628.125061,,,,628.125061,2441.88501,383.842987,,,,,188.369003,,,188.369003,572.21199,3014.097,0.0,437.028992,,,-2382.837891,,5208.508789,3262.69989,0.0,3262.69989,6276.79689,
06/30/1991,6397.411133,1177.495049,45.971001,1131.524048,1350.753052,,,577.090027,,,,,106.735001,,,,3212.072998,2192.947021,6348.019043,-4155.071777,185.416,,806.974976,,,,,806.974976,3185.337997,,1255.459961,1255.459961,,,,656.383972,,,,,,616.112122,,,,616.112122,2527.956055,329.938995,,,,,179.533997,,,179.533997,509.472992,3037.429047,0.0,436.636993,,,-2374.85791,,5298.202881,3359.981964,0.0,3359.981964,6397.411011,
09/30/1991,6503.196777,1230.005974,48.431999,1181.573975,1315.834961,,,610.559998,,,,,205.380997,,,,3361.781982,2247.818115,6474.797852,-4226.97998,63.610001,,829.987,,,,,829.987,3141.415115,,1294.95105,1294.95105,,,,521.182007,,,,,,590.941895,,,,590.941895,2407.074951,351.174011,,,,,189.276993,,,189.276993,540.451004,2947.525955,0.0,468.528992,,,-2358.114014,,5445.256104,3555.671082,0.0,3555.671082,6503.197037,
12/31/1991,6853.519043,1465.599995,38.98,1426.619995,1402.932983,,,596.643982,,,,,100.367996,,,,3565.544922,2364.772949,6661.772949,-4297.0,51.796001,,871.405029,,,,,871.405029,3287.973979,,406.0,406.0,,,,400.451996,,,,,,1665.448883,,,,1665.448883,2471.900879,341.197998,,,,,187.533997,,,187.533997,528.731995,3000.632874,0.0,468.273987,,,-2351.129883,,5735.741944,3852.886048,0.0,3852.886048,6853.518922,
03/31/1992,6745.700195,1368.667946,38.874001,1329.793945,1420.078003,,,585.927002,,,,,115.150002,,,,3489.822998,2366.158936,6675.025879,-4308.867188,51.179001,,838.539001,,,,,838.539001,3255.876938,,1367.185059,1367.185059,,,,354.687012,,,,,,611.708984,,,,611.708984,2333.581055,344.002991,,,,,178.070007,,,178.070007,522.072998,2855.654053,0.0,468.061005,,,-2344.843994,,5766.829102,3890.046112,0.0,3890.046112,6745.700165,
06/30/1992,7009.056152,1363.095028,39.439999,1323.655029,1478.000977,,,629.844971,,,,,115.130997,,,,3586.072021,2483.306885,6901.108887,-4417.801758,69.223999,,870.453003,,,,,870.453003,3422.983887,,1461.395996,1461.395996,,,,371.38501,,,,,,563.580078,,,,563.580078,2396.361084,364.552002,,,,,182.470001,,,182.470001,547.022003,2943.383087,0.0,481.190002,,,-2335.403076,,5919.885986,4065.672913,0.0,4065.672913,7009.056,
