Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2007,7682,93,93,0,689,689,,845,224.0,,585,-36,151,,,,1778,2506,2621,-115,,,3398,2607,1314,1293,,791,5904,,948.0,948.0,,,,48,,,,,,54,,,54,1050,2015,,,,,861,,,,861,2876,3926,0,3745,,,0,-64,31,3712,44,3756,7682,
06/30/2007,7762,135,135,0,793,793,,833,218.0,,578,-37,135,,,,1896,2519,2701,-182,,,3347,2572,1295,1277,,775,5866,,986.0,986.0,,,,27,,,,,,22,,,22,1035,2093,,,,,821,,,,821,2914,3949,0,3760,,,0,-35,50,3775,38,3813,7762,
09/30/2007,7508,450,450,0,624,624,,662,189.0,,435,38,174,,,,1910,2225,2460,-235,,,3373,2367,1173,1194,,1006,5598,,862.0,862.0,,,,29,,,,,,78,,,78,969,1827,,,,,749,,,,749,2576,3545,0,3768,,,0,77,80,3925,38,3963,7508,
12/31/2007,7872,135,135,0,721,721,,821,207.0,,578,-36,175,,,,1852,2772,3067,-295,,,3248,2384,1174,1210,,864,6020,,569.0,569.0,,,,57,,,,,,620,,,620,1246,1993,,,,,608,,,,608,2601,3847,0,3784,,,0,31,173,3988,37,4025,7872,
03/31/2008,8033,118,118,0,796,796,0.0,883,223.0,0.0,625,-35,211,,,,2008,2777,3191,-414,0.0,,3248,2381,1173,1208,,867,6025,,1079.0,1079.0,,,,45,,,,,,0,,,0,1202,2138,,,,,621,,,,621,2759,3961,0,3795,,,0,16,225,4036,36,4072,8033,
06/30/2008,8018,121,121,0,957,957,0.0,823,234.0,0.0,565,0,178,,,,2079,2804,3267,-463,0.0,,3135,2385,1175,1210,,750,5939,,1184.0,1184.0,,,,51,,,,,,11,,,11,1246,2049,,,,,625,,,,625,2674,3920,0,3808,,,-25,47,224,4054,44,4098,8018,
09/30/2008,7340,76,76,0,957,957,,810,255.0,0.0,544,0,155,,,,1998,2782,3216,-434,0.0,,2560,2328,1124,1204,,232,5342,,1294.0,1294.0,,,,45,,,,,,37,,,37,1376,2045,,,,,780,,,,780,2825,4201,0,3817,,,-66,-763,109,3097,42,3139,7340,
12/31/2008,7222,236,236,0,576,576,,899,,0.0,656,243,146,,,,1857,2819,3368,-549,,0.0,2546,2314,1124,1190,,232,5365,,584.0,584.0,,,,46,42.0,4.0,4.0,,,545,,,545,1175,2172,2129.0,43.0,43.0,,1095,,,,1095,3267,4442,0,3825,,,-101,-803,-183,2738,42,2780,7222,
03/31/2009,7105,90,90,0,673,673,0.0,928,242.0,0.0,686,0,137,1.0,11.0,126.0,1828,2750,3354,-604,0.0,,2527,2308,1124,1184,36.0,182,5277,,928.0,,,29.0,899.0,32,18.0,,,,14.0,3,,28.0,3,963,2366,2366.0,,,,1073,,566.0,390.0,89,3439,4402,0,3833,1.0,3832.0,-101,-831,-238,2663,40,2703,7105,
06/30/2009,7065,110,110,0,684,684,0.0,827,213.0,0.0,614,0,135,1.0,,135.0,1756,2781,3458,-677,0.0,,2528,2305,1124,1181,28.0,194,5309,,886.0,,,10.0,876.0,20,9.0,,,,11.0,0,,19.0,0,906,2249,2249.0,,,,1128,,571.0,406.0,132,3377,4283,0,3821,1.0,3820.0,-101,-798,-172,2750,32,2782,7065,
