Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Zakat Expenses,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,200.985001,,,-96.732002,,104.252998,,-50.012001,,,,,54.241001,-6.682,,8.758,,0.0,,-2.076,47.559001,-18.586,,28.973,0.0,,,28.973,0.0,28.973,-0.259,,28.714,28.714,,158.063995,0.18125,0.18125,,158.063995,0.18125,0.18125,0.18125,
06/30/1990,101.811996,,,-42.778,,59.033997,,-45.376999,,,,,13.657,-6.574,,8.053,,0.0,,-1.479,7.082999,-2.453,,4.63,0.0,,,4.629999,0.0,4.63,-0.258,,4.372,4.372,,156.623993,0.02875,0.02875,,156.623993,0.02875,0.02875,0.02875,
09/30/1990,72.669998,,,-23.849001,,48.820997,,-42.226002,,,,,6.595,-4.865,,8.931,,0.0,,-4.066,1.73,-0.075,,1.655,0.0,,,1.655,0.0,1.655,-0.258,,1.397,1.397,,154.240005,0.005,0.005,,154.240005,0.005,0.005,0.005,
12/31/1990,160.858994,,,-73.5,,87.358994,,-45.895,,,,,41.464001,-7.113,,9.85,,0.0,,-2.737,34.351,-12.089,,22.261999,0.0,,,22.262001,0.0,22.261999,-0.233,,22.028999,22.028999,,154.240005,0.145,0.145,,154.240005,0.145,0.145,0.145,
03/31/1991,236.281006,,,-122.882004,,113.399002,,-52.019001,,,,,61.380001,-7.874,,9.097,,0.0,,-1.223,53.506001,-20.455999,,33.049999,0.0,,,33.050002,0.0,33.049999,-0.232,,32.817999,32.817999,,154.175995,0.2125,0.2125,,154.175995,0.2125,0.2125,0.2125,
06/30/1991,133.024994,,,-64.890999,,68.133995,,-48.286999,,,,,19.847,-6.092,,8.508,,0.0,,-2.416,13.755,-4.919,,8.836,0.0,,,8.835999,0.0,8.836,-0.233,,8.603,8.603,,154.464005,0.055,0.055,,154.464005,0.055,0.055,0.055,
09/30/1991,90.064003,,,-37.088001,,52.976002,,-44.391998,,,,,8.584,-6.953,,8.971,,0.0,,-2.018,1.631,0.156,,1.787,0.0,,,1.787,0.0,1.787,-0.232,,1.555,1.555,,154.723999,0.01,0.01,,154.723999,0.01,0.01,0.01,
12/31/1991,172.972,,,-90.834,,82.138,,-42.251999,,,,,39.886002,-7.446,,9.527,,0.0,,-2.081,32.440001,-12.08,,20.360001,0.0,,,20.360001,0.0,20.360001,-0.207,,20.153001,20.153001,,154.723999,0.13,0.13,,154.723999,0.13,0.13,0.13,
03/31/1992,225.815994,,,-120.57,,105.245995,,-49.609001,,,,,55.637001,-6.541,,8.72,,0.0,,-2.179,49.096001,-18.941999,,30.153999,-9.303,,,39.457002,0.0,39.457001,-0.2,,39.257001,39.257001,,157.227997,0.2475,0.1875,,157.227997,0.2475,0.1875,0.1875,
06/30/1992,109.598,,,-43.546001,,66.051998,,-49.852001,,,,,16.200001,-6.91,,8.375,,0.0,,-1.465,9.290001,-3.273,,6.017,0.0,,,6.017001,0.0,6.017,-0.2,,5.817,5.817,,157.643997,0.0375,0.0375,,157.643997,0.0375,0.0375,0.0375,
09/30/1992,87.217003,,,-31.212,,56.005003,,-42.036999,,,,,13.968,-7.352,,8.601,,0.0,,-1.249,6.616001,0.241,,6.857,0.633,,,6.224001,0.0,6.224,-0.2,,6.024,6.024,,158.192001,0.0375,0.0425,,158.192001,0.0375,0.0425,0.0425,
12/31/1992,168.714996,,,-79.242996,,89.472,,-37.741001,,,,,51.730999,-8.29,,10.072,,0.0,,-1.782,43.440999,21.974001,34.672001,30.743,1.804,,,63.611,0.0,28.938999,-0.2,,28.738999,28.738999,,158.192001,0.1825,0.195,,158.192001,0.1825,0.195,0.195,
