Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/1990,24.0,59.799999,56.900002,-5.9,,,-5.9,-86.800003,,,-86.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,151.5,99.800003,60.799999,-7.9,,,-7.9,-1.2,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,152.600006,92.699997,57.200001,-18.0,,,-18.0,20.700001,,,20.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,199.100006,109.099998,63.599998,-10.9,,,-10.9,37.299999,,,37.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.100006,
03/31/1991,20.700001,64.699997,64.099998,6.5,,,6.5,-114.599998,,,-114.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,116.0,109.099998,63.599998,26.1,,,26.1,-82.800003,,,-82.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,178.800003,98.800003,64.599998,6.0,,,6.0,9.4,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,238.800003,120.599998,65.699997,10.9,,,10.9,41.599998,,,41.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.800003,
03/31/1992,86.300003,-524.0,69.0,640.799988,,,640.799988,-99.5,,,-99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,208.0,109.099998,69.199997,-9.2,,,-9.2,38.900002,,,38.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,165.899994,89.900002,69.400002,56.900002,,,56.900002,-50.299999,,,-50.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,199.0,96.300003,81.5,40.099998,,,40.099998,-18.9,,,-18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,
03/31/1993,18.200001,63.099998,80.400002,38.700001,,,38.700001,-164.0,,,-164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,136.699997,102.900002,81.5,20.6,,,20.6,-68.300003,,,-68.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
