Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,34715,692,692,0.0,4383,,,4910.0,,,,,1359,,,,,,,11344,18876,40812,-21936,293.0,4202,,,,,4202.0,23371,,1920.0,1920.0,,,,4230,,,,,,3198.0,,,3198.0,9348,4149.0,,,,,5297,,,,,,,5297,9446.0,18794.0,237.0,4810.0,,,,,10751,15798.0,123.0,15921.0,34715.0,
03/31/1990,36966,1416,1416,,5717,,,5284.0,,,,,471,,,,,,,12888,19475,42027,-22552,,4603,,,,,4603.0,24078,,2978.0,2978.0,,,,5640,,,,,,2743.0,,,2743.0,11361,4221.0,,,,,5378,,,,,,,5378,9599.0,20960.0,237.0,4791.0,,,,,10835,15863.0,143.0,16006.0,36966.0,
06/30/1990,37808,1510,1510,,5577,,,5413.0,,,,,519,,,,,,,13019,20134,43041,-22907,,4655,,,,,4655.0,24789,,2703.0,2703.0,,,,5438,,,,,,2553.0,,,2553.0,10694,5273.0,,,,,5524,,,,,,,5524,10797.0,21491.0,237.0,4776.0,,,,,11158,16171.0,146.0,16317.0,37808.0,
09/30/1990,39103,1619,1619,,6080,,,5351.0,,,,,687,,,,,,,13737,20640,44037,-23397,,4726,,,,,4726.0,25366,,3082.0,3082.0,,,,5306,,,,,,3107.0,,,3107.0,11495,5403.0,,,,,5756,,,,,,,5756,11159.0,22654.0,237.0,4753.0,,,,,11315,16305.0,144.0,16449.0,39103.0,
12/31/1990,38128,611,611,0.0,5163,,,4893.0,,,,,1566,,,,,,,12233,21102,44819,-23717,310.0,4483,,,,,4483.0,25895,,2065.0,2065.0,,,,4385,,,,,,3573.0,,,3573.0,10023,5663.0,,,,,5889,,,,,,,5889,11552.0,21575.0,237.0,4744.0,,,,,11437,16418.0,135.0,16553.0,38128.0,
03/31/1991,39521,1519,1519,,5984,,,5086.0,,,,,510,,,,,,,13099,21290,45339,-24049,,5132,,,,,5132.0,26422,,2769.0,2769.0,,,,5133,,,,,,2866.0,,,2866.0,10768,6053.0,,,,,5816,,,,,,,5816,11869.0,22637.0,237.0,4782.0,,,,,11722,16741.0,143.0,16884.0,39521.0,
06/30/1991,39484,1470,1470,,5650,,,4909.0,,,,,662,,,,,,,12691,21874,46315,-24441,,4919,,,,,4919.0,26793,,2524.0,2524.0,,,,4755,,,,,,2793.0,,,2793.0,10072,6512.0,,,,,5728,,,,,,,5728,12240.0,22312.0,237.0,4800.0,,,,,11986,17023.0,149.0,17172.0,39484.0,
09/30/1991,40142,2003,2003,,5540,,,4844.0,,,,,557,,,,,,,12944,22234,47071,-24837,,4964,,,,,4964.0,27198,,2512.0,2512.0,,,,4657,,,,,,3045.0,,,3045.0,10214,6716.0,,,,,5812,,,,,,,5812,12528.0,22742.0,237.0,4807.0,,,,,12206,17250.0,150.0,17400.0,40142.0,
12/31/1991,36117,468,468,0.0,4359,,,4428.0,,,,,1619,,,,,,,10874,20610,44191,-23581,337.0,4296,,,,,4296.0,25243,,1855.0,1855.0,,,,2212,,,,,,3426.0,,,3426.0,7493,6456.0,,,,,5264,,,,,,,5264,11720.0,19213.0,237.0,4821.0,,,,,11681,16739.0,165.0,16904.0,36117.0,
03/31/1992,38440,1906,1906,,5672,,,4740.0,,,,,445,,,,,,,12763,20849,44795,-23946,,4828,,,,,4828.0,25677,,2504.0,2504.0,,,,4098,,,,,,2981.0,,,2981.0,9583,6588.0,,,,,5115,,,,,,,5115,11703.0,21286.0,237.0,4866.0,,,,,11878,16981.0,173.0,17154.0,38440.0,
