Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Accounts & Notes Receivable,Net Fixed Assets,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Reserve for Outstanding Claim & Loss,Premium Reserve (Unearned),Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2000,,39299.699219,15810.400391,9074.099609,11451.5,1365.300049,545.0,1053.400024,1856.400024,2676.699951,,2255.399902,38920.601562,85008.796875,,309.600006,448.200012,35548.300781,27787.0,64093.101562,425.899994,0.0,542.900024,14653.299805,79715.201385,0,93.5,0,5033.200195,166.899994,5293.600189,85008.801575,
06/30/2000,,39627.300781,14929.299805,9378.200195,11495.700195,1465.800049,543.0,1815.300049,2601.199951,2632.100098,,2367.100098,39174.199219,86401.898438,,284.700012,529.799988,36428.800781,27826.5,65069.800781,291.600006,0.0,533.0,15052.900391,80947.301178,0,93.5,0,5079.600098,281.5,5454.600098,86401.901276,
09/30/2000,,39778.398438,15893.0,9378.299805,11620.0,1226.300049,538.700012,1122.099976,2037.099976,2703.199951,,2446.399902,39739.898438,86705.0,,257.799988,636.599976,36810.300781,28059.0,65763.703125,459.100006,0.0,543.0,14251.200195,81017.003326,0,93.5,0,5090.200195,504.299988,5688.000183,86705.00351,
12/31/2000,,48941.601562,18628.900391,12869.200195,14158.5,1372.300049,519.0,1393.699951,3280.0,2995.399902,,3517.0,28660.900391,87394.898438,,310.100006,671.299988,50184.5,26995.400391,78161.296875,245.300003,0.0,534.0,2605.300049,81545.896927,0,93.5,0,4997.799805,757.700012,5848.999817,87394.896744,
03/31/2001,,51599.601562,33354.199219,12938.0,2085.899902,1356.300049,528.599976,1336.599976,2223.899902,3027.300049,,3443.899902,25753.599609,86048.296875,,251.5,689.200012,50997.398438,23411.599609,75349.703125,265.600006,0.0,534.099976,3730.100098,79879.503204,0,93.5,0,5093.600098,981.700012,6168.80011,86048.303314,
06/30/2001,,45483.898438,30954.599609,9296.299805,1909.800049,1299.400024,501.5,1522.300049,1017.400024,2946.0,567.099976,2650.100098,35869.898438,88534.398438,,225.300003,733.900024,40934.300781,24000.099609,65893.601562,114.800003,127.800003,740.599976,15522.700195,82399.50174,0,95.900002,0,5097.600098,941.400024,6134.900124,88534.401863,
09/30/2001,,46733.0,32727.199219,9293.200195,1855.800049,1123.800049,481.700012,1251.300049,1164.099976,2740.399902,585.099976,2665.100098,34111.699219,87999.398438,,234.5,726.400024,42078.199219,21890.5,64929.601562,451.0,137.899994,715.799988,15550.099609,81784.401153,0,95.900002,0,5099.299805,1019.799988,6214.999795,87999.400948,
12/31/2001,,57681.101562,39330.300781,13001.400391,1930.0,1190.900024,442.399994,1786.099976,1313.699951,2945.199951,,3717.399902,25486.800781,91144.203125,,262.700012,809.299988,55701.5,23296.599609,80070.101562,81.0,0.0,1359.099976,3646.699951,85156.901489,0,122.300003,0,4430.299805,1434.699951,5987.299759,91144.201248,
03/31/2002,,58630.699219,40104.5,13071.099609,1879.5,1258.699951,420.5,1896.400024,1252.400024,2863.199951,581.700012,3914.600098,25377.599609,92620.203125,,227.199997,863.0,57265.398438,23394.199219,81749.796875,62.599998,0.0,1356.699951,3533.899902,86702.996727,0,122.300003,0,5112.600098,682.299988,5917.200089,92620.196815,
06/30/2002,,61687.0,42864.699219,13346.900391,1862.599976,1070.800049,390.600006,2151.399902,841.799988,3033.600098,,3964.899902,24015.199219,93542.5,,221.300003,911.299988,59419.898438,21868.599609,82421.101562,49.099998,0.0,1359.800049,3622.899902,87452.901512,0,122.300003,0,5117.600098,849.700012,6089.600113,93542.501625,
09/30/2002,,63484.601562,44345.300781,13753.299805,1812.5,946.5,356.200012,2270.800049,1067.900024,3180.399902,,3877.699951,22524.800781,94135.398438,,203.399994,863.200012,60566.0,20213.699219,81846.296875,243.600006,0.0,1342.400024,4501.799805,87934.09671,0,122.300003,0,5122.600098,956.400024,6201.300125,94135.396835,
12/31/2002,,65937.5,46077.398438,13902.900391,1732.199951,968.599976,318.600006,2937.800049,1190.599976,2780.199951,,3996.300049,23959.5,97864.101562,,205.600006,895.799988,62711.398438,21413.0,85225.796875,348.899994,0.0,1740.5,4175.100098,91490.296967,0,162.699997,0,5131.100098,1080.0,6373.800095,97864.097061,
03/31/2003,,68662.203125,48854.699219,14154.299805,1653.699951,1004.5,328.799988,2666.199951,2319.699951,2657.5,,4083.600098,23823.599609,101546.601562,,218.5,966.900024,64498.699219,21185.800781,86869.898438,347.399994,0.0,1967.800049,5405.700195,94590.798676,0,160.5,0,5144.799805,1650.5,6955.799805,101546.59848,
06/30/2003,,73542.398438,52918.898438,14544.400391,1583.599976,1128.400024,279.100006,3088.0,1197.599976,3346.600098,,3971.300049,25735.699219,107793.601562,,222.100006,990.799988,66545.0,23163.800781,90921.703125,241.5,0.0,2202.399902,6257.100098,99622.703125,0,160.5,0,5150.600098,2859.800049,8170.900146,107793.603271,
09/30/2003,,73562.601562,52814.898438,14642.700195,1561.0,1171.199951,263.799988,3109.0,1590.0,3384.5,,4172.299805,26159.5,108868.898438,,238.300003,1038.400024,67395.203125,22673.400391,91345.296875,316.100006,0.0,2542.600098,6547.700195,100751.697174,0,0.0,0,5156.799805,2960.399902,8117.199707,108868.896881,
12/31/2003,,73053.101562,52050.800781,15053.900391,1498.599976,1243.5,195.0,3011.300049,3121.600098,3125.100098,,4301.0,27699.699219,111300.5,,346.200012,1140.400024,68938.296875,24121.900391,94546.796875,485.299988,0.0,1410.0,6642.700195,103084.797058,0,0.0,0,5177.200195,3038.5,8215.700195,111300.497253,
03/31/2004,,76223.398438,55093.300781,14948.299805,1456.699951,1245.400024,191.399994,3288.300049,2744.5,3339.5,,4327.200195,27698.5,114333.101562,,283.5,438.200012,70552.398438,23793.699219,95067.796875,235.800003,0.0,1416.699951,8337.299805,105057.596634,0,160.399994,0,5349.299805,3765.800049,9275.499847,114333.096481,
06/30/2004,,73923.203125,53002.398438,16134.200195,0.0,1185.0,220.800003,3380.800049,1614.099976,3474.800049,,81.699997,36259.300781,115353.101562,,283.899994,26.5,73910.203125,25513.0,99733.601562,341.0,0.0,1664.300049,3290.600098,105029.501709,0,160.399994,0,10156.799805,6.4,10323.599799,115353.101508,
09/30/2004,,75347.601562,54129.601562,16427.5,0.0,1054.800049,353.799988,3381.899902,1497.599976,3487.699951,,194.399994,35579.699219,116107.0,,282.399994,43.5,73659.898438,25263.599609,99249.398438,439.5,0.0,1746.099976,3468.0,104902.998413,0,160.399994,0,10156.799805,886.799988,11203.999786,116106.998199,
