Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
02/28/1990,845.979004,2.038,2.038,0.0,44.044998,,,293.18399,,,,,0.0,,,,339.266998,80.624001,,,49.574001,,,376.514008,,,,,376.514008,506.712009,,45.012001,45.012001,,,,0.0,,,,,12.723,,,12.723,57.735001,419.678986,,,,,106.221001,,,,,106.221001,525.899986,583.634987,0.0,71.561996,,,0.0,,190.781998,262.343994,0.0,262.343994,845.978981,
05/31/1990,831.0,1.707,1.707,0.0,40.542999,,,292.537994,,,,,0.0,,,,334.787994,81.086998,,,48.830002,,,366.295013,,,,,366.295013,496.212013,,48.278999,48.278999,,,,0.0,,,,,11.112,,,11.112,59.390999,405.475006,,,,,100.731003,,,,,100.731003,506.206009,565.597008,0.0,71.462997,,,0.0,,193.940002,265.403,0.0,265.403,831.000008,
08/31/1990,830.549011,1.351,1.351,0.0,39.022999,,,289.80899,,,,,0.0,,,,330.183014,80.249001,,,49.596001,,,370.520996,,,,,370.520996,500.365997,,51.191002,51.191002,,,,0.0,,,,,10.654999,,,10.654999,61.846001,399.562988,,,,,101.792,,,,,101.792,501.354988,563.200989,0.0,70.723,,,0.0,,196.625,267.348,0.0,267.348,830.548988,
11/30/1990,835.211975,1.492,1.492,0.0,39.842999,,,274.614014,,,,,0.0,,,,315.949005,79.931999,101.442001,-21.51,50.122002,,,389.209015,,,,,389.209015,519.263016,,54.144001,54.144001,,,,0.0,,,,,8.833,,,8.833,62.977001,387.869995,,,,,114.660004,,,,,114.660004,502.529999,565.507,0.0,70.25,,,0.0,,199.455002,269.705002,0.0,269.705002,835.212002,
02/28/1991,809.070984,1.511,1.511,0.0,40.43,,,269.977997,,,,,0.0,,,,311.919006,79.420998,,,50.368,,,367.363007,,,,,367.363007,497.152004,,47.931999,47.931999,,,,0.0,,,,,8.712002,,,8.712002,56.644001,383.565002,,,,,94.790001,,,,,94.790001,478.355003,534.999004,0.0,70.011002,,,0.0,,204.061005,274.072006,0.0,274.072006,809.071011,
05/31/1991,812.403992,1.723,1.723,0.0,39.999001,,,266.080994,,,,,0.0,,,,307.803009,79.099998,,,50.544998,,,374.955994,,,,,374.955994,504.60099,,49.784,49.784,,,,0.0,,,,,8.341999,,,8.341999,58.125999,369.199005,,,,,105.301003,,,,,105.301003,474.500008,532.626007,0.0,71.269997,,,0.0,,208.507996,279.777992,0.0,279.777992,812.403999,
08/31/1991,846.947998,1.812,1.812,0.0,18.565001,,,268.726013,,,,,0.0,,,,289.102997,101.762001,,,48.75,,,407.333008,,,,,407.333008,557.845009,,49.174,49.174,,,,0.0,,,,,9.088001,,,9.088001,58.262001,372.239014,,,,,131.524994,,,,,131.524994,503.764008,562.026009,0.0,71.745003,,,0.0,,213.177002,284.922005,0.0,284.922005,846.948013,
11/30/1991,862.27301,3.299,3.299,0.0,25.229,,,261.179993,,,,,0.0,,,,289.708008,100.352997,122.820999,-22.468,48.104,,,424.108002,,,,,424.108002,572.564999,,55.568001,55.568001,,,,0.0,,,,,9.708999,,,9.708999,65.277,356.013,,,,,149.746002,,,,,149.746002,505.759002,571.036002,0.0,72.906998,,,0.0,,218.330002,291.237,0.0,291.237,862.273002,
02/29/1992,884.401978,7.578,7.578,0.0,19.965,,,276.678009,,,,,0.0,,,,304.221008,98.459999,,,47.833,,,433.888,,,,,433.888,580.181,,47.494999,47.494999,,,,0.0,,,,,12.232002,,,12.232002,59.727001,373.566986,,,,,151.649994,,,,,151.649994,525.21698,584.943981,0.0,73.621002,,,0.0,,225.837006,299.458008,0.0,299.458008,884.401989,
05/31/1992,903.942017,4.407,4.407,0.0,26.229,,,293.856995,,,,,0.0,,,,324.493011,106.816002,,,48.236,,,424.397003,,,,,424.397003,579.449005,,54.261002,54.261002,,,,0.0,,,,,10.275002,,,10.275002,64.536003,362.539001,,,,,170.139999,,,,,170.139999,532.679001,597.215004,0.0,73.846001,,,0.0,,232.880997,306.726997,0.0,306.726997,903.942001,
