Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/27/2008,425.811,20.695,446.506,65.403,65.403,67.992904,3.304549,71.297452,12.747619,0.619552,13.36717,
03/28/2009,475.277,6.353,481.63,54.38,54.38,77.654692,1.038006,78.692698,15.378719,0.205566,15.584285,
01/02/2010,316.555,12.096,328.651,33.447,33.447,54.100683,2.067261,56.167944,10.396981,0.397283,10.794264,
04/03/2010,222.927,2.546,225.473,31.846,31.846,36.880478,0.421204,37.301682,7.22914,0.082562,7.311702,
07/03/2010,76.752,1.795,78.547,36.789,36.789,12.294995,0.287543,12.582539,2.353733,0.055047,2.40878,
10/02/2010,99.901,8.292,108.193,50.813,50.813,15.099886,1.253323,16.35321,3.025656,0.251136,3.276792,
01/01/2011,56.085,3.26,59.345,36.096,36.096,8.01212,0.465713,8.477833,1.734709,0.100832,1.83554,
04/02/2011,60.627,2.647,63.274,,34.498,8.291484,0.36201,8.653494,1.858157,0.081128,1.939285,
07/02/2011,23.075,1.559,24.634,42.888,42.888,3.079541,0.208061,3.287602,0.695737,0.047006,0.742742,
10/01/2011,52.555,33.2,85.755,41.753,41.753,6.820745,4.308795,11.12954,1.566948,0.989871,2.556818,
12/31/2011,12.666,31.897,44.563,30.886,30.886,1.61433,4.065394,5.679724,0.391032,0.984742,1.375774,
03/31/2012,13.397,26.511,39.908,29.308,29.308,1.69004,3.34438,5.03442,0.442035,0.874732,1.316767,
06/30/2012,8.704,34.342,43.046,27.183,27.183,1.080233,4.262105,5.342339,0.286984,1.132308,1.419292,
09/29/2012,,,45.62,26.214,,,,4.73344,,,1.440123,
12/29/2012,1.893,39.997,41.89,25.051,25.051,0.19192,4.055068,4.246988,0.061474,1.298877,1.360351,
03/30/2013,,,42.625,18.27,18.27,,,4.201552,,,1.437689,
06/29/2013,,,42.053,16.318,16.318,,,4.046748,,,1.411626,
09/28/2013,,,58.65,11.403,,,,5.373024,,,1.957709,
12/28/2013,7.227,21.304,28.531,8.451,8.451,0.661066,1.948712,2.609777,0.238499,0.703056,0.941555,
03/29/2014,7.111,18.362,25.473,4.412,4.412,0.644394,1.663953,2.308347,0.235447,0.607971,0.843418,
06/28/2014,35.005,23.645,58.65,11.403,11.403,3.091932,2.088523,5.180455,1.063948,0.71867,1.782618,
09/27/2014,,,18.14,3.012,,,,1.454977,,,0.547525,
