Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2001,2689,20,20,0,560,560,,,818,372,296,199,0,193,,,,,1591,483,1096.0,-613.0,0,,615,426,303,123,,189,1098,,185,185,,,,302.0,302.0,0.0,0.0,,596,,,,596,1083,0,0.0,0.0,0.0,446,,,446,446,1529,0,1190,,,0,,-30,1160,0,1160,2689,
09/30/2001,2637,60,60,0,637,628,,,727,331,281,165,0,213,,,,,1637,439,1039.0,-600.0,0,,561,285,184,101,,276,1000,,227,227,,,,202.0,202.0,0.0,0.0,,715,,,,715,1144,0,0.0,0.0,0.0,383,,,383,383,1527,0,1203,,,0,-65.0,-28,1110,0,1110,2637,
12/31/2001,2555,53,53,0,517,517,,,770,352,266,193,-41,223,,,,,1563,426,1029.0,-603.0,0,,566,292,214,78,,274,992,,191,191,,,,175.0,175.0,0.0,0.0,,678,,,,678,1044,0,0.0,0.0,0.0,370,,,370,370,1414,0,1204,,,0,-34.0,-29,1141,0,1141,2555,
03/31/2002,2557,49,49,0,523,523,,,737,350,250,187,0,208,,,,,1517,417,1028.0,-611.0,0,,623,299,225,74,,324,1040,,197,197,,,,178.0,178.0,0.0,0.0,,656,,,,656,1031,0,0.0,0.0,0.0,363,,,363,363,1394,0,1206,,,-20,7.0,-30,1163,0,1163,2557,
06/30/2002,2493,44,44,0,510,510,,,685,324,236,184,0,204,,,,,1443,413,1032.0,-619.0,0,,637,302,223,79,,335,1050,,198,198,,,,80.0,80.0,0.0,0.0,,641,,,,641,919,0,0.0,0.0,0.0,355,,,355,355,1274,0,1210,,,-4,38.0,-25,1219,0,1219,2493,
09/30/2002,2555,49,49,0,519,519,,,653,333,211,168,-59,212,,,,,1433,411,1036.0,-625.0,0,,711,456,332,124,,255,1122,,211,211,,,,132.0,132.0,0.0,0.0,,695,,,,695,1038,0,0.0,0.0,0.0,530,,,530,530,1568,0,1210,,,-62,91.0,-252,987,0,987,2555,
12/31/2002,2538,36,36,0,497,497,,,685,316,242,172,0,219,,,,,1437,398,1036.0,-638.0,0,,703,453,330,123,,250,1101,,162,162,,,,158.0,158.0,0.0,0.0,,692,,,,692,1012,0,0.0,0.0,0.0,527,,,527,527,1539,0,1210,,,-82,121.0,-250,999,0,999,2538,
03/31/2003,2503,41,41,0,462,462,,,680,321,244,170,0,228,,,,,1411,398,1046.0,-648.0,0,,694,449,330,119,,245,1092,,172,172,,,,136.0,136.0,0.0,0.0,,671,,,,671,979,0,0.0,0.0,0.0,528,,,528,528,1507,0,1212,,,-124,159.0,-251,996,0,996,2503,
06/30/2003,2520,58,58,0,489,489,,,676,320,257,163,0,258,,,,,1481,396,1064.0,-668.0,0,,643,446,330,116,,197,1039,,150,150,,,,114.0,114.0,0.0,0.0,,665,,,,665,929,0,0.0,0.0,0.0,503,,,503,503,1432,0,1213,,,-100,217.0,-242,1088,0,1088,2520,
09/30/2003,2591,66,66,0,525,525,,,618,322,215,155,-74,218,,,,,1427,401,1064.0,-663.0,0,,763,440,330,110,,323,1164,,198,198,,,,42.0,42.0,0.0,0.0,,661,,,,661,901,0,0.0,0.0,0.0,857,,,857,857,1758,0,1215,,,-139,273.0,-516,833,0,833,2591,
12/31/2003,2708,62,62,0,477,477,,,673,331,236,148,0,219,,,,,1431,400,1084.0,-684.0,0,,877,573,429,144,,304,1277,,177,177,,,,66.0,,,,,642,,,,642,885,198,,,,726,,,726,924,1809,0,1217,,,-129,321.0,-510,899,0,899,2708,
03/31/2004,2796,67,67,0,560,560,,,674,344,228,148,0,221,,,,,1522,397,1094.0,-697.0,0,,877,569,429,140,,308,1274,,193,193,,,,66.0,,,,,680,,,,680,939,205,,,,725,,,725,930,1869,0,1221,,,-159,375.0,-510,927,0,927,2796,
06/30/2004,2813,57,57,0,600,600,,,688,341,254,134,-41,219,,,,,1564,395,1103.0,-708.0,0,,854,567,434,133,,287,1249,,186,186,,,,0.0,0.0,0.0,0.0,,759,,,,759,945,196,196.0,0.0,0.0,734,,,734,930,1875,0,1224,,,-187,412.0,-511,938,0,938,2813,
09/30/2004,2874,196,196,0,616,616,,,650,322,243,141,-56,201,,,,,1663,418,1129.0,-711.0,0,,793,550,419,131,,243,1211,,240,240,,,,0.0,0.0,0.0,0.0,,724,,,,724,964,201,201.0,0.0,0.0,576,,,576,777,1741,0,1230,,,-192,492.0,-397,1133,0,1133,2874,
12/31/2004,2885,192,192,0,630,630,,,635,316,257,136,-74,215,,,,,1672,415,1144.0,-729.0,0,,798,548,419,129,,250,1213,,189,189,,,,0.0,,,,,679,,,,679,868,201,,,,579,,,579,780,1648,0,1237,,,-167,553.0,-386,1237,0,1237,2885,
03/31/2005,3102,256,256,0,662,662,,,693,334,283,154,-78,216,,,,,1827,440,1178.0,-738.0,0,,835,593,454,139,,242,1275,,234,234,,,,0.0,,,,,761,,,,761,995,199,,,,606,,,606,805,1800,0,1255,,,-177,615.0,-391,1302,0,1302,3102,
06/30/2005,3026,220,220,0,676,676,,,690,320,313,160,-103,201,,,,,1787,445,1171.0,-726.0,0,,794,593,459,134,,201,1239,,251,251,,,,0.0,0.0,0.0,0.0,,814,,,,814,1065,202,202.0,0.0,0.0,500,,,500,702,1767,0,1261,,,-272,667.0,-397,1259,0,1259,3026,
09/30/2005,3148,145,145,0,736,736,,,678,319,272,162,-75,221,,,,,1780,473,1214.0,-741.0,0,,895,571,458,113,,324,1368,,283,283,,,,0.0,0.0,0.0,0.0,,901,,,,901,1184,200,200.0,0.0,0.0,825,,,825,1025,2209,0,1265,,,-493,771.0,-604,939,0,939,3148,
12/31/2005,3105,133,133,0,690,690,,,687,331,279,144,-67,227,,,,,1737,474,1230.0,-756.0,0,,894,567,457,110,,327,1368,,223,223,,,,0.0,,,,,832,,,,832,1055,199,,,,834,,,834,1033,2088,0,1270,,,-493,846.0,-606,1017,0,1017,3105,
03/31/2006,3233,152,152,0,749,749,,,707,330,286,150,-59,239,,,,,1847,495,1267.0,-772.0,0,,891,566,458,108,,325,1386,,265,265,,,,0.0,,,,,815,,,,815,1080,196,,,,838,,,838,1034,2114,0,1292,,,-481,910.0,-602,1119,0,1119,3233,
06/30/2006,3370,121,121,0,789,789,,,742,336,312,158,-64,264,,,,,1916,527,1319.0,-792.0,0,,927,614,481,133,,313,1454,,252,252,,,,0.0,0.0,0.0,0.0,,945,,,,945,1197,241,241.0,0.0,0.0,806,,,806,1047,2244,0,1302,,,-577,997.0,-596,1126,0,1126,3370,
09/30/2006,3278,144,144,0,821,821,,,727,329,318,172,-92,235,,,,,1927,552,1347.0,-795.0,0,,799,654,517,137,,145,1351,,324,324,,,,0.0,0.0,0.0,0.0,,1000,,,,1000,1324,245,245.0,0.0,0.0,503,,,503,748,2072,0,1307,,,-813,1105.0,-393,1206,0,1206,3278,
12/31/2006,3389,207,207,0,780,780,,,788,348,350,154,-64,240,,,,,2015,554,1361.0,-807.0,0,,820,642,518,124,,178,1374,,299,299,,,,0.0,,,,,972,,,,972,1271,236,,,,578,,,578,814,2085,0,1318,,,-781,1202.0,-435,1304,0,1304,3389,
03/31/2007,3451,167,167,0,867,867,,,778,358,356,164,-100,235,,,,,2047,563,1383.0,-820.0,0,,841,639,516,123,,202,1404,,328,328,,,,,,,,,958,,,,958,1286,226,,,,572,,,572,798,2084,0,1333,,,-834,1302.0,-434,1367,0,1367,3451,
06/30/2007,3545,135,135,0,885,885,,,867,375,395,162,-65,235,,,,,2122,569,1405.0,-836.0,0,,854,641,517,124,,213,1423,,344,344,,,,0.0,,,,,1064,,,,1064,1408,219,,,,495,,,495,714,2122,0,1347,,,-900,1407.0,-431,1423,0,1423,3545,
