Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
06/30/1991,13.674999,-4.889,8.785999,,-10.012,-1.226,,0.0,-3.588,-4.814,0.056,-4.758,0.0,0.0,-4.758,0.0,,-4.758,,,-4.758,,-0.105,-0.105,46.279999,-0.105,-0.105,-0.105,46.279999,
09/30/1991,13.598,-5.145,8.453,,-11.069,-2.616,,0.0,-4.118,-6.734,3.209,-3.525,0.0,0.0,-3.525,0.0,,-3.525,,,-3.525,,-0.075,-0.075,46.462002,-0.075,-0.075,-0.075,46.462002,
12/31/1991,12.539999,-4.387,8.152999,,-10.182,-2.029,,0.0,-3.665,-5.694,2.587,-3.107,0.0,0.0,-3.107,0.0,,-3.107,,,-3.107,,-0.07,-0.07,43.014,-0.07,-0.07,-0.07,43.014,
03/31/1992,12.716,-4.544,8.171999,,-10.11,-1.938,,0.0,0.243,-1.695,-2.586,-4.281,-12.765,0.0,-17.046009,0.0,,-17.046009,,,-4.281,,-0.04,-0.275,50.0,-0.04,-0.04,-0.275,50.0,
03/31/1993,13.164,-5.038,8.125999,,-11.948,-3.822,-0.302,0.0,1.158,-2.966,-0.052,-3.018,0.0,0.0,-3.018,0.0,,-3.018,,,-3.018,,-0.025,-0.025,119.800003,-0.025,-0.025,-0.025,119.800003,
06/30/1993,12.772,-4.863,7.909,,-13.201,-5.292,-0.064,0.0,0.541,-4.815,-0.087,-4.902,0.0,0.0,-4.902,0.0,,-4.902,,,-4.902,,-0.04,-0.04,126.639999,-0.04,-0.04,-0.04,126.639999,
09/30/1993,17.032,-6.942,10.09,,-21.889,-11.799,-3.51,0.0,1.944,-13.365,-0.423,-13.788,0.0,0.0,-13.788,0.0,,-13.788,,,-13.788,,-0.085,-0.085,158.600006,-0.085,-0.085,-0.085,158.600006,
12/31/1993,19.097,-8.003,11.094,,-27.004999,-15.911,-8.934,0.0,2.281,-22.564,8.166,-14.398,0.0,0.0,-14.398,0.0,,-14.398,,,-14.398,,-0.08,-0.08,174.714005,-0.08,-0.08,-0.08,174.714005,
03/31/1994,19.027,-8.858,10.169001,,-37.41,-27.240999,-16.143999,0.0,5.788,-37.596998,13.781,-23.816,0.0,0.0,-23.816,0.0,,-23.816,,,-23.815998,,-0.135,-0.135,174.195999,-0.135,-0.135,-0.135,174.195999,
06/30/1994,21.457001,-10.479,10.978001,,-49.695999,-38.717999,-24.379999,0.0,9.578,-53.519998,19.945,-33.575001,0.0,0.0,-33.575001,0.0,,-33.575001,,,-33.574998,,-0.175,-0.175,191.664001,-0.175,-0.175,-0.175,191.664001,
09/30/1994,29.625,-21.458,8.167,,-58.396999,-50.23,-24.076,0.0,9.717,-64.589,23.344,-41.244999,0.0,0.0,-41.244999,0.0,,-41.244999,,,-41.245,,-0.205,-0.205,201.591995,-0.205,-0.205,-0.205,201.591995,
12/31/1994,32.595001,-27.636,4.959001,,-71.783997,-66.824997,-21.035,0.0,10.775,-77.084997,28.056,-49.028999,0.0,0.0,-49.028999,0.0,,-49.028999,,,-49.028997,-0.24,-0.24,-0.24,200.117996,-0.24,-0.24,-0.24,200.117996,
03/31/1995,29.500999,-22.687,6.813999,,-76.954002,-70.139999,-20.959999,0.0,6.557,-84.542998,31.344,-53.199001,0.0,0.0,-53.199001,0.0,,-53.199001,,,-53.198998,,-0.25,-0.25,211.309998,-0.25,-0.25,-0.25,211.309998,
06/30/1995,42.855999,-36.244999,6.611,,-79.834,-73.223,-22.396999,0.0,4.953,-90.666999,33.685001,-56.981998,0.0,0.0,-56.981998,0.0,,-56.981998,,,-56.981997,-0.265,-0.265,-0.265,214.742004,-0.265,-0.265,-0.265,214.742004,
09/30/1995,65.343002,-61.865002,3.478001,,-136.917999,-133.440002,-28.202999,0.0,8.134,-153.509002,51.375,-102.134003,0.0,0.0,-102.134003,0.0,,-102.134003,,,-102.134002,-0.305,-0.305,-0.305,333.761993,-0.305,-0.305,-0.305,333.761993,
12/31/1995,79.886002,-79.473999,0.412003,,-158.369003,-157.957001,,0.0,-45.091,-203.048001,84.197998,-118.849998,0.0,0.0,-118.849998,0.0,,-118.849998,,,-118.850003,-0.335,-0.335,-0.335,353.731994,-0.335,-0.335,-0.335,353.731994,
03/31/1996,68.318001,-59.838001,8.48,,-155.423996,-146.944,-49.419998,0.0,6.624,-189.739998,71.022003,-118.718002,0.0,0.0,-118.718002,0.0,,-118.718002,,,-118.717995,-0.28,-0.28,-0.28,427.306,-0.28,-0.28,-0.28,427.306,
06/30/1996,77.619003,-56.894001,20.725002,,-181.145004,-160.419998,-57.320999,0.0,6.585,-211.155997,81.127998,-130.028,0.0,0.0,-130.028,0.0,,-130.028,,,-130.027999,-0.29,-0.29,-0.29,449.56601,-0.29,-0.29,-0.29,449.56601,
09/30/1996,91.040001,-60.824001,30.216,,-189.854004,-159.638,-58.783001,0.0,4.744,-213.677001,64.793999,-148.882996,0.0,0.0,-148.882996,0.0,,-148.882996,,,-148.883003,-0.33,-0.33,-0.33,450.734009,-0.33,-0.33,-0.33,450.734009,
12/31/1996,95.960999,-70.161003,25.799996,,-204.664001,-178.863998,-61.971001,0.0,-7.804,-248.638999,90.248001,-158.391006,0.0,0.0,-158.391006,0.0,,-158.391006,,,-158.390998,-0.35,-0.35,-0.35,454.37799,-0.35,-0.35,-0.35,454.37799,
03/31/1997,110.676003,-58.160999,52.515003,,-242.578995,-190.063995,-75.266998,0.0,5.045,-260.285994,39.436001,-220.850006,0.0,0.0,-220.850006,0.0,,-220.850006,,,-220.849993,-0.465,-0.465,-0.465,474.992004,-0.465,-0.465,-0.465,474.992004,
06/30/1997,145.938004,-64.492996,81.445007,,-296.480011,-215.035004,-97.189003,0.0,4.107,-308.117007,46.493999,-261.622986,0.0,0.0,-261.622986,0.0,,-261.622986,,,-261.623007,-0.54,-0.54,-0.54,483.661987,-0.54,-0.54,-0.54,483.661987,
09/30/1997,207.223999,-72.422997,134.801003,,-390.809998,-256.009003,-107.445,0.0,17.848,-345.606003,39.472,-306.134003,0.0,0.0,-306.134003,-12.822,,-318.956002,,,-318.956002,-0.63,-0.63,-0.63,506.966003,-0.63,-0.63,-0.63,506.966003,
12/31/1997,275.05899,-89.472,185.58699,,-462.299011,-276.712006,-127.903999,0.0,9.284,-395.332005,-384.127991,-779.460022,-45.786999,0.0,-825.247009,-16.297001,,-841.54401,,,-795.756996,-1.505,-1.505,-1.589996,529.231995,-1.505,-1.505,-1.59,529.231995,
03/31/1998,327.134003,-102.428001,224.706001,,-514.234009,-289.528015,-145.380005,0.0,14.406,-420.50202,33.639999,-386.862,0.0,0.0,-386.862,-28.087999,,-414.949999,,,-414.95002,-0.765,-0.765,-0.765,540.77002,-0.765,-0.765,-0.765,540.77002,
06/30/1998,421.412994,-122.753998,298.658997,,-565.11499,-266.455994,-151.753006,0.0,10.27,-407.938999,49.203999,-358.734985,-133.225006,0.0,-491.959991,-39.381001,,-531.340992,,,-398.116001,-0.725,-0.725,-0.97,547.038025,-0.725,-0.725,-0.97,547.038025,
09/30/1998,506.597992,-140.570999,366.026993,,-610.070984,-244.044006,-170.723999,0.0,-31.813,-446.581005,44.658001,-401.923004,0.0,0.0,-401.923004,-40.097,,-442.020004,,,-442.020004,-0.78,-0.78,-0.78,565.382019,-0.78,-0.78,-0.78,565.382019,
12/31/1998,591.612976,-150.639999,440.972977,,-693.202026,-252.229004,-188.223007,0.0,4.699,-435.753011,64.410004,-371.342987,0.0,0.0,-371.342987,-41.595001,,-412.937988,,,-412.938009,-0.715,-0.715,-0.715,575.640015,-0.715,-0.715,-0.715,575.640015,
03/31/1999,663.804993,-162.320007,501.484985,,-694.10498,-192.619995,-198.059006,0.0,-58.599998,-449.278999,9.839,-439.440002,0.0,0.0,-439.440002,-46.034,,-485.474003,,,-485.474,-0.83,-0.83,-0.83,583.25,-0.83,-0.83,-0.83,583.25,
