Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,880.411011,9.058,9.058,0.0,106.480003,,,,181.104004,,,,,19.316,,,,,,315.958008,107.640999,124.058998,-16.417999,0.0,456.812012,387.615997,,,,69.196014,564.453011,,48.604,48.604,,,,5.7,,,,,,169.024995,,,169.024995,223.328995,459.630005,,,,,77.763,,,,,77.763,537.393005,760.722,0.0,113.771004,,,0.0,,5.918,119.689004,0.0,119.689004,880.411004,
06/30/1998,953.275,100.464,100.464,0.0,,,,,266.34,,266.34,,,17.692,,,,,,384.496,101.407,122.838,-21.431,0.0,467.372,393.738,,,,73.634,568.779,,39.903,39.903,,,,0.0,,,,,,167.6,,,167.6,207.503,405.0,,,,,56.644,,,,,56.644,461.644,669.147,0.0,0.274,,,0.0,20.528,263.326,284.128,0.0,284.128,953.275,
09/30/1998,1196.265991,5.687,5.687,0.0,161.923996,,,,183.888,,,,,24.905001,,,,,,376.403992,117.183998,143.125,-25.941,0.0,702.677979,608.380005,,,,94.297974,819.861977,,55.326,55.326,,,,0.0,,,,,,180.063007,,,180.063007,235.389008,560.0,,,,,106.099998,,,,,106.099998,666.099998,901.489006,0.0,272.43399,,,0.0,,22.343,294.776991,0.0,294.776991,1196.265997,
12/31/1998,1285.395996,26.129999,26.129999,0.0,177.164993,,,,173.884003,,173.884003,,,28.188,,,,,,405.367004,123.154999,155.712006,-32.556999,0.0,756.874023,669.362,,,,87.512024,880.029022,,81.825996,81.825996,,,,0.0,,,,,,165.708,,,165.708,247.533997,605.0,,,,,132.888,,,,,132.888,737.888,985.421997,0.0,264.769012,,,0.0,,35.205002,299.974014,0.0,299.974014,1285.396011,
03/31/1999,1507.868042,125.530998,125.530998,0.0,129.789993,,,,269.34201,,399.131989,,,30.323999,,,,,,554.987,126.022003,164.645996,-38.624001,0.0,826.859009,730.463989,,,,96.39502,952.881012,,67.732002,67.732002,,,,0.0,,,,,,193.583,,,193.583,261.315002,605.0,,,,,133.087997,,,,,133.087997,738.087997,999.403,0.0,469.218994,,,0.0,52.055,-12.809002,508.464993,0.0,508.464993,1507.867992,
06/30/1999,1554.249023,46.757,46.757,0.0,169.125,,,,295.996002,,,,,20.792999,,,,,,532.671021,137.802994,182.813004,-45.009998,0.0,883.775024,769.354004,,,,114.421021,1021.578018,,75.709999,75.709999,,,,0.0,,,,,,217.325005,,,217.325005,293.035004,605.0,,,,,135.311996,,,,,135.311996,740.311996,1033.347,0.0,471.266998,,,0.0,,49.634998,520.901997,0.0,520.901997,1554.248997,
09/30/1999,1599.392944,70.792999,70.792999,0.0,174.744003,,,,306.459991,,306.459991,,,30.058001,,,,,,582.054993,131.438995,182.688004,-51.249001,0.0,885.898987,786.822998,,,,99.075989,1017.337982,,85.748001,85.748001,,,,0.0,,,,,,224.853989,,,224.853989,310.60199,605.0,,,,,136.880005,,,,,136.880005,741.880005,1052.481995,0.0,479.955994,,,0.0,,66.955002,546.910995,0.0,546.910995,1599.39299,
12/31/1999,1633.770996,42.787998,42.787998,0.0,258.053986,,,,226.119003,,226.119003,,,40.745998,,,,,,567.70697,140.970993,191.408997,-50.438,0.0,925.093018,821.552002,,,,103.541016,1066.064011,,98.693001,98.693001,,,,0.0,,,,,,219.612999,,,219.612999,318.306,605.0,,,,,127.290001,,,,,127.290001,732.290001,1050.596001,0.0,483.694,,,0.0,,99.481003,583.175003,0.0,583.175003,1633.771004,
03/31/2000,1912.02002,27.381001,27.381001,0.0,263.238007,,,,314.213013,,314.213013,,,70.306,,,,,,675.138,159.130005,217.968002,-58.838001,0.0,1077.751953,972.664978,972.664978,0.0,,105.086975,1236.881958,,112.024002,112.024002,,,,0.0,,,,,,291.659012,,,291.659012,403.683014,785.0,,,,,124.862999,,,,,124.862999,909.862999,1313.546013,0.0,489.161011,,,0.0,114.473999,-5.160995,598.474014,0.0,598.474014,1912.020027,
06/30/2000,2261.112,45.247,45.247,0.0,307.704,,,,332.577,,332.577,,,69.092,,,,,,754.62,159.156,222.288,-63.132,0.0,1347.336,1245.832,1245.832,0.0,,101.504,1506.492,,123.519,123.519,,,,237.0,,,,,,315.428,,,315.428,675.947,839.0,,,,,122.303,,,,,122.303,961.303,1637.25,0.0,500.1,,,0.0,130.933,-7.171,623.862,0.0,623.862,2261.112,
