Date,Cash From Operating Activities,Net Income,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/24/1990,,11.193,25.969999,,,,,,,,,,,,,,,,,
06/16/1990,,11.995,18.184,,,,,,,,,,,,,,,,,
09/08/1990,,12.079,31.087999,,,,,,,,,,,,,,,,,
12/29/1990,,19.931,36.792,,,,,,,,,,,,,,,,,
03/23/1991,,11.436,21.400999,,,,,,,,,,,,,,,,,
06/15/1991,,13.012,25.362,,,,,,,,,,,,,,,,,
09/07/1991,,12.079,26.546,,,,,,,,,,,,,,,,,
12/28/1991,,15.024,27.604,,,,,,,,,,,,,,,,,
03/21/1992,,12.395,42.036999,,,,,,,,,,,,,,,,,
06/13/1992,,14.459,24.650999,,,,,,,,,,,,,,,,,
09/05/1992,,6.173,31.774,,,,,,,,,,,,,,,,,
01/02/1993,,12.61,50.945,,,,,,,,,,,,,,,,,
03/27/1993,,8.635,14.84,,,,,,,,,,,,,,,,,
06/19/1993,,10.487,37.101002,,,,,,,,,,,,,,,,,
09/11/1993,,5.809,31.847,,,,,,,,,,,,,,,,,
01/01/1994,,-126.277,52.429001,,,,,,,,,,,,,,,,,
03/26/1994,,9.705,16.723,,,,,,,,,,,,,,,,,
06/18/1994,,11.468,-65.695999,,,,,,,,,,,,,,,,,
09/10/1994,,12.212,141.171997,,,,,,,,,,,,,,,,,
12/31/1994,,16.709,33.707001,,,,,,,,,,,,,,,,,
03/25/1995,,12.071,26.49,,,-19.983999,,,,,,,,,,,,,,
06/17/1995,,12.131,14.76,,,-17.879,,,,,,,,,,,,,,
09/09/1995,,11.126,43.748001,,,-15.347,,,,,,,,,,,,,,
12/31/1995,,17.975,39.944,,,-24.899,,,,,,,,,,,,,,
03/23/1996,,13.077,23.548,,,-11.336,,,,,,,,,,,,,,
06/15/1996,,13.604,32.546001,,,-15.645,,,,,,,,,,,,,,
09/07/1996,,14.004,14.89,,,-14.244,,,,,,,,,,,,,,
12/28/1996,,20.424,44.960999,,,3.555,,,,,,,,,,,,,,
03/22/1997,,11.838,18.639999,-20.247999,0.0,-11.849,0.0,0.0,-8.399,9.585,0.0,0.0,9.387,,0.0,0.0,0.198,7.977,,
06/14/1997,,13.341,45.176998,-19.254999,0.0,-11.423,0.0,0.0,-7.832,-29.736,-5.278,0.0,0.0,-24.443001,0.0,0.0,-0.015,-3.814,,
09/06/1997,,15.118,36.055,-18.381001,0.0,-12.333,0.0,0.0,-6.048,-19.212,-5.266,0.0,0.0,-15.818,0.0,0.0,1.872,-1.538,,
01/03/1998,,22.872999,64.141998,-38.567001,0.0,0.0,0.0,0.0,-38.567001,-27.646,-10.533,0.0,0.0,,16.940001,0.0,-2.243,-2.071,,
