Date,Revenue,Rental Income,Recoveries from Tenants,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Impairment of Assets,Income from Uncon JVs,Disposal of Con Assets,Disposal of Uncon Assets,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/2007,164.505,158.58,,,0.0,0.0,0.0,5.925,-115.404,,,,29.854,40.454,0.0,45.096,49.101,-14.447,,,14.447,34.654,0.0,,,21.73,-2.87,-2.87,0.0,37.524,-8.095,25.682,-3.952,,21.73,18.93865,0.07865,92.265002,0.24,0.21,0.205264,95.098711,0.23,0.2,0.200827,,40.454,-1.177,0.571,,3.562,-0.172,,,56.873,,56.873,,,,,,,56.873,0.570003,0.570003,0.5,87.718909,87.718909,81.114942,
06/30/2007,167.401,158.883,,,0.0,0.0,0.0,8.518,-114.417,,,,30.26,40.173,0.0,43.984,52.984,78.772,33.151,,-111.923,131.756,0.0,0.0,0.0,111.39,-2.407,-2.407,0.0,134.163,-1.969,118.269,-3.952,,111.39,40.43985,-68.54315,98.937407,1.13,1.101535,0.408742,101.361013,1.1,1.076253,0.400025,,40.173,-1.401,1.314,,4.057,-75.09,,,78.474,,78.474,,,,,,,78.474,0.741674,0.741674,0.5,67.415019,67.415019,63.038336,
09/30/2007,165.369,157.805,,,0.0,0.0,0.0,7.564,-119.642,,,,35.145,40.628,0.0,43.869,45.727,30.353,,,-30.353,76.08,0.0,0.0,0.0,69.155,-7.047,-7.047,0.0,83.127,-7.008,73.11,-3.952,,69.155,62.108,0.0,98.722381,0.7,0.629118,0.629118,100.91434,0.69,0.620168,0.620168,,40.628,-1.387,0.354,,6.403,-3.91,,,104.235,,104.235,,,,,,,104.235,0.991677,0.991677,0.5,50.419661,50.419661,47.355678,
12/31/2007,163.928,154.228,,,0.0,0.0,0.0,9.7,-162.627,,,,34.251,38.548,0.0,89.828,44.329,5.157,,,-5.157,49.486,0.0,0.0,0.0,93.249,-64.406,-64.406,0.0,113.892,-5.443,97.199,-3.95,,93.249,50.32615,21.48315,98.834206,0.943489,0.291832,0.509198,101.859756,0.915465,0.283164,0.494073,,38.556,-1.658,1.676,,5.902,-6.372,,,125.91,,125.91,,,,,,,125.91,1.188035,1.188035,0.5,42.086286,42.086286,39.247957,
03/31/2008,176.486,166.563,,,0.0,0.0,0.0,9.923,-123.123,,,,35.153,41.669,0.0,46.301,53.363,14.223,,,-14.223,67.586,0.0,,,38.98,-1.442,-1.442,0.0,69.028,4.265,42.932,-3.952,,38.98,24.55945,-12.97855,97.750901,0.4,0.39,0.251245,99.789253,0.39,0.38,0.24994,,41.669,-1.634,0.004,,5.934,-21.368,,,67.85,,67.85,,,,,,,67.85,0.653872,0.653872,0.52,79.526282,79.526282,74.915945,
06/30/2008,209.299,167.886,,,0.0,0.0,0.0,41.413,-124.549,,,,33.794,40.841,0.0,49.914,84.75,1.815,36.555,,-38.37,86.565,0.0,0.0,0.0,73.067,-1.1,-1.1,0.0,87.665,-7.392,77.019,-3.952,,73.067,48.26735,-23.69965,97.083044,0.75,0.741293,0.497176,99.432356,0.73,0.718937,0.480588,,40.793,-2.155,0.099,,6.217,-0.801,,,109.828,,109.828,,,,,,,109.828,1.06212,1.06212,0.52,48.958696,48.958696,45.965676,
09/30/2008,162.495,152.993,,,0.0,0.0,0.0,9.502,-124.781,,,,34.415,46.985,0.0,43.381,37.714,-3.15,,,3.15,34.564,0.0,0.0,0.0,24.199,-0.165,-0.165,0.0,34.729,-3.663,28.151,-3.952,,24.199,24.034,0.0,97.149079,0.25,0.247393,0.247393,98.952245,0.24,0.238333,0.238333,,47.031,-1.997,-0.042,,6.217,0.011,,,71.756,,71.756,,,,,,,71.756,0.697186,0.697186,0.52,74.585587,74.585587,70.401808,
12/31/2008,164.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-197.964,,,-197.964,-197.964,,97.584,-2.07,-2.07,0.15,97.584,-2.07,-2.07,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2009,163.419,151.724,,,0.0,0.0,0.0,11.695,-298.312,49.388,19.342,30.046,31.313,42.125,0.0,175.486,-134.893,-6.616,32.799,0.034,-26.217,-141.509,0.0,0.0,0.0,-122.35,-18.485,-18.485,0.0,-123.024,-9.77,-118.398,-3.952,,-122.608,34.794,175.887,98.915587,-1.24,-1.42,0.351754,98.915587,-1.24,-1.42,0.351754,,42.101,-2.137,1.358,,7.558,-18.946,,,-102.186,181.853,79.667,,,,,,,79.667,0.778359,0.778359,0.28,35.973139,35.973139,,
06/30/2009,148.572,140.777,,,0.0,0.0,0.0,7.795,-115.47,42.953,19.71,23.243,25.641,38.523,0.0,8.353,33.102,-16.617,27.772,-4.284,-6.871,16.485,0.0,0.0,0.0,17.162,-12.549,-12.549,0.0,29.034,-0.923,21.374,-3.952,,17.162,9.094,4.481,145.318364,0.12,0.031744,0.06258,145.379807,0.12,0.031744,0.062567,,38.523,-1.953,0.793,,7.502,-10.09,,-0.086,,4.481,,,,,,,,,,,0.28,,,,
