Date,Cash From Operating Activities,Net Income,Depreciation Expense,Amortization - Nuclear Fuel,AFC - Debts & Equity,Deferred Income Taxes,Investment Tax Credits,Other Non-Cash Adjustments,Changes In Restricted Bond Proceeds,Accts Receivable & Unbilled Revenue,Changes in Fossil Fuel,Change In Inventories,Prepayments & Others,Accounts Payable & Accruals,Accrued Taxes,Change in Other Working Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Additions to Utility Plant Less AFC,Changes in Decommissioning Funds,Non-Utility Cap Expenditure,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1990,135.783997,68.249001,45.186001,0.0,-1.233,-9.938,,26.252001,0.0,-16.500999,,-25.284,0.0,17.899,31.153999,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
06/30/1990,10.267,43.709,45.195999,0.0,-1.963,1.777,,-21.107,0.0,21.652,,2.388,0.0,-43.332001,-38.053001,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
09/30/1990,113.408997,46.345001,45.195999,0.0,-2.2,2.353,,-4.774,0.0,3.454,,-0.672,0.0,20.073999,3.633,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
12/31/1990,91.107002,51.604,45.313,0.0,-1.797,-0.746,,-3.731,0.0,-3.517,,-5.702,0.0,-3.08,12.763,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
03/31/1991,131.850006,64.626999,47.43,0.0,-1.595,1.803,,25.471001,0.0,-24.459,,-2.48,0.0,-1.228,22.281,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
06/30/1991,50.595001,45.751999,47.689999,0.0,-1.839,6.974,,-3.218,0.0,8.226,,14.584,0.0,-17.440001,-50.133999,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
09/30/1991,140.537994,52.087002,47.449001,0.0,-2.211,1.753,,-9.653,0.0,14.509,,5.207,0.0,17.197001,14.2,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
12/31/1991,-20.58,50.109001,47.146,0.0,-2.287,1.106,,-4.604,-115.785004,-19.917,,-5.586,0.0,19.77,9.468,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
03/31/1992,118.440002,71.936996,49.404999,0.0,-3.359,-3.099,,5.323,0.0,-5.521,,-10.46,0.0,-3.705,17.919001,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
06/30/1992,83.606003,47.133999,49.636002,0.0,-4.243,6.047,,24.471001,0.0,21.686001,,-15.038,0.0,-1.134,-44.952999,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
09/30/1992,106.709999,48.957001,49.044998,0.0,-4.233,7.697,,-22.134001,0.0,8.532,,-2.53,0.0,7.664,13.712,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
12/31/1992,225.324005,53.754002,49.676998,0.0,-5.717,8.934,,-27.002001,115.785004,-12.245,,-2.331,0.0,36.839001,7.63,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
03/31/1993,79.641998,71.886002,51.601002,0.0,-5.635,0.377,,6.595,0.0,-29.007,,-3.231,,-32.73,19.785999,0.0,,,,,,,,,,,,,,,,,,,79.641998,
06/30/1993,105.200996,48.630001,52.439999,0.0,-6.666,-4.834,,-11.841,0.0,21.978001,,8.524,,-0.054,-39.679001,36.702999,,,,,,,,,,,,,,,,,,,105.200996,
09/30/1993,170.306,58.794998,53.617001,0.0,-4.497,0.14,,-2.773,0.0,1.147,,32.266998,,17.673,15.926,-1.989,,,,,,,,,,,,,,,,,,,170.306,
12/31/1993,110.259003,53.542999,52.77,0.0,-4.684,1.929,,14.644,0.0,-9.511,,16.054001,,12.642,7.586,-34.714001,,,,,,,,,,,,,,,,,,,110.259003,
03/31/1994,123.757004,123.543999,55.872002,0.0,-4.648,-6.176,,-59.997002,0.0,-33.404999,,-1.774,,-12.069,62.41,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
06/30/1994,76.869003,44.541,56.261002,0.0,-4.563,-3.792,,-4.81,0.0,42.542,,-15.244,,-7.994,-51.141998,21.07,,,0.0,,,,,,,,,,,,,0.0,,,,
09/30/1994,127.894997,55.118999,55.722,0.0,-5.541,-3.416,,15.543,0.0,18.313999,,1.088,,-7.017,19.153,-21.07,,,0.0,,,,,,,,,,,,,0.0,,,,
12/31/1994,124.098,60.089001,56.028,0.0,-4.844,39.068001,,-1.307,0.0,-17.785,,-4.589,,33.651001,-36.213001,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,
03/31/1995,128.434998,81.538002,64.696999,0.0,-2.693,5.621,,7.038,0.0,-11.889,,-6.23,,-51.313,41.666,0.0,,,-69.361,-69.361,0.0,0.0,,,,,,,,,,0.0,,,,
06/30/1995,91.246002,47.873001,65.399002,0.0,-1.995,8.975,,13.716,0.0,15.647,,0.266,,-13.165,-53.131001,7.661,,,-78.908997,-78.908997,0.0,0.0,,,,,,,,,,0.0,,,,
09/30/1995,168.804993,60.527,64.585999,0.0,-1.294,-0.058,,31.568001,0.0,-24.389,,17.902,,5.086,22.538,-7.661,,,-71.148003,-71.148003,0.0,0.0,,,,,,,,,,0.0,,,,
12/31/1995,101.450996,64.969002,61.633999,0.0,-2.204,12.481,,-4.776,0.0,-42.738998,,8.42,,11.679,-8.013,0.0,,,-91.445999,-91.445999,0.0,0.0,,,,,,,,,,0.0,,,,
03/31/1996,184.925995,53.743,65.959,0.0,-0.709,-22.33,,81.473,0.0,4.262,,-3.042,,-33.481998,39.051998,0.0,,,-44.966999,-44.966999,0.0,0.0,,,,,,,,,,0.0,,,,
06/30/1996,154.149002,56.091,66.584,0.0,-1.104,4.429,,6.09,0.0,34.688,,21.851999,,-6.192,-50.046001,21.757,,,-59.771,-59.771,0.0,0.0,,,,,,,,,,0.0,,,,
09/30/1996,146.716995,58.563999,66.231003,0.0,-1.629,1.071,,-15.112,0.0,11.812,,-1.493,,11.302,18.139999,-2.169,,,-61.972,-61.972,0.0,0.0,,,,,,,,,,0.0,,,,
12/31/1996,111.678001,50.929001,64.472,0.0,-2.446,37.716999,,-10.066,0.0,-31.191999,,-1.81,,30.989,-7.327,-19.587999,,,-116.856003,-116.856003,0.0,0.0,,,,-116.856003,,,,,,0.0,,,-5.178002,
03/31/1997,138.074005,79.891998,68.781998,0.0,-2.115,11.652,,-1.281,0.0,-2.587,,-14.221,,-20.605,18.556999,0.0,,0.0,-41.203999,-41.203999,0.0,0.0,0.0,0.0,-0.081,-41.285,-91.226997,-54.692001,-22.684,0.0,-21.892,8.041,0.0,0.0,5.562,
06/30/1997,74.200996,54.007999,68.753998,0.0,-2.191,16.059,,-34.230999,0.0,24.808001,,-5.689,,-24.358,-41.401001,18.441999,,0.0,-56.831001,-56.831001,0.0,0.0,0.0,0.0,-2.172,-59.002998,-18.940001,-54.833,27.823999,0.0,0.0,8.069,0.0,0.0,-3.742,
09/30/1997,202.584,77.141998,69.223999,0.0,-2.043,18.987,,-5.771,0.0,17.926001,,8.398,,22.424,8.479,-12.182,,0.0,-60.151001,-60.151001,0.0,0.0,0.0,0.0,-1.36,-61.511002,-119.916,-54.981998,-50.529999,0.0,-15.0,0.596,0.0,0.0,21.157,
12/31/1997,73.046997,79.533997,58.990002,0.0,-1.951,19.664,,-60.59,0.0,-46.199001,,10.127,,5.367,,8.105,,0.0,-122.069,-122.069,0.0,0.0,0.0,0.0,2.784,-119.285004,30.393,-54.967999,95.361,0.0,-10.0,0.0,0.0,0.0,-15.845,
03/31/1998,142.667007,80.538002,68.367996,0.0,-1.789,14.193,,-20.737,0.0,4.478,,-12.712,,-10.98,21.308001,0.0,,0.0,-38.819,-38.819,0.0,0.0,0.0,0.0,-0.14,-38.959,-114.716003,-54.949001,-8.12,45.794998,-97.442001,0.0,0.0,0.0,-11.008,
06/30/1998,108.484009,-209.244995,68.512001,0.0,-0.753,1.925,,288.475006,0.0,-20.673,,-1.235,,24.285,-42.806999,0.0,,0.0,-59.425999,-59.425999,0.0,0.0,0.0,0.0,-3.848,-63.273998,-42.317001,-54.957001,179.292999,0.0,-166.653,0.0,0.0,0.0,2.893012,
09/30/1998,198.722,85.054001,66.834,0.0,-0.942,1.005,,-2.996,0.0,20.808001,,20.211,,-33.502998,42.250999,0.0,,0.0,-58.998001,-58.998001,0.0,0.0,0.0,0.0,-0.878,-59.875999,-140.813004,-54.966,-158.973999,166.156998,-93.029999,0.0,0.0,0.0,-1.966998,
12/31/1998,147.088989,40.485992,66.665001,0.0,-1.54,3.875,,9.091002,0.0,10.751999,,-19.116001,,43.315998,-6.440001,0.0,,0.0,-67.095009,-67.095009,0.0,0.0,0.0,0.0,-1.339,-68.434006,-77.387993,-54.969994,40.237,0.0,-62.654999,0.0,0.0,0.0,1.266993,
03/31/1999,148.625,100.031,66.865,0.0,-1.504,8.054,0.0,-16.103,0.0,-31.176,0.0,-8.954,0.0,-4.895,36.307,0.0,,0.0,-32.88,-32.88,0.0,0.0,0.0,0.0,-7.669,-40.549,-95.12,-54.904,-17.699,0.0,0.0,0.0,-22.517,0.0,12.956,
06/30/1999,111.066002,66.780998,63.987,0.0,0.728,5.032,0.0,5.023,0.0,-3.764,0.0,-0.459,0.0,20.731001,-36.078999,-10.914,,0.0,-55.890999,-55.890999,0.0,0.0,0.0,0.0,-31.202,-87.093002,-25.375999,-52.404999,132.845993,114.830002,-51.714001,0.0,-168.932999,0.0,-1.403,
09/30/1999,176.360001,76.512001,65.558998,0.0,-0.662,2.169,0.0,37.834999,0.0,8.168,0.0,11.938,-16.105,-12.662,13.209,-9.601,,0.0,-134.992004,-67.148003,0.0,-67.844002,0.0,0.0,38.870998,-96.121002,-84.999001,-54.266998,323.40799,0.0,-47.317001,0.0,-306.822998,0.0,-4.76,
12/31/1999,193.955994,26.059999,61.044998,0.0,-0.402,24.780001,,102.139,0.0,-50.907001,,-0.316,-3.053,77.050003,-5.639,-36.800999,,0.0,-187.761993,-108.445999,0.0,-79.316002,0.0,0.0,-98.713997,-286.476013,134.151993,-53.396,-56.297001,709.312988,-455.968994,0.0,0.0,-13.279,41.632,
03/31/2000,122.005997,17.15,63.660999,0.0,-0.487,-0.802,,69.844002,0.0,-13.62,0.0,-4.84,-9.632,-21.714001,20.1,2.346,,0.0,-41.019001,-41.019001,0.0,0.0,0.0,0.0,-40.578999,-81.598,-87.232002,-46.259998,29.388,0.0,-83.627998,0.0,0.0,13.268,-46.824001,
06/30/2000,60.876999,72.716003,62.792999,0.0,-0.083,6.196,0.0,-0.746,0.0,0.301,0.0,-0.252,-13.943,-12.999,-35.624001,-17.482,,0.0,-165.035995,-67.385002,0.0,-97.651001,0.0,0.0,37.867001,-127.168999,57.372002,-48.748001,102.343002,79.900002,-76.027,0.0,0.0,-0.096,-8.92,
09/30/2000,176.548996,77.355003,58.817001,0.0,-0.151,1.439,0.0,-26.236,0.0,-157.639999,0.0,19.43,-10.647,163.813995,18.780001,31.587999,,0.0,-75.043999,-41.271,0.0,-33.772999,0.0,0.0,-230.067993,-305.112,138.272995,-51.235001,-22.632,225.781006,-13.522,0.0,0.0,-0.119,9.71,
12/31/2000,178.824997,74.447998,62.661999,0.0,-0.095,8.321,,-2.871001,0.0,-12.50101,,-0.887,24.094,-0.050992,25.381001,0.324,,0.0,-121.277,-57.113998,0.0,-64.16301,0.0,0.0,3.953987,-117.322998,-63.431,-46.286999,-43.98,173.272003,-143.656006,0.0,0.0,-2.78,-1.929,
03/31/2001,107.015999,72.913002,65.387001,0.0,-0.26,12.617,,-14.754,0.0,-320.145996,0.0,-4.173,3.005,288.177002,0.882,3.368,,0.0,-45.631001,-45.631001,0.0,0.0,0.0,0.0,-614.5,-660.130981,555.994995,-48.748001,224.891998,396.593994,-16.743,0.0,0.0,0.0,2.88,
06/30/2001,-109.806999,117.059998,75.863998,0.0,-0.16,63.665001,0.0,-145.401001,0.0,-373.376007,0.0,-10.971,-175.365997,365.230011,-30.969999,4.618,,0.0,-55.855,-55.855,0.0,0.0,0.0,0.0,-1107.750977,-1163.605957,1280.115967,-49.747002,672.674988,10.5,-14.993,667.367981,-5.687,0.0,6.703,
09/30/2001,200.835999,166.960007,79.445,0.0,-0.123,158.175995,0.0,-386.871002,0.0,718.034973,0.0,24.26,-27.382999,-600.984009,55.445,13.876,,0.0,-190.505997,-190.505997,0.0,0.0,0.0,0.0,76.696999,-113.808998,-85.738998,-50.215,11.3,0.0,-54.523998,7.7,0.0,0.0,1.288,
12/31/2001,141.47,65.857,80.84,0.0,-0.351,44.327,,-54.256,0.0,66.997,0.0,-50.958,108.096,-88.62,-19.185,-11.277,,0.0,-171.258,62.061,0.0,-233.319,0.0,0.0,-28.221,-199.479,67.097,-51.026,-392.536,779.463,-269.901,5.687,-4.59,0.0,9.088,
03/31/2002,205.648,-54.439,79.371,,,23.64,,54.191,,10.759,,2.898,-15.28,12.227,78.462,13.819,,,-82.167,-82.167,,,,,15.902,-66.265,-81.116,-48.374,13.538,,-46.893,,,0.613,58.267,
06/30/2002,-37.153999,-32.202,76.496002,0.0,0.0,30.84,0.0,-19.622999,0.0,-3.771,0.0,-25.577,-2.821,-34.941002,0.0,-25.555,,0.0,-106.313004,-106.313004,0.0,0.0,0.0,0.0,0.0,-106.313004,131.009003,-50.519001,180.535004,0.0,0.0,0.0,0.0,0.993,-12.458,
