Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
04/04/1990,64.838997,-33.785,31.053997,-21.613001,9.441,0.0,0,0.056,9.497,-3.581,5.916,0,0,5.916,0,,5.916,,,5.916,,0.073333,0.073333,79.147499,0.073333,0.073333,0.073333,79.147499,
07/04/1990,71.474998,-36.737,34.737999,-23.93,10.808,0.0,0,0.037,10.845,-4.083,6.762,0,0,6.762,0,,6.762,,,6.761999,,0.086667,0.086667,79.327497,0.086667,0.086667,0.086667,79.327497,
10/03/1990,71.185997,-37.701,33.484997,-24.174999,9.31,0.0,0,0.272,9.582,-3.553,6.029,0,0,6.029,0,,6.029,,,6.029,,0.08,0.08,78.2295,0.08,0.08,0.08,78.2295,
01/02/1991,65.600998,-34.141998,31.459,-23.066,8.393,-0.103,0,0.082,8.372,-3.016,5.356,0,0,5.356,0,,5.356,,,5.356,,0.066667,0.066667,79.345499,0.066667,0.066667,0.066667,79.345499,
04/03/1991,70.455002,-36.569,33.886002,-24.503,9.383,-0.046,0,0.124,9.461,-3.528,5.933,0,0,5.933,0,,5.933,,,5.933,,0.073333,0.073333,79.720499,0.073333,0.073333,0.073333,79.720499,
07/03/1991,78.299004,-40.848,37.451004,-26.673,10.778,0.0,0,0.04,10.818,-4.035,6.783,0,0,6.783,0,,6.783,,,6.783,,0.086667,0.086667,79.684502,0.086667,0.086667,0.086667,79.684502,
10/02/1991,76.304001,-40.543999,35.760002,-26.881001,8.879,0.0,0,0.163,9.042,-3.372,5.67,0,0,5.67,0,,5.67,,,5.67,,0.073333,0.073333,78.489,0.073333,0.073333,0.073333,78.489,
01/01/1992,73.904999,-39.523998,34.381001,-26.638,7.743,-0.056,0,0.046,7.733,-2.812,4.921,0,0,4.921,0,,4.921,,,4.921,,0.06,0.06,80.035498,0.06,0.06,0.06,80.035498,
04/01/1992,84.165001,-43.835999,40.329002,-32.563,7.766,-0.015,0,0.351,8.102,-3.006,5.096,1,0,6.096,0,,6.096,,,5.096,,0.06,0.073333,80.5305,0.06,0.06,0.073333,80.5305,
07/01/1992,90.943001,-46.214001,44.729,-31.268,13.461,-0.007,0,0.077,13.531,-5.074,8.457,0,0,8.457,0,,8.457,,,8.457001,,0.106667,0.106667,80.248501,0.106667,0.106667,0.106667,80.248501,
09/30/1992,91.239998,-47.257,43.982998,-31.648001,12.335,-0.058,0,0.115,12.392,-4.646,7.746,0,0,7.746,0,,7.746,,,7.746,,0.093333,0.093333,80.412003,0.093333,0.093333,0.093333,80.412003,
12/30/1992,85.843002,-43.466999,42.376003,-31.073999,11.302,-0.064,0,0.076,11.314,-4.306,7.008,0,0,7.008,0,,7.008,,,7.008,,0.093333,0.086667,80.621996,0.093333,0.093333,0.086667,80.621996,
03/31/1993,91.115997,-46.971001,44.144997,-32.973999,11.171,-0.06,0,0.346,11.457,-4.293,7.164,0,0,7.164,0,,7.164,,,7.163999,,0.086667,0.086667,80.638498,0.086667,0.086667,0.086667,80.638498,
06/30/1993,101.952003,-53.603001,48.349003,-35.905998,12.443,-0.014,0,0.058,12.487,-4.559,7.928,0,0,7.928,0,,7.928,,,7.928,,0.1,0.1,80.462992,0.1,0.1,0.1,80.462992,
09/29/1993,104.697998,-55.146999,49.550999,-37.764999,11.786,-0.02,0,0.069,11.835,-4.432,7.403,0,0,7.403,0,,7.403,,,7.403,,0.093333,0.093333,80.529001,0.093333,0.093333,0.093333,80.529001,
12/31/1993,98.644997,-51.319,47.325996,-37.793999,9.532,-0.084,0,0.093,9.541,-3.494,6.047,0,0,6.047,0,,6.047,,,6.047,,0.073333,0.073333,80.545498,0.073333,0.073333,0.073333,80.545498,
03/30/1994,107.515999,-55.995998,51.52,-40.199001,11.321,-0.102,0,0.319,11.538,-4.269,7.269,0,0,7.269,0,,7.269,,,7.269,,0.093333,0.093333,80.487001,0.093333,0.093333,0.093333,80.487001,
06/29/1994,114.857002,-46.812,68.045002,-54.048,13.997,-0.19,0,0.204,14.011,-5.184,8.827,0,0,8.827,0,,8.827,,,8.827,,0.106667,0.106667,80.396999,0.106667,0.106667,0.106667,80.396999,
09/28/1994,115.121002,-46.591,68.530003,-56.023998,12.506,-0.217,0,0.157,12.446,-4.606,7.84,0,0,7.84,0,,7.84,,,7.84,,0.1,0.1,80.280001,0.1,0.1,0.1,80.280001,
12/31/1994,111.474998,-87.108002,24.366997,-14.091,10.276,-0.364,0,0.126,10.038,-3.43,6.608,0,0,6.608,0,,6.608,,,6.608,,0.08,0.08,80.450998,0.08,0.08,0.08,80.450998,
03/29/1995,117.728996,-47.591999,70.136997,-58.698002,11.439,-0.431,0,0.6,11.608,-4.295,7.313,0,0,7.313,0,,7.313,,,7.313,0.093333,0.093333,0.093333,80.150997,0.093333,0.093333,0.093333,80.150997,
06/28/1995,131.794998,-53.699001,78.095997,-63.203999,14.892,-0.455,0,-0.063,14.374,-5.318,9.056,0,0,9.056,0,,9.056,,,9.056,0.113333,0.113333,0.113333,80.164501,0.113333,0.113333,0.113333,80.164501,
09/27/1995,132.246002,-53.789001,78.457001,-64.489998,13.967,-0.445,0,0.253,13.775,-5.097,8.678,0,0,8.678,0,,8.678,,,8.678,0.106667,0.106667,0.106667,80.180998,0.106667,0.106667,0.106667,80.180998,
01/03/1996,133.134003,-53.223999,79.910004,-66.450996,13.459,-0.522,0,0.653,13.59,-4.972,8.618,0,0,8.618,0,,8.618,,,8.617999,,0.1,0.1,80.194502,0.1,0.1,0.1,80.194502,
04/03/1996,130.848999,-52.237999,78.611,-65.084999,13.526,-0.555,0,0.529,13.5,-4.996,8.504,0,0,8.504,0,,8.504,,,8.504,0.106667,0.106667,0.106667,79.725002,0.106667,0.106667,0.106667,80.066998,
07/03/1996,147.764008,-58.562,89.202007,-71.943001,17.259001,-0.767,0,0.284,16.776001,-6.173,10.603,0,0,10.603,0,,10.603,,,10.603001,0.14,0.14,0.14,75.735003,0.133333,0.133333,0.133333,77.862001,
10/02/1996,146.25,-58.092999,88.157001,-73.258003,14.899,-0.956,0,0.658,14.601,-5.373,9.228,0,0,9.228,0,,9.228,,,9.228,0.12,0.12,0.12,76.775997,0.12,0.12,0.12,76.775997,
01/01/1997,142.085007,-56.046001,86.039005,-71.211998,14.827,-1.076,0,-13.39,0.360999,-0.136,0.225,0,0,0.225,0,,0.225,13.3,,13.525,0.113333,0.0,0.0,75.679499,0.113333,0.0,0.0,75.679499,
04/02/1997,146.401993,-58.166,88.235992,-71.773003,16.462999,-1.512,0,0.97699,15.927989,-5.841,10.087,0,0,10.087,0,,10.087,,,10.086989,0.14,0.14,0.14,71.935501,0.14,0.14,0.14,71.935501,
07/02/1997,157.199005,-61.893002,95.306004,-76.135002,19.171,-1.533,0,0.619,18.257,-6.716,11.541,0,0,11.541,0,,11.541,,,11.540999,0.16,0.16,0.16,71.082001,0.16,0.16,0.16,71.866499,
10/01/1997,152.731003,-60.320999,92.410004,-76.449997,15.96,-1.443,0,0.533,15.05,-5.524,9.526,0,0,9.526,0,,9.526,,,9.526,0.133333,0.133333,0.133333,70.856998,0.133333,0.133333,0.133333,71.657999,
12/31/1997,142.837006,-56.686001,86.151005,-73.538002,12.613,-1.379,0,0.633,11.867,-3.811,8.056,0,0,8.056,0,,8.056,,,8.056,0.113333,0.113333,0.113333,71.082001,0.113333,0.113333,0.113333,71.082001,
04/01/1998,153.186005,-61.292,91.894005,-77.026001,14.868,-1.453,0,0.953,14.368,-5.186,9.182,0,0,9.182,0,,9.182,,,9.182,0.133333,0.133333,0.133333,68.466002,0.133333,0.133333,0.133333,68.872501,
07/01/1998,167.496002,-65.203003,102.292999,-82.608002,19.684999,-1.584,0,0.627,18.727999,-6.761,11.967,0,0,11.967,0,,11.967,,,11.966999,0.186667,0.186667,0.186667,65.100002,0.18,0.18,0.18,66.130503,
