Date,Net Premium Earned (Non-Life & Life),Capital Gains (Losses),Total Investment Income,Other Operating Income,Revenue,Insurance Claims & Charges,Underwriting Costs,Other Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,770.091003,7.916,429.364008,421.498993,1628.869995,-859.884979,-249.789001,-224.363007,294.833008,-190.395004,0.0,104.438004,-34.144001,70.293999,0.0,0.0,70.293999,-3.793,66.500999,,,66.501003,,0.44,0.44,151.906006,0.44,0.44,0.44,151.906006,
06/30/1990,791.677979,8.188,442.420006,432.605988,1674.891968,-861.145996,-257.285004,-231.75,324.710999,-191.852997,0.0,132.858002,-46.362999,86.495003,0.0,0.0,86.495003,-3.979,82.516003,,,82.516003,,0.54,0.54,152.281998,0.54,0.54,0.54,152.281998,
09/30/1990,753.786011,4.141,450.768993,432.906006,1641.602051,-868.161011,-229.783005,-234.863998,308.794006,-192.526001,0.0,116.268005,-35.511002,80.757004,0.0,0.0,80.757004,-3.764,76.993004,,,76.993004,,0.505,0.505,152.410004,0.505,0.505,0.505,152.410004,
12/31/1990,882.380981,0.245,474.895012,400.196991,1757.718018,-989.597008,-247.177002,-505.682007,15.262,,0.0,15.262,13.48,28.742001,0.0,0.0,28.742001,-4.223,24.519001,,,24.519,,0.16,0.16,152.457993,0.16,0.16,0.16,152.457993,
03/31/1991,355.600006,-2.9,414.800007,418.200012,1185.699951,-578.900024,-87.400002,-271.799988,247.600006,-167.100006,0.0,80.5,-34.799999,45.700001,-37.799995,0.0,7.9,-3.7,4.2,,,42.000001,,0.275,0.03,152.783997,0.275,0.275,0.03,152.783997,
06/30/1991,288.899994,-0.8,425.100006,388.200012,1101.400024,-495.5,-105.800003,-267.5,232.600006,-157.100006,0.0,75.5,-32.5,43.0,12.1,0.0,55.099998,-2.8,52.299999,,,40.2,,0.26,0.34,152.906006,0.26,0.26,0.34,152.906006,
09/30/1991,391.299988,0.5,433.700005,366.899994,1192.400024,-607.700012,-97.900002,-252.899994,233.899994,-151.100006,0.0,82.799988,-32.0,50.799999,13.8,0.0,64.599998,-2.8,61.799999,,,47.999988,,0.315,0.405,153.104004,0.315,0.315,0.405,153.104004,
12/31/1991,323.299988,0.3,424.500008,385.799988,1133.900024,-553.400024,-85.599998,-622.400024,-127.5,,0.0,-127.5,33.099998,-94.400002,16.9,0.0,-77.5,-2.7,-80.2,,,-97.100002,,-0.635,-0.525,152.761902,-0.635,-0.635,-0.525,152.761902,
03/31/1992,326.200012,0.1,435.699993,370.899994,1132.900024,-533.5,-109.5,-232.800003,257.100006,-144.800003,0.0,112.300003,-41.200001,71.099998,12.5,0.0,83.599998,-3.3,80.299999,,,67.800002,,0.44,0.52,154.899994,0.44,0.44,0.52,154.899994,
06/30/1992,376.399994,7.0,451.199989,400.600006,1235.199951,-591.200012,-99.0,-241.5,303.5,-146.100006,0.0,157.399994,-59.900002,97.5,-37.200001,0.0,60.299999,-6.4,53.899999,,,91.099992,,0.585,0.345,155.335999,0.585,0.585,0.345,155.335999,
09/30/1992,370.700012,0.0,477.000008,384.899994,1232.599976,-598.099976,-107.300003,-240.899994,286.299988,-141.199997,0.0,145.099991,-57.700001,87.400002,0.0,0.0,87.400002,-6.1,81.300002,,,81.29999,,0.52,0.52,155.682007,0.52,0.52,0.52,155.682007,
