Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,-166.056,283.464996,61.404999,-4.972,,,-4.972,-505.95401,-505.95401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,344.273987,409.932007,50.098,-51.237999,,,-51.237999,-64.517998,-64.517998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,707.617004,394.171997,59.731998,-46.179001,,,-46.179001,299.891998,299.891998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,398.09201,294.334991,72.653,-61.273998,,,-61.273998,92.377998,92.377998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,91.779999,320.914001,97.677002,20.872,,,20.872,-347.683014,-347.683014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,621.499023,482.391998,71.551003,-14.688,,,-14.688,82.244003,82.244003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,790.057983,456.312988,76.141998,96.227997,,,96.227997,161.375,161.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,581.064026,358.382996,16.056999,-148.442993,,,-148.442993,355.066986,355.066986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,69.0,167.0,73.0,237.0,,,237.0,-408.0,-408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,530.0,565.0,87.0,-40.0,,,-40.0,-82.0,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,853.0,540.0,89.0,-9.0,,,-9.0,233.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,780.369995,392.381989,72.921997,101.195999,,,101.195999,213.869995,213.869995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,259.0,442.0,88.0,31.0,,,31.0,-302.0,-302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,751.0,678.0,85.0,-72.0,,,-72.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,868.0,590.0,90.0,54.0,,,54.0,134.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,630.0,466.0,97.0,-95.0,,,-95.0,162.0,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,343.0,521.0,91.0,5.0,,,5.0,-274.0,-274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,913.0,758.0,102.0,89.0,,,89.0,-36.0,-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,1133.0,708.0,98.0,-23.0,,,-23.0,350.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,794.0,567.0,120.0,18.0,,,18.0,89.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,348.0,638.0,110.0,-19.0,,,-19.0,-381.0,-381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1995,738.0,898.0,109.0,2.0,,,2.0,-271.0,-271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1995,1215.0,802.0,118.0,-112.0,,,-112.0,407.0,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,814.0,648.0,117.0,209.0,,,209.0,-160.0,-160.0,,,,,,,,,,,,,,,,,,,,,,,,,,814.0,,,
