Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1990,152.574066,151.906006,151.906006,,10.722881,1.940891,0.44,0.44,,0.44,0.44,0.44,0.24,2.852382,0.26964,17.935584,,
06/30/1990,152.747101,152.281998,152.281998,,10.998621,2.132301,0.54,0.54,,0.54,0.54,0.54,0.24,3.06245,0.235821,18.282199,,
09/30/1990,152.554993,152.410004,152.410004,,10.77096,2.026074,0.505,0.505,,0.505,0.505,0.505,,1.769464,0.255226,18.243848,,
12/31/1990,152.703659,152.457993,152.457993,,11.529196,0.100106,0.16,0.16,,0.16,0.16,0.16,0.49,4.14059,0.259018,18.281848,,
03/31/1991,152.703659,152.783997,152.783997,,7.760629,1.620589,0.03,0.275,,0.03,0.275,0.275,,2.933553,1.140916,18.660443,,
06/30/1991,153.24559,152.906006,152.906006,,7.203118,1.521196,0.34,0.26,,0.34,0.26,0.26,0.49,-0.018966,0.581439,18.788325,,
09/30/1991,152.703659,153.104004,153.104004,,7.78817,1.52772,0.405,0.315,,0.405,0.315,0.315,0.25,2.919584,0.45845,19.229991,,
12/31/1991,154.406464,152.761902,152.761902,,7.422662,-0.834632,-0.525,-0.635,,-0.525,-0.635,-0.635,0.25,2.505206,0.275248,18.139138,,
03/31/1992,155.395752,154.899994,154.899994,,7.313751,1.659781,0.52,0.44,,0.52,0.44,0.44,0.25,2.185927,0.332055,18.236663,,
06/30/1992,156.03067,155.335999,155.335999,,7.951795,1.953829,0.345,0.585,,0.345,0.585,0.585,0.25,2.45661,0.350572,18.2227,,
09/30/1992,156.684998,155.682007,155.682007,,7.917421,1.839005,0.52,0.52,,0.52,0.52,0.52,0.25,1.439473,0.167853,18.30488,,
12/31/1992,158.341996,156.100006,156.100006,,6.274183,1.809097,0.03,0.51,0.51,0.03,0.51,0.51,0.25,5.047405,0.13894,18.157532,,
03/31/1993,159.161469,158.669998,158.669998,,7.241445,1.770971,0.54,0.55,,0.54,0.55,0.55,0.25,3.127245,0.22807,18.664065,,
07/01/1993,157.343369,158.656006,158.656006,,7.648623,1.987949,0.745,0.7,,0.745,0.7,0.7,0.25,1.768606,0.156346,19.008745,,
09/30/1993,155.218765,156.587997,156.587997,,7.722175,1.440723,0.85,0.865,,0.85,0.865,0.865,0.25,1.602933,0.113388,19.485401,,
12/31/1993,152.798004,154.046006,154.046006,,8.05993,1.802708,0.12,0.585,0.585,0.12,0.585,0.585,0.25,0.465445,0.606683,19.231272,,
03/31/1994,150.106003,151.621994,151.621994,,8.147895,1.898141,0.64,0.645,,0.64,0.645,0.645,0.25,2.810938,0.671525,20.59278,,
06/30/1994,140.787994,150.0,150.0,,9.086667,2.084667,0.67,0.67,,0.67,0.67,0.67,0.25,1.871333,0.88857,19.043528,,
09/30/1994,140.707993,140.800003,140.800003,,9.739347,2.200284,0.7,0.7,,0.7,0.7,0.7,0.25,3.149148,0.931006,18.264066,,
12/31/1994,138.789994,138.313996,138.313996,,10.012002,2.557225,0.715,0.715,0.715,0.715,0.715,0.715,0.25,1.616612,0.46329,17.436416,,
03/31/1995,138.526001,138.401993,138.401993,,10.263581,2.30488,0.665,0.665,0.65,0.665,0.665,0.65,0.25,2.268031,0.614325,20.356468,,
06/30/1995,137.498001,138.292007,138.292007,,11.432331,2.784687,0.815,0.815,0.77,0.815,0.815,0.77,0.25,2.998727,0.867649,26.346564,,
09/30/1995,136.671997,137.199997,137.199997,,11.524781,2.635569,1.04,1.04,0.86,1.04,1.04,0.86,,1.94242,0.619,27.64502,,
