Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,690.19101,-432.350006,257.841003,2.321,68.016998,14.538,342.717002,-65,277.717002,-248.798996,28.917999,0.0,28.917999,-7.808,21.110001,0.0,0,21.110001,-3.268,17.842001,17.841999,,0.3,0.3,59.473,,,,,
06/30/1990,681.352005,-434.657013,246.694992,2.566,63.972,6.442,319.674992,-300,19.674992,-220.929001,-201.253998,0.0,-201.253998,50.891998,-150.362,0.0,0,-150.362,-3.335,-153.697,-153.697,,-2.61,-2.61,58.888,,,,,
09/30/1990,680.593002,-429.196014,251.396988,8.808,67.642998,13.34,341.187985,-70,271.187985,-207.919998,63.268002,28.912001,92.180002,-22.108,70.071999,0.0,0,70.071999,-3.32,66.751999,66.752002,,1.14,1.14,58.554001,,,,,
12/31/1990,667.431992,-415.93399,251.498002,14.718,65.305,5.888,337.409002,-63,274.409002,-205.503006,68.905998,0.0,68.905998,-15.851,53.055,0.0,0,53.055,-3.36,49.695,49.694998,0.84,0.84,0.84,59.484001,0.84,0.84,0.84,59.484001,
03/31/1991,616.334991,-368.449005,247.885986,17.106001,67.122002,5.627,337.740989,-85,252.740989,-211.557999,41.182999,30.700001,71.882999,-15.814,56.069,0.0,0,56.069,-3.32,52.749,52.748999,,0.88,0.88,59.942001,,,,,
06/30/1991,595.895981,-332.279999,263.615982,8.272,70.556,3.75,346.193982,-65,281.193982,-214.490005,66.704002,0.0,66.704002,-14.675,52.028999,0.0,0,52.028999,-3.328,48.700999,48.701002,,0.81,0.81,60.125,,,,,
09/30/1991,592.683998,-319.362,273.321999,8.167,73.820999,4.769,360.078998,-69,291.078998,-221.936996,69.141998,0.0,69.141998,-13.827,55.314999,0.0,0,55.314999,-5.23,50.084999,50.084999,,0.83,0.83,60.342999,,,,,
12/31/1991,579.044983,-307.798004,271.246979,28.870001,68.212997,6.717,375.046977,-79,296.046977,-223.761993,72.285004,0.0,72.285004,-14.457,57.827999,0.0,0,57.827999,-5.298,52.529999,52.530004,0.85,0.85,0.85,65.433998,0.85,0.85,0.85,65.433998,
03/31/1992,549.284988,-265.240997,284.043991,6.909,72.421997,2.679,366.053988,-61,305.053988,-223.227005,81.827003,0.0,81.827003,-16.365999,65.460999,0.0,0,65.460999,-5.271,60.189999,60.190004,,0.82,0.82,73.402,,,,,
06/30/1992,529.523018,-232.675995,296.847023,4.559,74.613998,3.037,379.057021,-59,320.057021,-223.419006,96.638,0.0,96.638,-20.294001,76.344002,0.0,0,76.344002,-5.288,71.056002,71.056,,0.95,0.95,74.795998,,,,,
09/30/1992,514.958992,-211.518997,303.439995,3.504,73.955002,3.66,384.558997,-56,328.558997,-224.337006,104.222,0.0,104.222,-21.886,82.335999,0.0,0,82.335999,-5.281,77.054998,77.055,,1.03,1.03,74.810997,,,,,
12/31/1992,535.514,-211.276001,324.237999,2.046,81.088997,3.902,411.274996,-52,359.274996,-245.863007,113.412003,0.0,113.412003,-23.816,89.596001,0.0,0,89.596001,-5.221,84.375001,84.375003,1.09,1.09,1.09,72.691002,1.09,1.09,1.09,72.691002,
03/31/1993,510.471008,-184.770004,325.701004,7.834,77.638,3.541,414.714005,-45,369.714005,-238.320999,131.393005,0.0,131.393005,-38.779999,92.612999,2.373,0,94.986,-5.244,89.742,87.369007,,1.11,1.14,78.84745,,,,,
06/30/1993,513.396988,-173.487,339.909988,4.98,87.834,2.02,434.743988,-41,393.743988,-253.848999,139.895004,0.0,139.895004,-41.966999,97.928001,0.0,0,97.928001,-5.144,92.784001,92.784005,,1.15,1.15,79.599991,,,,,
09/30/1993,515.170013,-170.850006,344.320007,4.234,88.889999,4.378,441.822007,-33,408.822007,-260.209015,148.613007,0.0,148.613007,-47.070999,101.542,0.0,0,101.542,-5.135,96.407,96.407007,,1.17,1.17,80.580002,,,,,
12/31/1993,506.157997,-162.406006,343.751991,6.901,88.236,7.014,445.902991,-29,416.902991,-262.320007,154.582993,0.0,154.582993,-50.207001,104.375999,0.0,0,104.375999,-5.13,99.245999,99.245992,1.18,1.18,1.18,83.989998,1.18,1.18,1.18,83.989998,
