Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/24/1990,3336.0,,-2464.0,,872.0,,-760.400024,,,,111.599998,-75.600003,,83.800003,,,-8.2,35.999995,-21.0,15.0,0.0,,,14.999995,0.0,15.0,0.0,,15.0,15.0,,352.799988,0.0425,0.0425,,352.799988,0.0425,0.0425,0.0425,
06/16/1990,3435.100098,,-2513.300049,,921.800049,,-789.5,,,,132.300003,-78.500001,,86.400002,,,-7.9,53.800002,-30.200001,23.6,0.0,,,23.600001,0.0,23.6,0.0,,23.6,23.6,,376.399994,0.0625,0.0625,,376.399994,0.0625,0.0625,0.0625,
09/08/1990,3465.600098,,-2532.100098,,933.5,,-805.900024,,,,127.599998,-79.199997,,91.199997,,,-12.0,48.400002,-27.6,20.799999,0.0,,,20.800001,0.0,20.799999,0.0,,20.799999,20.799999,,402.399994,0.0525,0.0525,,402.399994,0.0525,0.0525,0.0525,
12/29/1990,4636.899902,,-3387.600098,,1249.299804,,-1085.5,,,,163.800003,-107.299997,,122.699997,,,-15.4,56.500006,-28.799999,27.700001,0.0,,,27.700007,0.0,27.700001,0.0,,27.700001,27.700001,,399.600008,0.07,0.07,0.07,399.600008,0.07,0.07,0.07,
03/23/1991,3400.399902,,-2481.100098,,919.299805,,-796.5,,,,122.800003,-71.5,,86.5,,,-15.0,51.300003,-24.6,26.700001,0.0,,,26.700003,0.0,26.700001,0.0,,26.700001,26.700001,,406.399994,0.065,0.065,,406.399994,0.065,0.065,0.065,
06/15/1991,3519.800049,,-2561.899902,,957.900146,,-818.200012,,,,139.699997,-71.200003,,84.800003,,,-13.6,68.499994,-32.900002,35.599998,0.0,,,35.599993,0.0,35.599998,0.0,,35.599998,35.599998,,463.200012,0.0775,0.0775,,463.200012,0.0775,0.0775,0.0775,
09/07/1991,3537.199951,,-2579.600098,,957.599854,,-820.700012,,,,136.899994,-38.699997,,82.199997,,,-43.5,98.199997,-45.200001,53.0,12.7,,,40.299996,0.0,40.299999,0.0,,40.299999,40.299999,,482.399994,0.0825,0.11,,482.399994,0.0825,0.11,0.11,
12/28/1991,4661.799805,,-3391.0,,1270.799805,,-1121.900024,,,,148.899994,-200.700005,,101.900002,,,98.800003,-51.800011,15.5,-36.299999,11.4,,,-47.700011,0.0,-47.700001,0.0,,-47.700001,-47.700001,,395.600008,-0.12,-0.0925,-0.0925,395.600008,-0.12,-0.0925,-0.0925,
03/31/1992,3395.899902,,-2466.0,,929.899902,,-827.5,,,,102.400002,-59.600003,,70.300003,,,-10.7,42.799998,-19.9,22.9,54.9,,,-32.000001,0.0,-32.0,0.0,,-32.0,-32.0,,482.399994,-0.0675,0.0475,,482.399994,-0.0675,0.0475,0.0475,
06/13/1992,3450.800049,,-2500.399902,,950.400146,,-829.900024,,,,120.5,-56.2,,67.5,,,-11.3,64.3,-31.0,33.299999,0.0,,,33.3,0.0,33.299999,0.0,,33.299999,33.299999,,476.799988,0.07,0.07,,476.799988,0.07,0.07,0.07,
09/05/1992,3455.5,,-2513.300049,,942.199951,,-843.400024,,,,98.800003,-55.000001,,63.700001,,,-8.7,43.800002,-23.799999,20.0,0.0,,,20.000003,0.0,20.0,0.0,,20.0,20.0,,471.600006,0.0425,0.0425,,471.600006,0.0425,0.0425,0.0425,
01/02/1993,4849.700195,,-3507.699951,,1342.000244,,-1222.099976,,,,119.900002,-73.400002,,88.900002,,,-15.5,46.5,-24.299999,22.200001,0.0,,,22.200001,0.0,22.200001,0.0,,22.200001,22.200001,,473.200012,0.0475,0.0475,0.0475,473.200012,0.0475,0.0475,0.0475,
03/27/1993,3404.600098,,-2478.899902,,925.700195,,-883.400024,,,,42.299999,-45.400002,,63.200001,,,-17.799999,-3.100002,1.4,-1.7,0.0,,,-1.700002,0.0,-1.7,0.0,,-1.7,-1.7,,401.200012,-0.005,-0.005,,401.200012,-0.005,-0.005,-0.005,
06/19/1993,3549.399902,,-2589.600098,,959.799805,,-843.0,,,,116.800003,-53.6,,63.200001,,,-9.6,63.200003,-27.200001,36.0,0.0,,,36.000002,0.0,36.0,0.0,,36.0,36.0,,479.200012,0.075,0.075,,479.200012,0.075,0.075,0.075,
09/11/1993,3558.899902,,-2592.0,,966.899902,,-845.799988,,,,121.099998,-47.1,,61.5,,,-14.4,73.999998,-31.9,42.099998,0.0,,,42.099998,0.0,42.099998,0.0,,42.099998,42.099998,,485.200012,0.085,0.085,,485.200012,0.085,0.085,0.085,
12/31/1993,4701.600098,,-3422.899902,,1278.700196,,-1117.400024,,,,161.300003,-79.099998,,77.599998,,,1.5,82.200005,-35.299999,46.900002,0.0,,,46.900006,0.0,46.900002,0.0,,46.900002,46.900002,,494.0,0.095,0.095,0.095,494.0,0.095,0.095,0.095,
03/26/1994,3491.800049,,-2540.100098,,951.699951,,-834.299988,,,,117.400002,-43.9,,55.799999,,,-11.9,73.500002,-31.6,41.900002,0.0,,,41.900002,0.0,41.900002,0.0,,41.900002,41.900002,,496.0,0.085,0.085,,496.0,0.085,0.085,0.085,
06/18/1994,3612.699951,,-2623.899902,,988.800049,,-842.099976,,,,146.699997,-43.300001,,52.700001,,,-9.4,103.399996,-44.5,58.900002,7.4,,,51.499996,0.0,51.5,0.0,,51.5,51.5,,486.399994,0.105,0.12,,486.399994,0.105,0.12,0.12,
