Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1991,24.722,20.504263,18.071613,2.43265,0.0,,,0.0,,,,,0.373,,,,20.877001,2.135111,2.681846,-0.546735,0.0,,1.71,,,,,1.71,3.845111,,0.874398,0.874398,,0.0,,,,,1.818172,,,1.818172,2.69257,0.0,,,,,4.054293,,,,,4.054293,4.054293,6.746863,6.943,19.143085,,,-1e-05,,-8.111775,17.9743,0.0,17.9743,24.721164,
06/30/1991,115.160576,109.989761,39.238251,70.751511,0.0,,,0.0,,,,,1.348292,,,,111.338058,2.388013,3.085836,-0.697823,0.0,,1.434511,,,,,1.434511,3.822524,,0.79095,0.79095,,0.05188,,,,,1.190984,,,1.190984,2.033814,0.330468,,,,,3.524887,,,,,3.524887,3.855355,5.889169,0.0,117.724236,,,-2.3e-05,,-8.452799,109.271414,0.0,109.271414,115.160583,
09/30/1991,114.004852,107.010559,35.016197,71.994362,0.0,,,0.0,,,,,2.622616,,,,109.633179,2.732029,3.610007,-0.877978,0.0,,1.639643,,,,,1.639643,4.371672,,0.527094,0.527094,,0.114077,,,,,1.422776,,,1.422776,2.063947,0.68154,,,,,2.865175,,,,,2.865175,3.546715,5.610662,0.0,117.724236,,,-2.4e-05,,-9.330018,108.394194,0.0,108.394194,114.004856,
12/31/1991,114.013,104.295002,26.243,78.052002,0.0,,,0.0,,,,,2.343,,,,106.638,5.394,6.492,-1.098,0.0,,1.981,,,,,1.981,7.375,,1.576,1.576,,0.397,,,,,1.329,,,1.329,3.302,2.414,,,,,2.057,,,,,2.057,4.471,7.773,0.0,117.686996,,,0.0,,-11.447,106.239997,0.0,106.239997,114.012997,
03/31/1992,112.203056,100.368185,24.893072,75.475113,0.0,,,0.0,,,,,2.078694,,,,102.446877,7.652058,9.095088,-1.44303,0.0,,2.104121,,,,,2.104121,9.756179,,1.86573,1.86573,,0.696831,,,,,1.469905,,,1.469905,4.032466,4.096103,,,,,1.111643,,,,,1.111643,5.207746,9.240212,0.0,117.68692,,,-0.000157,,-14.72392,102.962843,0.0,102.962843,112.203055,
06/30/1992,108.681473,95.085739,22.049133,73.036606,0.0,,,0.0,,,,,2.354917,,,,97.440651,8.877166,10.807807,-1.930641,0.0,,2.36365,,,,,2.36365,11.240816,,1.93344,1.93344,,0.863183,,,,,1.434824,,,1.434824,4.231447,4.75838,,,,,0.42752,,,,,0.42752,5.1859,9.417347,0.0,117.68692,,,-0.000162,,-18.422636,99.264122,0.0,99.264122,108.681469,
09/30/1992,104.399353,90.007799,19.220629,70.78717,0.0,,,0.0,,,,,1.854456,,,,91.862251,9.964091,12.412989,-2.448898,0.0,,2.573011,,,,,2.573011,12.537102,,2.605255,2.605255,,1.002664,,,,,1.695389,,,1.695389,5.303308,5.205167,,,,,0.389798,,,,,0.389798,5.594965,10.898273,0.0,117.68692,,,-0.000162,,-24.185679,93.50108,0.0,93.50108,104.399352,
12/31/1992,97.879951,83.344257,16.43819,66.906067,0.0,,,0.0,,,,,1.320746,,,,84.665001,10.486209,13.542934,-3.056725,0.0,,2.728741,,,,,2.728741,13.21495,,2.450083,2.450083,,1.002664,,,,,1.103412,,,1.103412,4.556159,5.818291,,,,,0.352076,,,,,0.352076,6.170367,10.726526,0.0,117.712975,,,-0.000162,,-30.559384,87.153429,0.0,87.153429,97.879955,
03/31/1993,90.619003,75.419003,10.147,65.272003,0.0,,,0.0,,,,,1.385,,,,76.804001,10.986,14.742,-3.756,0.0,,2.829,,,,,2.829,13.815,,2.968,2.968,,1.352,,,,,1.88,,,1.88,6.2,6.269,,,,,0.314,,,,,0.314,6.583,12.783,0.0,117.713997,,,0.0,,-39.877998,77.835999,0.0,77.835999,90.618998,
06/30/1993,82.421997,66.250001,7.857,58.393002,0.0,,,0.0,,,,,1.486,,,,67.736,11.443,15.92,-4.477,0.0,,3.243,,,,,3.243,14.686,,1.264,1.264,,1.46,,,,,4.678,,,4.678,7.402,6.334,,,,,0.273,,,,,0.273,6.607,14.009,0.0,117.719002,,,0.0,,-49.306,68.413002,0.0,68.413002,82.422002,
09/30/1993,125.892998,107.612,39.710999,67.901001,0.0,,,0.0,,,,,1.978,,,,109.589996,12.191,17.382999,-5.192,0.494,,3.618,,,,,3.618,16.303,,1.653,1.653,,1.533,,,,,6.181,,,6.181,9.367,6.179,,,,,0.239,,,,,0.239,6.418,15.785,0.0,169.046997,,,0.0,,-58.938999,110.107998,0.0,110.107998,125.892997,
12/31/1993,117.580002,88.281001,12.533,75.748001,0.564,,,0.0,,,,,2.972,,,,91.817001,22.43,28.327,-5.897,0.0,,3.333,,,,,3.333,25.763,,2.103,2.103,,1.6,,,,,9.375,,,9.375,13.078,5.912,,,,,0.201,,,,,0.201,6.113,19.191,0.0,168.832001,,,0.0,,-70.443001,98.389,0.0,98.389,117.58,
03/31/1994,105.962997,41.885999,8.002,33.883999,0.56,,,0.0,,,,,2.193,,,,44.639,27.031,33.798,-6.767,30.882,,3.411,,,,,3.411,61.324,,6.011,6.011,,1.644,,,,,3.366,,,3.366,11.021,8.054,,,,,0.163,,,,,0.163,8.217,19.238,0.0,168.832001,,,0.0,,-82.107002,86.724998,0.0,86.724998,105.962998,
06/30/1994,105.668999,52.182001,18.030001,34.152,0.793,,,0.0,,,,,2.334,,,,55.308998,27.608,35.271,-7.663,18.233,,4.519,,,,,4.519,50.36,,6.353,6.353,,2.242,,,,,13.131999,,,13.131999,21.726999,7.229,,,,,0.126,,,,,0.126,7.355,29.081999,0.0,168.832001,,,0.0,,-92.245003,76.586998,0.0,76.586998,105.668997,
09/30/1994,97.407997,43.318,15.256,28.062,2.549,,,0.0,,,,,1.104,,,,46.971001,28.111,36.797001,-8.686,18.882999,,3.443,,,,,3.443,50.437,,4.242,4.242,,2.322,,,,,9.978999,,,9.978999,16.542999,7.959,,,,,0.088,,,,,0.088,8.047,24.589999,0.0,168.931,,,0.0,,-96.112999,72.818001,0.0,72.818001,97.408,
12/31/1994,94.236,49.878,23.646,26.232,0.994,,,0.0,,,,,1.173,,,,52.044998,27.686001,37.522999,-9.837,9.624,,4.881,,,,,4.881,42.191,,4.971,4.971,,3.143,,,,,9.751999,,,9.751999,17.865999,9.249,,,,,0.05,,,,,0.05,9.299,27.164999,0.0,168.932007,,,0.0,,-101.861,67.071007,0.0,67.071007,94.236006,
03/31/1995,86.130997,34.837,12.657,22.18,2.4,,,0.0,,,,,0.655,,,,37.891998,26.780001,37.801998,-11.022,18.562,,2.897,,,,,2.897,48.239001,,1.57,1.57,,3.113,,,,,9.042,,,9.042,13.725,8.587,,,,,0.039,,,,,0.039,8.626,22.351,0.0,171.065002,,,0.0,,-107.285004,63.779999,0.0,63.779999,86.130999,
06/30/1995,83.420998,36.377001,16.839001,19.538,2.41,,,0.0,,,,,0.669,,,,39.456001,25.655001,37.828999,-12.174,13.828,,4.482,,,,,4.482,43.965001,,4.642,4.642,,3.297,,,,,8.304,,,8.304,16.243,7.705,,,,,0.052,,,,,0.052,7.757,24.0,0.0,171.095001,,,0.0,,-111.674004,59.420998,0.0,59.420998,83.420998,
09/30/1995,74.216003,25.458999,5.909,19.549999,4.519,,,0.0,,,,,0.585,,,,30.563,25.15,38.445999,-13.296,12.93,,5.573,,,,,5.573,43.653,,4.327,4.327,,8.572,,,,,1.167,,,1.167,14.066,7.032,,,,,0.078,,,,,0.078,7.11,21.176,0.0,171.272995,,,0.0,,-118.233002,53.039993,0.0,53.039993,74.215993,
12/31/1995,93.811996,46.154,32.736,13.418,2.69,,,0.0,,,,,0.359,,,,49.202999,27.871,42.273998,-14.403,13.468,,3.27,,,,,3.27,44.609001,,6.29,6.29,,3.491,,,,,3.167,,,3.167,12.948,5.978,,,,,7.029,,,,,7.029,13.007,25.955,0.0,193.615997,,,,,-125.759003,67.856995,0.0,67.856995,93.811995,
03/31/1996,86.176003,33.84,11.924,21.916,4.237,,,0.0,,,,,0.424,,,,38.500999,31.173,46.745998,-15.573,13.62,,2.882,,,,,2.882,47.675,,4.288,4.288,,3.774,,,,,2.421,,,2.421,10.483,4.885,,,,,8.695,,,,,8.695,13.58,24.063,0.0,195.804001,,,0.0,,-133.690994,62.113007,0.0,62.113007,86.176006,
06/30/1996,139.272003,74.938999,48.849998,26.089001,6.404,,,0.0,,,,,0.335,,,,81.678001,33.335999,50.113998,-16.778,21.393999,,2.864,,,,,2.864,57.593998,,2.063,2.063,,3.684,,,,,3.855,,,3.855,9.602,4.859,,,,,12.01,,,,,12.01,16.869,26.471001,0.0,254.084,,,,,-141.283005,112.800995,0.0,112.800995,139.271996,
09/30/1996,130.600006,66.682999,37.452999,29.23,5.877,,,0.0,,,,,0.847,,,,73.406998,33.686001,51.639999,-17.954,22.58,,0.927,,,,,0.927,57.193001,,2.371,2.371,,3.766,,,,,2.78,,,2.78,8.917,5.12,,,,,12.338,,,,,12.338,17.458,26.375,0.0,254.171005,,,,,-149.945999,104.225006,0.0,104.225006,130.600006,
12/31/1996,137.582001,80.063,34.474998,45.588001,4.335,,,0.0,,,,,0.611,,,,85.009003,34.298,53.501999,-19.204,16.965,,1.31,,,,,1.31,52.573,,2.178,2.178,,3.583,,,,,6.287,,,6.287,12.048,5.148,,,,,13.454,,,,,13.454,18.602,30.650001,0.0,264.769012,,,0.0,,-157.837006,106.932007,0.0,106.932007,137.582007,
03/31/1997,129.067993,68.056,27.915001,40.140999,3.312,,,0.0,,,,,0.528,,,,71.896004,33.846001,,,23.223,,0.103,,,,,0.103,57.172,,1.587,1.587,,3.369,,,,,4.742,,,4.742,9.698,4.457,,,,,13.872,,,,,13.872,18.329,28.026999,0.0,264.875,,,0.0,,-163.834,101.041,0.0,101.041,129.068,
06/30/1997,169.953995,104.252999,51.445,52.807999,5.985,,,0.0,,,,,0.395,,,,110.633003,33.973999,,,25.246,,0.101,,,,,0.101,59.320999,,5.077,5.077,,3.13,,,,,2.641,,,2.641,10.848,4.17,,,,,14.992,,,,,14.992,19.162,30.01,0.004,307.931,,,0.0,,-167.990997,139.944003,0.0,139.944003,169.954003,
09/30/1997,164.738007,97.375,40.287998,57.087002,4.051,,,0.0,,,,,0.652,,,,102.078003,32.882,55.422001,-22.540001,29.273001,,0.505,,,,,0.505,62.660001,,4.131,4.131,,2.698,,,,,0.932,,,0.932,7.761,4.027,,,,,14.711,,,,,14.711,18.738,26.499001,0.004,308.101013,,,0.0,,-169.865997,138.239016,0.0,138.239016,164.738016,
12/31/1997,168.380005,92.523001,28.921,63.602001,6.581,,,0.0,,,,,0.536,,,,99.639999,32.713001,56.306,-23.593,35.518002,,0.509,,,,,0.509,68.740003,,2.947,2.947,,1.843,,,,,5.898,,,5.898,10.688,3.752,,,,,15.043,,,,,15.043,18.795,29.483,0.004,308.135986,,,0.0,,-169.242996,138.89699,0.0,138.89699,168.37999,
03/31/1998,161.432007,85.071003,19.257999,65.813004,4.631,,,0.0,,,,,1.204,,,,90.905998,32.200001,56.664001,-24.464001,37.401001,,0.925,,,,,0.925,70.526002,,1.763,1.763,,1.357,,,,,4.351,,,4.351,7.471,3.471,,,,,15.054,,,,,15.054,18.525,25.996,0.0,308.457001,,,0.0,,-173.020996,135.436005,0.0,135.436005,161.432005,
06/30/1998,165.119003,74.990999,22.538,52.452999,12.481,,,0.0,,,,,0.926,,,,88.398003,32.16,60.464001,-28.304001,42.431,,2.13,0.0,,,,2.13,76.721,,5.079,5.079,,1.229,,,,,2.205,,,2.205,8.513,3.601,,,,,15.233,,,,,15.233,18.834,27.346999,0.004,308.542999,,,0.0,,-170.774994,137.772005,0.0,137.772005,165.119005,
09/30/1998,162.438995,82.587,22.594,59.993,6.63,,,0.0,0.0,0.0,0.0,,0.0,,,,89.217003,32.646,58.570999,-25.924999,37.791,,2.785,0.0,,,,2.785,73.222,,1.715,1.715,,1.804,,,,,6.109,,,6.109,9.628,2.69,,,,,13.268,,,,,13.268,15.958,25.586,0.004,308.574005,,,0.0,,-171.725006,136.852999,0.0,136.852999,162.438999,
12/31/1998,156.914993,85.779003,19.757,66.022003,5.71,,,0.0,,,,,1.412,,,,92.901001,33.019001,59.631001,-26.612,27.750999,,3.244,,,,,3.244,64.014,,2.223,2.223,,1.116,,,,,6.063,,,6.063,9.402,3.066,,,,,13.22,,,,,13.22,16.286,25.688001,0.0,308.59201,,,0.0,,-177.365005,131.227005,0.0,131.227005,156.915006,
03/31/1999,149.328995,67.953999,21.777,46.176998,6.895,,,0.0,0.0,0.0,0.0,,1.34,,,,76.189003,34.238998,61.577999,-27.339001,36.617001,,2.284,0.0,,,,2.284,73.139999,,3.044,3.044,,1.093,0.064,1.029,1.029,,5.722,,,5.722,9.859,2.809,1.594,1.215,1.215,,13.225,,,,,13.225,16.034,25.893001,0.0,309.791992,,,0.0,,-186.356003,123.435989,0.0,123.435989,149.32899,
06/30/1999,139.839005,69.818998,20.559999,49.258999,4.966,,,0.0,0.0,0.0,0.0,,1.43,,,,76.214996,35.179001,63.347,-28.167999,26.749001,,1.696,0.0,,,,1.696,63.624001,,4.854,4.854,,1.162,0.063,1.099,1.099,,2.729,,,2.729,8.745,2.461,1.579,0.882,0.882,,13.237,,,,,13.237,15.698,24.443,0.0,309.830994,,,0.0,,-194.434998,115.395996,0.0,115.395996,139.838996,
09/30/1999,134.380005,63.982,23.525,40.457001,8.656,,,0.0,0.0,0.0,0.0,0.0,1.643,,,,74.280998,35.076,64.141998,-29.066,23.451,,1.572,0.0,,,,1.572,60.099,,4.531,4.531,,1.202,0.063,1.139,1.139,,3.14,,,3.14,8.873,2.15,1.563,0.587,0.587,,12.83,,,,,12.83,14.98,23.853,0.0,309.872009,,,0.0,-198.921005,-0.423996,110.527008,0.0,110.527008,134.380008,
12/31/1999,136.998993,66.160002,23.697001,42.463001,0.624,,,4.552,1.042,0.165,3.345,0.0,1.708,,,,73.043999,36.298,66.661003,-30.363001,27.438999,,0.218,0.0,,,,0.218,63.955,,6.551,6.551,,1.448,,,,,5.32,,,5.32,13.319,2.731,,,,,11.417,,,,,11.417,14.148,27.467,0.0,310.328003,,,0.0,,-200.796005,109.531998,0.0,109.531998,136.998998,
03/31/2000,132.034,56.414,12.294,44.12,,,,5.641,0.954,0.43,4.257,0.0,11.426,,,,73.481,36.63,,,21.479,21.479,0.444,,,,0.056,0.388,58.553,,6.921,6.921,,1.352,0.068,1.284,1.284,,4.177,,,4.177,12.45,2.52,1.513,1.007,1.007,,11.469,,,,,11.469,13.989,26.439,,313.732,,,0.0,-207.621,-0.516,105.595,,105.595,132.034,
