Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,189.670994,-115.043999,74.626995,0.43,15.129,8.935,99.120995,-6.538,92.582995,-61.652,30.931,0.0,30.931,-8.829,22.101999,0.0,0.0,22.101999,0.0,22.101999,,,22.101999,,0.20894,0.20894,102.879143,0.20894,0.20894,0.20894,102.879143,
06/30/1990,190.496002,-114.364998,76.131004,0.495,15.169,9.696,101.491004,-7.173,94.318004,-62.897999,31.42,0.0,31.42,-9.117,22.302999,0.0,0.0,22.302999,0.0,22.302999,,,22.303,,0.206453,0.206453,107.397948,0.206453,0.206453,0.206453,107.397948,
09/30/1990,194.356995,-114.615997,79.740997,0.373,15.131,10.277,105.521997,-8.189,97.332997,-65.630997,31.702,0.0,31.702,-9.209,22.493,0.0,0.0,22.493,0.0,22.493,,,22.493,,0.20894,0.20894,107.422056,0.20894,0.20894,0.20894,107.422056,
12/31/1990,194.832996,-114.079002,80.753994,5.253,42.151001,-22.726,105.431995,-10.197,95.234995,-66.738998,28.496,0.659,29.155,-8.577,20.577999,0.0,0.0,20.577999,-0.646,19.931999,,,19.932,0.194016,0.194016,0.194016,106.987876,0.194016,0.194016,0.194016,106.987876,
03/31/1991,188.480999,-108.041,80.439999,0.35,14.982,10.696,106.467999,-7.907,98.560999,-66.723,31.837999,0.0,31.837999,-9.423,22.415001,0.0,0.0,22.415001,0.0,22.415001,,,22.414999,,0.20894,0.20894,107.478348,0.20894,0.20894,0.20894,107.478348,
06/30/1991,186.942997,-102.776001,84.166996,0.898,15.179,10.187,110.430996,-7.429,103.001996,-69.603996,33.397999,0.0,33.397999,-10.187,23.211,0.0,0.0,23.211,0.0,23.211,,,23.210999,,0.216402,0.216402,107.643181,0.216402,0.216402,0.216402,107.643181,
09/30/1991,186.451996,-100.892998,85.558998,0.521,15.035,11.735,112.849998,-8.932,103.917997,-70.010002,33.908001,0.0,33.908001,-10.382,23.525999,0.0,0.0,23.525999,0.0,23.525999,,,23.526001,,0.216402,0.216402,108.057273,0.216402,0.216402,0.216402,108.057273,
12/31/1991,187.131001,-98.098999,89.032002,14.775,43.816002,-25.235001,122.388003,-15.544,106.844003,-73.144997,33.699001,0.528,34.227001,-10.398,23.829,0.0,0.0,23.829,0.0,23.829,,,23.829001,0.21889,0.21889,0.21889,107.566801,0.21889,0.21889,0.21889,107.566801,
03/31/1992,175.296997,-85.554001,89.742996,8.1,16.569,8.473,122.884996,-15.208,107.676996,-71.190002,36.487,0.0,36.487,-11.907,24.58,0.0,0.0,24.58,0.0,24.58,,,24.58,,0.228839,0.228839,107.3497,0.228839,0.228839,0.228839,107.3497,
06/30/1992,174.381001,-78.514,95.867001,3.559,17.257,8.778,125.461,-11.889,113.572001,-71.714996,41.856998,0.0,41.856998,-13.532,28.325001,0.0,0.0,28.325001,0.0,28.325001,,,28.324999,,0.263663,0.263663,107.184867,0.263663,0.263663,0.263663,107.184867,
09/30/1992,170.341,-71.056999,99.284,4.54,18.129999,9.45,131.403999,-15.84,115.563999,-73.247002,42.317001,0.0,42.317001,-13.502,28.815001,0.0,0.0,28.815001,0.0,28.815001,,,28.815001,,0.264906,0.264906,108.965852,0.264906,0.264906,0.264906,108.965852,
12/31/1992,167.174999,-66.460999,100.714,6.036,44.444,-17.677999,133.516001,-14.775,118.741001,-75.833,42.908001,0.388,43.296001,-13.925,29.371,0.0,0.0,29.371,0.0,29.371,,,29.371001,0.268638,0.268638,0.268638,109.333193,0.268638,0.268638,0.268638,109.333193,
03/31/1993,163.658001,-63.891998,99.766003,4.062,19.289,12.217,135.334002,-9.449,125.885002,-78.518997,47.366001,0.0,47.366001,-17.261999,30.104,0.0,0.0,30.104,0.0,30.104,,,30.104002,,0.2761,0.2761,109.166868,0.2761,0.2761,0.2761,109.166868,
06/30/1993,167.937,-63.818001,104.118999,6.872,19.697001,9.67,140.358,-10.399,129.959,-80.204002,49.755001,0.0,49.755001,-16.334,33.421001,0.0,0.0,33.421001,0.0,33.421001,,,33.421001,,0.305948,0.305948,109.18563,0.305948,0.305948,0.305948,109.18563,
09/30/1993,162.902,-63.453999,99.448002,8.093,19.823999,11.189,138.554002,-6.581,131.973002,-81.212997,50.759998,0.0,50.759998,-16.867001,33.893002,0.0,0.0,33.893002,0.0,33.893002,,,33.892998,,0.309679,0.309679,109.252639,0.309679,0.309679,0.309679,109.252639,
12/31/1993,165.522999,-62.116001,103.406998,3.311,20.870001,11.696,139.283999,-7.568,131.715999,-86.043999,45.672001,0.0,45.672001,-15.188,30.483999,0.0,0.0,30.483999,0.0,30.483999,,,30.484001,0.279831,0.279831,0.279831,109.244591,0.279831,0.279831,0.279831,109.244591,
03/31/1994,171.761002,-65.042,106.719002,1.433,25.832001,7.715,141.699003,-4.664,137.035003,-87.903,49.132,0.0,49.132,-16.240999,32.890999,0.0,0.0,32.890999,0.0,32.890999,,,32.891001,,0.287293,0.287293,114.647865,0.287293,0.287293,0.287293,114.647865,
06/30/1994,184.265995,-70.031998,114.233997,4.846,28.249001,9.282,156.610998,-6.471,150.139997,-95.054001,55.085999,0.0,55.085999,-18.233,36.853001,0.0,0.0,36.853001,0.0,36.853001,,,36.852999,,0.317142,0.317142,116.481111,0.317142,0.317142,0.317142,116.481111,
09/30/1994,195.581001,-78.487999,117.093002,1.643,29.750999,8.605,157.092001,-5.245,151.847001,-95.917999,55.929001,0.0,55.929001,-18.974001,36.955002,0.0,0.0,36.955002,0.0,36.955002,,,36.955,,0.317142,0.317142,116.759851,0.317142,0.317142,0.317142,116.759851,
12/31/1994,207.577999,-89.988998,117.589001,2.085,43.82,-7.717,155.777001,-6.085,149.692001,-104.137001,45.555,0.0,45.555,-15.17,30.385,0.0,0.0,30.385,0.0,30.385,,,30.385,0.261175,0.261175,0.261175,116.339066,0.261175,0.261175,0.261175,116.339066,
03/31/1995,218.914993,-101.100998,117.813995,2.296,29.923,8.8,158.832996,-4.567,154.265996,-102.553001,51.713001,0.0,51.713001,-17.01,34.702999,0.0,0.0,34.702999,0.0,34.702999,,,34.703001,,0.298486,0.298486,116.392662,0.298486,0.298486,0.298486,116.392662,
06/30/1995,229.263008,-110.314003,118.949005,2.433,31.493999,11.662,164.538004,-5.991,158.547004,-101.921997,56.625,0.0,56.625,-19.232,37.393002,0.0,0.0,37.393002,0.0,37.393002,,,37.393,,0.320873,0.320873,116.180931,0.320873,0.320873,0.320873,116.180931,
09/30/1995,230.907993,-110.528,120.379993,7.011,33.577,9.876,170.843994,-6.073,164.770994,-106.990997,57.779999,0.0,57.779999,-19.464001,38.316002,0.0,0.0,38.316002,0.0,38.316002,,,38.315998,,0.329081,0.329081,116.578114,0.329081,0.329081,0.329081,116.578114,
12/31/1995,230.732994,-111.182999,119.549995,4.481,58.09,-13.092,169.028995,-5.035,163.993995,-97.294998,66.698997,-18.204,48.494997,-17.093,31.402,0.0,0.0,31.402,0.0,31.402,,,31.401997,0.270317,0.270317,0.270317,116.167143,0.270317,0.270317,0.270317,116.167143,
03/31/1996,229.150997,-110.985001,118.165997,6.716,32.772999,13.812,171.466996,-6.252,165.214996,-105.601997,59.612999,0.0,59.612999,-20.379,39.234001,0.0,0.0,39.234001,0.0,39.234001,0.0,0.0,39.233999,0.336916,0.336916,0.336916,116.476009,0.336916,0.336916,0.336916,116.476009,
