Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Trading Securities/FVTPL,Real Estate Investments,Other Investments,Net Receivables,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Associates,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1998,560.715,29.504,,,0.0,,32.117,0.0,0.0,0.0,6.194,,481.487,314.635,,1.279,,0.0,10.134,,0.0,0.0,,,,223.1,,,,,,,,21.293,244.393,0.0,273.652,,,0.0,-9.42,30.998,295.23,21.092,316.322,560.715,
06/30/1998,566.297,36.577,,,0.0,,34.418,0.0,0.0,0.0,6.716,,476.795,311.917,,1.31,,0.0,10.481,,0.0,0.0,,,,215.1,,,,,,,,29.883,244.983,0.0,273.647,,,0.0,-3.505,31.0,301.142,20.172,321.314,566.297,
09/30/1998,557.780029,29.877001,,,0.0,,35.383999,0.0,0.0,0.0,6.829,,473.654999,,,,,0.0,12.035031,,0.0,0.0,,,,201.100006,,,,,,,,29.993,231.093006,0.0,304.583008,,,-1.534,,2.374,305.423008,21.264,326.687008,557.780014,
12/31/1998,605.333984,23.735001,,,0.0,,66.939003,0.0,0.0,0.0,8.001,,490.473999,,,,,0.0,16.184981,,0.0,22.0,,,,191.300003,,,,,,,,54.230001,267.530005,0.0,304.582001,,,-2.612,,11.685,313.655001,24.148001,337.803001,605.333006,
03/31/1999,655.348022,40.838001,,,0.0,,38.891998,0.0,0.0,0.0,10.035,,547.27002,360.419006,,,,,18.313004,,0.0,0.0,,,,158.800003,,,,,,,,51.325999,210.126002,0.0,406.222992,,,-2.612,19.212999,-0.048999,422.774992,22.447001,445.221992,655.347995,
06/30/1999,690.393982,32.148998,,,0.0,,42.476002,0.0,0.0,0.0,12.06787,,583.351013,391.105011,,,,,20.350099,,0.0,0.0,,,,174.800003,,,,,,,,59.060999,233.861002,0.0,406.230011,,,-2.612,28.728001,-0.099,432.247011,24.285999,456.53301,690.394012,
09/30/1999,691.036987,35.528999,,,0.0,,45.412998,0.0,0.0,0.0,11.347,,575.015015,385.908997,,,,,23.732975,,0.0,0.0,,,,158.300003,,,,,,,,69.768002,228.068005,0.0,405.903992,,,-2.612,39.183998,0.005002,442.480991,20.488001,462.968992,691.036997,
12/31/1999,909.072998,53.879002,,,0.0,,244.794006,0.0,0.0,0.0,12.321,,571.880981,385.381989,,,,,26.198009,,0.0,0.0,,,,175.300003,,,,,,,,196.990995,372.290998,,406.118011,,,-11.934,83.857002,-0.055006,477.986008,58.796001,536.782009,909.073008,
03/31/2000,822.336975,35.880001,,,0.0,,73.283997,0.0,0.0,0.0,13.624,,658.098999,,,,,,41.449979,,0.0,0.0,,,,228.300003,,,,,,,,98.251997,326.552,0.0,407.625,,,-34.817001,,97.593002,470.401001,25.384001,495.785002,822.337002,
06/30/2000,819.255005,48.865002,,,0.0,,64.123001,0.0,0.0,0.0,19.351,,652.242004,,,,,,34.673998,,0.0,0.0,,,,223.800003,,,,,,,,100.24036,324.040363,0.0,407.608002,,,-48.903,,111.146,469.851002,25.363001,495.214003,819.254366,
09/30/2000,814.627991,49.971001,,,0.0,,63.959999,0.0,0.0,0.0,21.52,,646.940002,445.798004,,,,,32.236988,,0.0,0.0,,,,182.800003,,,,,,,,117.355995,300.155998,0.0,407.298004,,,-45.146,125.726997,-0.255001,487.624001,26.848,514.472,814.627998,
12/31/2000,793.72998,31.612,,,0.0,,66.125999,0.0,0.0,0.0,15.346,,643.469971,444.115997,,,,,37.176011,,0.0,0.0,,,,151.800003,,,,,,,,121.343002,273.143005,0.0,407.291992,,,-53.553001,,140.170998,493.909988,26.677,520.586988,793.729994,
03/31/2001,768.460999,27.146999,,,0.0,,51.313,0.0,0.0,0.0,15.087,,639.086975,441.790985,,,,,35.827024,,0.0,0.0,,,,147.5,,,,,,,,90.888,238.388,0.0,407.794006,,,-53.002998,152.442993,-1.619995,505.614006,24.459,530.073006,768.461006,
06/30/2001,920.138,175.835,,,,,54.286,,,,14.815,,641.459,444.407,,1.905,,,31.838,,,,,,,278.113,,,,,,,,97.879,375.992,,408.591,,,-49.408,165.549,-1.07,523.662,20.484,544.146,920.138,
09/30/2001,948.565,205.064,,,,,44.043,,,,14.357,,648.755,453.759,,1.616,,,34.73,,,,,,,277.603,,,,,,,,115.879,393.482,,409.823,,,-51.897,177.902,-1.485,534.343,20.74,555.083,948.565,
12/31/2001,1160.321,73.427,,,0.0,,57.148,0.0,0.0,0.0,17.802,,974.956,655.311,,1.732,,0.0,35.256,,0.0,252.894,,,,200.0,,,,,,,,129.012,581.906,0.0,405.322,,,-51.638,190.502,-0.846,543.34,35.075,578.415,1160.321,
