Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/29/1989,2560.687988,151.550999,89.477997,62.073002,556.942017,,,,700.565979,,,,,84.009003,,,,,,,1493.067993,638.43103,1337.508057,-699.077026,146.128006,283.061005,,,,283.061005,1067.620041,,141.391006,141.391006,,,,494.261993,,,,,,577.481033,,,,577.481033,1213.134033,316.851013,,,,,59.533001,,,,,59.533001,376.384014,1589.518047,0.0,195.264999,,,0.0,,775.905029,971.170029,0.0,971.170029,2560.688076,
12/29/1989,2538.334961,109.882999,59.660999,50.222,610.638,,,,676.328979,,,,,79.115997,,,,,,,1475.965942,636.78302,1356.784058,-720.000977,144.470001,281.115997,,,,281.115997,1062.369019,,135.022003,135.022003,,,,422.604004,,,,,,574.148041,,,,574.148041,1131.774048,316.720001,,,,,55.665001,,,,,55.665001,372.385002,1504.15905,0.0,232.785995,,,0.0,,801.390015,1034.17601,0.0,1034.17601,2538.33506,
03/30/1990,2610.688965,109.961002,59.087002,50.874001,648.825989,,,,702.192993,,,,,94.436996,,,,,,,1555.416992,648.51001,1391.250977,-742.741028,151.057999,255.703995,,,,255.703995,1055.272003,,144.039001,144.039001,,,,438.256012,,,,,,610.423004,,,,610.423004,1192.718018,307.093994,,,,,52.535999,,,,,52.535999,359.629993,1552.348011,0.0,232.899994,,,0.0,,825.440979,1058.340973,0.0,1058.340973,2610.688984,
06/30/1990,2625.128906,137.82,81.070999,56.749001,679.179993,,,,693.088989,,,,,74.681999,,,,,,,1584.770996,660.530029,1459.625,-799.094971,53.571999,326.256012,,,,326.256012,1040.35804,,196.998001,196.998001,,,,453.403015,,,,,,543.983017,,,,543.983017,1194.384033,300.756989,,,,,46.632,,,,,46.632,347.388989,1541.773022,0.0,234.873001,,,0.0,,848.482971,1083.355972,0.0,1083.355972,2625.128994,
09/28/1990,2574.800049,113.112,58.41,54.702,640.242981,,,,712.294983,,,,,74.057999,,,,,,,1539.708008,650.072021,1489.186035,-839.114014,136.341003,248.679001,,,,248.679001,1035.092026,,147.115005,147.115005,,,,499.432007,,,,,,505.452011,,,,505.452011,1151.999023,300.561005,,,,,45.879002,,,,,45.879002,346.440006,1498.43903,0.0,234.985992,,,-19.188999,,860.563999,1076.360992,0.0,1076.360992,2574.800022,
12/28/1990,2594.908936,93.988998,47.460999,46.528,643.955017,,,,710.47699,,,,,112.665001,,,,,,,1561.08606,644.171021,1517.177002,-873.005981,134.514999,255.136993,,,,255.136993,1033.823013,,144.483002,144.483002,,,,448.666992,,,,,,619.963043,,,,619.963043,1213.113037,333.678009,,,,,45.731998,,,,,45.731998,379.410007,1592.523045,0.0,236.136002,,,-30.782,,797.032,1002.386002,0.0,1002.386002,2594.909046,
03/29/1991,2585.11499,86.516003,49.851002,36.665001,658.776001,,,,704.070007,,,,,114.365997,,,,,,,1563.728027,631.512024,1537.494995,-905.982971,139.039993,250.835007,,,,250.835007,1021.387024,,145.052002,145.052002,,,,353.507996,,,,,,595.106995,,,,595.106995,1093.666992,433.231995,,,,,42.987999,,,,,42.987999,476.219994,1569.886986,0.0,226.878006,,,0.0,,788.349976,1015.227982,0.0,1015.227982,2585.114967,
06/30/1991,2485.779053,58.547001,58.547001,0.0,661.04303,,,,685.755005,,,,,90.827003,,,,,,,1496.171997,610.669006,1543.427979,-932.758972,62.216999,316.721008,,,,316.721008,989.607013,,183.432999,183.432999,,,,124.144997,,,,,,545.58802,,,,545.58802,853.166016,563.335999,,,,,40.915001,,,,,40.915001,604.251,1457.417016,0.0,226.468994,,,0.0,,801.893005,1028.361999,0.0,1028.361999,2485.779015,
09/27/1991,2466.116943,56.389,34.054001,22.334999,600.979004,,,,708.705994,,,,,106.198997,,,,,,,1472.272949,589.96698,1546.099976,-956.132996,147.563995,256.312988,,,,256.312988,993.843964,,160.345993,160.345993,,,,126.283997,,,,,,541.011002,,,,541.011002,827.640991,563.78302,,,,,43.356998,,,,,43.356998,607.140018,1434.78101,0.0,226.686005,,,0.0,,804.650024,1031.336029,0.0,1031.336029,2466.117039,
12/27/1991,2417.400879,46.49,39.819,6.671,618.054993,,,,704.572021,,,,,71.18,,,,,,,1440.296997,592.057983,1579.29895,-987.241028,132.248001,252.798004,,,,252.798004,977.103989,,149.830994,149.830994,,,,92.257004,,,,,,530.558975,,,,530.558975,772.646973,559.646973,,,,,40.014,,,,,40.014,599.660973,1372.307945,0.0,227.464005,,,0.0,,817.629028,1045.093033,0.0,1045.093033,2417.400978,
03/27/1992,2452.592041,55.243,36.403999,18.839001,616.414001,,,,735.408997,,,,,81.566002,,,,,,,1488.631958,578.171021,1587.88501,-1009.713989,134.938004,250.850998,,,,250.850998,963.960022,,149.873001,149.873001,,,,54.696999,,,,,,531.422981,,,,531.422981,735.992981,628.291016,,,,,37.015999,,,,,37.015999,665.307014,1401.299995,0.0,229.789993,,,0.0,,821.502014,1051.292007,0.0,1051.292007,2452.592003,
06/30/1992,2483.804932,124.153,59.945,64.208,621.177979,,,,703.453003,,,,,84.535004,,,,,,,1533.31897,573.05603,1614.645996,-1041.589966,55.219002,322.210999,,,,322.210999,950.486031,,166.882996,166.882996,,,,47.755001,,,,,,549.737003,,,,549.737003,764.375,612.5,,,,,38.436001,,,,,38.436001,650.936001,1415.311001,0.0,230.074997,,,0.0,,838.419006,1068.494003,0.0,1068.494003,2483.805004,
09/25/1992,2439.464111,50.394999,13.671,36.723999,608.101013,,,,748.328979,,,,,74.976997,,,,,,,1481.802002,574.021973,1651.004028,-1076.982056,135.992004,247.647995,,,,247.647995,957.661972,,133.839005,133.839005,,,,44.070999,,,,,,525.235016,,,,525.235016,703.14502,611.825012,,,,,38.050999,,,,,38.050999,649.876011,1353.02103,0.0,233.028,,,0.0,,853.414978,1086.442978,0.0,1086.442978,2439.464008,
12/25/1992,2432.185059,45.99,20.427,25.563,593.520996,,,,439.399994,,,,,378.063995,,,,,,,1456.974976,564.271973,1650.66394,-1086.391968,141.466003,269.471985,,,,269.471985,975.209961,,119.242996,119.242996,,,,51.674999,,,,,,520.251987,,,,520.251987,691.169983,612.447021,,,,,38.526001,,,,,38.526001,650.973022,1342.143005,0.0,236.781998,,,0.0,,853.26001,1090.042007,0.0,1090.042007,2432.185013,
03/26/1993,2461.875,75.364998,37.897999,37.466999,581.067017,,,,767.486023,,,,,67.685997,,,,,,,1491.604004,559.672974,1668.125,-1108.452026,143.003998,267.593994,,,,267.593994,970.270966,,125.208,125.208,,,,60.483002,,,,,,515.24601,,,,515.24601,700.937012,612.390991,,,,,39.241001,,,,,39.241001,651.631992,1352.569004,0.0,253.126007,,,0.0,,856.179993,1109.306,0.0,1109.306,2461.875004,
06/30/1993,2542.0,131.699997,131.699997,,607.599976,,,,765.299988,,,,,66.0,,,,,,,1570.599976,564.099976,1692.599976,-1128.5,0.0,407.299988,,,,407.299988,971.399964,,169.399994,169.399994,,,,36.599998,,,,,,572.099984,,,,572.099984,778.099976,612.0,,,,,10.6,,,,,10.6,622.6,1400.699976,0.0,255.899994,,,0.0,,885.400024,1141.300018,0.0,1141.300018,2541.999994,
