Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,3248.717041,252.971008,135.046005,117.925003,165.548004,,,,,,,,32.681,,,451.200012,209.714996,372.377991,-162.662994,,2587.802002,,,,,2587.802002,2797.516998,,46.206001,46.206001,,118.5,,,,,,337.020012,,,337.020012,501.726013,439.463989,,,,,1729.781982,,,,,,1729.781982,2169.245972,2670.971985,,277.028992,,,0.0,,300.716003,577.744995,,577.744995,3248.71698,
06/30/1992,3378.158936,310.70401,197.613007,113.091003,173.270004,,,,,,,,43.943001,,,527.916992,221.807999,399.496002,-177.688004,,2628.434082,,,,,2628.434082,2850.242081,,47.056,47.056,,112.710999,,,,,,399.035004,,,399.035004,558.802002,361.765015,,,,,1721.839966,,,,,,1721.839966,2083.60498,2642.406982,,401.592987,,,0.0,,334.158997,735.751984,,735.751984,3378.158966,
09/30/1992,3395.916992,217.917992,148.485992,69.431999,178.154007,,,,,,,,32.904999,,,428.97699,209.800995,395.325989,-185.524994,,2757.138916,,,,,2757.138916,2966.939911,,46.831001,46.831001,,69.053001,,,,,,332.20401,,,332.20401,448.088013,327.011993,,,,,1856.578979,,,,,,1856.578979,2183.590973,2631.678986,,401.592987,,,0.0,,362.644989,764.237976,,764.237976,3395.916962,
12/31/1992,3915.762939,328.595001,159.591003,169.003998,180.395004,,,0.0,,,,,49.235001,,,558.224976,228.916,431.519012,-202.602997,0.0,3128.62207,,,,,3128.62207,3357.53807,,63.604,63.604,,42.514,,,,,,653.668011,,,653.668011,759.786011,308.811005,,,,,2053.0,,,,,,2053.0,2361.811005,3121.597016,0.0,401.592987,,,0.0,,392.572998,794.165985,0.0,794.165985,3915.763001,
03/31/1993,3537.504883,202.868004,91.882004,110.986,196.979004,,,0.0,,,,,52.952999,,,452.799988,228.466003,436.661011,-208.195007,0.0,2856.239014,,,,,2856.239014,3084.705017,,51.778,51.778,,25.0,,,,,,591.997025,,,591.997025,668.775024,357.272003,,,,,1686.0,,,,,,1686.0,2043.272003,2712.047028,0.0,401.592987,,,0.0,,423.86499,825.457977,0.0,825.457977,3537.505005,
06/30/1993,3996.686035,362.103004,244.776001,117.327003,212.126007,,,0.0,,,,,51.575001,,,625.804016,232.063004,441.140015,-209.076996,0.0,3138.819092,,,,,3138.819092,3370.882095,,51.525002,51.525002,,0.0,,,,,,612.105003,,,612.105003,663.630005,564.385986,,,,,1912.0,,,,,,1912.0,2476.385986,3140.015991,0.0,405.804993,,,-5.444,,456.30899,856.669983,0.0,856.669983,3996.685974,
09/30/1993,4014.256104,355.027,231.673004,123.353996,202.988007,,,0.0,,,,,39.714001,,,597.729004,237.313995,460.376007,-223.061996,0.0,3179.212891,,,,,3179.212891,3416.526886,,52.408001,52.408001,,0.0,,,,,,601.84499,,,601.84499,654.252991,528.236023,,,,,1927.0,,,,,,1927.0,2455.236023,3109.489014,0.0,409.63501,,,-3.84,,498.971988,904.766998,0.0,904.766998,4014.256012,
12/31/1993,4148.092773,439.066986,298.040985,141.026001,196.270004,,,0.0,,,,,43.445999,,,678.78302,238.723999,453.415009,-214.690994,0.0,3230.585938,,,,,3230.585938,3469.309937,,58.360001,58.360001,,140.813004,,,,,,459.920989,,,459.920989,659.093994,521.268982,,,,,2013.0,,,,,,2013.0,2534.268982,3193.362976,0.0,412.315002,,,-3.869,,546.283978,954.72998,0.0,954.72998,4148.092956,
03/31/1994,4136.546875,431.776016,299.321014,132.455002,190.391998,,,0.0,,,,,44.868,,,667.036011,245.774994,473.820007,-228.044998,0.0,3223.736084,,,,,3223.736084,3469.511078,,52.240002,52.240002,,132.306,,,,,,491.177021,,,491.177021,675.723022,521.973022,,,,,1936.0,,,,,,1936.0,2457.973022,3133.696045,0.0,410.408997,,,-10.004,,602.446016,1002.851013,0.0,1002.851013,4136.547058,
